Batch	Phenotype	Predictor	N	Effect	SE	P.value
I	amygdala	H1_dosage	134	0.888422144198327	0.358476039748789	0.0148321005062835
II	amygdala	H1_dosage	258	-0.0875070982896986	0.263292915630377	0.739911432531375
I	CA1	H1_dosage	134	0.320609806596378	0.357244771502969	0.371716789944962
II	CA1	H1_dosage	258	0.163652134147725	0.256673089797513	0.52435552215295
I	CA2	H1_dosage	134	0.592986788854291	0.347695890290219	0.0913629241057756
II	CA2	H1_dosage	258	0.294215975169006	0.261746813665996	0.262230018550304
I	CA4	H1_dosage	134	0.973860240798565	0.359848751566077	0.00802610921929814
II	CA4	H1_dosage	258	0.158797028489162	0.271948549579989	0.559829781916871
I	entorhinal	H1_dosage	134	0.338632444719132	0.374666464600752	0.368180575776508
II	entorhinal	H1_dosage	258	0.21368081209075	0.268712157398132	0.427284395274706
I	inforbfront	H1_dosage	134	0.136616925075471	0.336315582138291	0.68538647141028
II	inforbfront	H1_dosage	258	-0.116226220157936	0.25627603591423	0.650584752763901
I	infpar	H1_dosage	134	0.41724841052367	0.346542684549873	0.23157550224321
II	infpar	H1_dosage	258	0.0512853772490419	0.255730721031261	0.841225867676683
I	loccoer	H1_dosage	134	0.0262735225896762	0.344359986531335	0.939335635687631
II	loccoer	H1_dosage	258	0.0760468228599246	0.264492974462457	0.774062102626979
I	midfront	H1_dosage	134	0.22422419459734	0.343459117554731	0.515285775384652
II	midfront	H1_dosage	258	-0.293222615655516	0.255782026917242	0.252780885165797
I	suptemp	H1_dosage	134	0.495210479629286	0.371125908994229	0.18492335484274
II	suptemp	H1_dosage	258	-0.261810979467777	0.256675562621342	0.308752449230149
I	CTEstage	H1_dosage	134	-0.0668747982567663	0.330202939396854	0.839863004601856
II	CTEstage	H1_dosage	258	-0.44607469877444	0.261748815242571	0.0896416693887487
I	subnigra	H1_dosage	134	0.208195701941364	0.332050078297161	0.532086888005905
II	subnigra	H1_dosage	258	0.0535220910800909	0.258859708064874	0.836374108212257
