ID	Race
8850	Black
8466	White
8926	White
8290	White
7865	White
7121	White
8020	White
8632	White
6358	White
6665	Other
7100	White
6904	White
9520	Black
7925	White
9348	White
9382	White
6443	White
7340	White
7961	White
6285	White
6944	White
7169	Black
7403	White
7506	White
7667	White
7813	White
9600	White
6119	White
6749	White
8656	White
9580	White
7671	White
6295	White
6943	White
8226	White
8278	White
6202	Black
7737	White
8445	White
8877	White
8584	White
9394	White
6323	White
9345	White
9614	Other
9667	White
9921	White
7125	White
7222	White
9434	White
9782	White
6623	White
7358	White
6093	White
7658	White
8712	White
7155	White
9463	White
9835	White
9043	White
8962	White
7550	White
8647	White
8419	White
7707	White
6141	White
7931	White
9079	White
7943	White
8719	White
7230	White
8533	Black
9362	White
6963	White
8961	White
8404	White
9990	White
6341	White
7552	White
9624	White
7243	White
8876	White
8824	White
8855	White
8896	White
9843	White
9879	Black
9446	White
9918	White
8997	Black
8487	White
8179	White
7004	White
9156	White
7515	Black
7400	White
9633	White
9195	Black
9705	White
9985	White
9779	White
6314	White
9200	White
7781	Black
7674	White
8916	White
6783	Black
9854	White
9210	White
8473	White
9349	White
6795	White
7738	White
7852	Black
8521	White
9942	White
6898	White
7490	White
9358	White
6324	White
8710	White
8284	White
8470	Black
6679	White
9731	White
6186	White
7468	White
7129	White
8619	Black
9542	White
7884	White
9442	Black
9041	Black
8311	White
7869	White
8074	White
6448	White
8053	Black
6659	White
7278	White
7962	Black
6250	White
9238	White
9996	White
6121	White
8524	Black
9259	White
7134	White
8189	White
7347	White
8641	White
6146	Black
8955	White
8965	White
6372	Black
7641	White
9174	White
8031	White
7748	White
6971	White
6730	White
9763	White
8904	White
9180	White
9511	White
6854	Black
7854	White
8410	White
8941	Other
8453	White
7992	Other
9138	White
8734	White
9819	White
9864	Black
9953	Black
8526	White
6583	White
