N	Effect	SE	P.value	N	Effect	SE	P.value	N	Effect	StdErr	P.value
123	0.8646	0.3377	0.012	190	-0.1785	0.2938	0.5443	313	0.2708	0.2217	0.2218
123	0.3683	0.3504	0.2962	190	0.093	0.2809	0.741	313	0.2007	0.2192	0.3599
123	0.4863	0.3403	0.1567	190	0.4584	0.2736	0.0957	313	0.4693	0.2132	0.0277
123	0.8645	0.3473	0.0147	190	0.4698	0.2875	0.1041	313	0.6303	0.2215	0.0044
123	0.2731	0.3619	0.4523	190	0.1149	0.3015	0.7035	313	0.1797	0.2316	0.4378
123	0.4544	0.333	0.1755	190	-0.1098	0.2826	0.6982	313	0.1264	0.2155	0.5574
123	0.3898	0.3344	0.2468	190	-0.0052	0.2801	0.9852	313	0.1577	0.2147	0.4627
123	0.0645	0.3564	0.8569	190	0.2178	0.2977	0.4657	313	0.1548	0.2285	0.4981
123	0.454	0.3412	0.1866	190	-0.2429	0.2922	0.4069	313	0.0519	0.2219	0.8151
123	0.654	0.3608	0.0731	190	-0.3531	0.2914	0.2271	313	0.0444	0.2267	0.8448
123	0.0574	0.3346	0.8641	189	0.0837	0.3031	0.7828	312	0.0718	0.2247	0.7491
123	0.4367	0.3363	0.1976	190	0.3759	0.2791	0.1798	313	0.4007	0.2148	0.0621
