Phenotype	N	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
amygdala	537	0.802806094477095	0.983548859511405	0.559411544905194	0.773598564479263	0.589145687747576	0.728988913166067	0.997748032894983	0.977515787731511	0.971429727903699	0.238177872548652
CA1	537	0.893421454215728	0.986661041554265	0.0772177295199222	0.507432719602109	0.128621529824688	0.953897805854504	0.997748032894983	0.977515787731511	0.971429727903699	0.286747613475114
CA2	537	0.859563506062974	0.986661041554265	0.221541799110231	0.600874692029635	0.319554076866339	0.921405126220008	0.997748032894983	0.977515787731511	0.971429727903699	0.238177872548652
CA4	537	0.893421454215728	0.986661041554265	0.559411544905194	0.742013320720429	0.580020480400901	0.767864611226197	0.997748032894983	0.977515787731511	0.971429727903699	0.315501416327498
entorhinal	537	0.945138194778119	0.983548859511405	0.0772177295199222	0.600874692029635	0.234963144307212	0.671226771594561	0.997748032894983	0.977515787731511	0.971429727903699	0.183266316382797
inforbfront	537	0.802806094477095	0.983548859511405	0.559411544905194	0.600874692029635	0.128621529824688	0.245476778345173	0.997748032894983	0.977515787731511	0.971429727903699	0.524959025478099
infpar	537	0.802806094477095	0.983548859511405	0.779404808696685	0.600874692029635	0.128621529824688	0.245476778345173	0.997748032894983	0.977515787731511	0.971429727903699	0.183266316382797
loccoer	537	0.802806094477095	0.983548859511405	0.221541799110231	0.600874692029635	0.128621529824688	0.569788484816806	0.997748032894983	0.977515787731511	0.971429727903699	0.286747613475114
midfront	537	0.893421454215728	0.983548859511405	0.489366887834878	0.742013320720429	0.277621564217299	0.245476778345173	0.997748032894983	0.977515787731511	0.971429727903699	0.238177872548652
suptemp	537	0.802806094477095	0.983548859511405	0.732507539417306	0.742013320720429	0.277503517374014	0.535396817863728	0.997748032894983	0.977515787731511	0.971429727903699	0.25629264109878
CTEstage	536	0.802806094477095	0.983548859511405	0.221541799110231	0.600874692029635	0.128621529824688	0.245476778345173	0.997748032894983	0.977515787731511	0.971429727903699	0.183266316382797
subnigra	537	0.802806094477095	0.986661041554265	0.559411544905194	0.742013320720429	0.998500394855645	0.953897805854504	0.997748032894983	0.977515787731511	0.971429727903699	0.183266316382797
