Stratum	Phenotype	Predictor	N	Effect	SE	P.value	FDR
0	amygdala	H1_dosage:footyrs	200	0.0520767951664854	0.0661317816105679	0.432037724132365	0.576050298843153
1	amygdala	H1_dosage:footyrs	192	0.104562288724679	0.0570349381791709	0.0684922498246161	0.234830570827255
0	CA1	H1_dosage:footyrs	200	-0.0126272469695808	0.0676677298121489	0.852182341743091	0.889233747905834
1	CA1	H1_dosage:footyrs	192	0.0772798060560355	0.0561179797966525	0.170296059946106	0.473020804699171
0	CA2	H1_dosage:footyrs	200	-0.0768430119614209	0.0842988262810711	0.363989972591898	0.56955218541541
1	CA2	H1_dosage:footyrs	192	0.0264775208907384	0.0539373885621433	0.624138570879424	0.748966285055309
0	CA4	H1_dosage:footyrs	200	-0.000113402623387003	0.0731427531637253	0.998764708517884	0.998764708517884
1	CA4	H1_dosage:footyrs	192	0.137242026202066	0.0561129660983708	0.0154604455463772	0.100732268830508
0	entorhinal	H1_dosage:footyrs	200	0.0680352820216533	0.0669302238348978	0.310763598569021	0.56955218541541
1	entorhinal	H1_dosage:footyrs	192	0.084057284615256	0.0620629351912134	0.177382801762189	0.473020804699171
0	inforbfront	H1_dosage:footyrs	200	0.0586211093571531	0.0588041003078632	0.320364022598689	0.56955218541541
1	inforbfront	H1_dosage:footyrs	192	0.138712099548244	0.0574432694113837	0.0167887114717513	0.100732268830508
0	infpar	H1_dosage:footyrs	200	0.0335273439487959	0.0576952366995406	0.561888471972561	0.709753859333761
1	infpar	H1_dosage:footyrs	192	0.115935080622895	0.0555035407433501	0.038216173232565	0.183437631516312
0	loccoer	H1_dosage:footyrs	200	-0.0613966693430013	0.0650385542069375	0.346486211988222	0.56955218541541
1	loccoer	H1_dosage:footyrs	192	0.0528338030656142	0.0626000751449275	0.401125600591824	0.56955218541541
0	midfront	H1_dosage:footyrs	200	0.0516489428731647	0.061672589768862	0.403432798002582	0.56955218541541
1	midfront	H1_dosage:footyrs	192	0.0709671176220325	0.0575018343088408	0.218817178943575	0.52516122946458
0	suptemp	H1_dosage:footyrs	200	0.0147440543876399	0.0583731593696897	0.800878442920273	0.873685574094843
1	suptemp	H1_dosage:footyrs	192	0.155962449872185	0.058292565656637	0.00817904509073353	0.0981485410888024
0	CTEstage	H1_dosage:footyrs	200	-0.0543184565338863	0.0605556843844377	0.370916891787795	0.56955218541541
1	CTEstage	H1_dosage:footyrs	192	0.130456528198595	0.0656188894333063	0.04838762459212	0.19355049836848
0	subnigra	H1_dosage:footyrs	200	-0.0235017161508174	0.0663050353789861	0.723424832565831	0.826771237218093
1	subnigra	H1_dosage:footyrs	192	0.152310574802041	0.0569218515292983	0.00817396609081467	0.0981485410888024
