Phenotype	Predictor	N	Effect	SE	P.value	FDR
amygdala	H1_dosage:stratum	537	-0.560381592026023	0.333947837586533	0.0939535067239934	0.153877873645272
CA1	H1_dosage:stratum	537	-0.325774537707589	0.341003653690279	0.339916224726282	0.370817699701399
CA2	H1_dosage:stratum	537	-0.339888575041122	0.336868348445379	0.313591310488825	0.370817699701399
CA4	H1_dosage:stratum	537	-0.697198104779388	0.339976333007099	0.040813803906552	0.146854319496048
entorhinal	H1_dosage:stratum	537	-0.570888215722445	0.34905177207886	0.102585249096848	0.153877873645272
inforbfront	H1_dosage:stratum	537	-0.559192786959316	0.33579681100463	0.0965140974842191	0.153877873645272
infpar	H1_dosage:stratum	537	-0.667784060233538	0.338270090810224	0.0489514398320159	0.146854319496048
loccoer	H1_dosage:stratum	537	-0.193770022922294	0.362604869901673	0.593759775969896	0.593759775969896
midfront	H1_dosage:stratum	537	-0.621161215952609	0.339219799903318	0.0676899943815039	0.153877873645272
suptemp	H1_dosage:stratum	537	-0.768028025522113	0.345570671728945	0.02670829680314	0.146854319496048
CTEstage	H1_dosage:stratum	536	-1.16502370546313	0.344050012621182	0.000762598745382981	0.00915118494459577
subnigra	H1_dosage:stratum	537	-0.435887936551903	0.340413635531077	0.201052578148383	0.268070104197844
