Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	Older	1	amygdala	H1B1G1	0.424	249	0.307	0.183	0.094260700508632	0.301634241627622
All	Younger	1	amygdala	H1B1G1	0.408	277	0.433	0.185	0.0203180833605439	0.195053600261221
Cases	Older	1	amygdala	H1B1G1	0.429	190	0.051	0.215	0.811340542580129	0.828603107315876
Cases	Younger	1	amygdala	H1B1G1	0.454	174	0.328	0.231	0.157751075885659	0.473253227656977
All	Older	2	amygdala	H1B1G1	0.432	207	0.289	0.2	0.150800160803326	0.481966034900506
All	Younger	2	amygdala	H1B1G1	0.419	240	0.437	0.202	0.0318465895749613	0.203230528165442
Cases	Older	2	amygdala	H1B1G1	0.432	168	0.02	0.226	0.928316357473751	0.968677938233479
Cases	Younger	2	amygdala	H1B1G1	0.466	160	0.334	0.241	0.168071988594622	0.481966034900506
All	Older	3	amygdala	H1B1G1*footyrs	0.432	207	0.001	0.038	0.982639596559024	0.982639596559024
All	Younger	3	amygdala	H1B1G1*footyrs	0.419	240	0.003	0.039	0.928696541394941	0.982639596559024
Cases	Older	3	amygdala	H1B1G1*footyrs	0.432	168	0.031	0.046	0.500255351764729	0.982639596559024
Cases	Younger	3	amygdala	H1B1G1*footyrs	0.466	160	0.018	0.048	0.708116466459314	0.982639596559024
All	NA	4	amygdala	H1B1G1*stratum	0.415	526	-0.223	0.243	0.358053888708202	0.773755770793279
Cases	NA	4	amygdala	H1B1G1*stratum	0.441	364	-0.258	0.299	0.389351758663349	0.773755770793279
All	Older	1	CA1	H1B1G1	0.424	249	0.111	0.181	0.540934169074263	0.683285266199069
All	Younger	1	CA1	H1B1G1	0.408	277	0.235	0.188	0.211744210942149	0.504259909110228
Cases	Older	1	CA1	H1B1G1	0.429	190	-0.067	0.213	0.753712045619661	0.803959515327638
Cases	Younger	1	CA1	H1B1G1	0.454	174	0.121	0.234	0.604582543564639	0.708343351670929
All	Older	2	CA1	H1B1G1	0.432	207	0.111	0.197	0.573737272027706	0.789102433485977
All	Younger	2	CA1	H1B1G1	0.419	240	0.233	0.202	0.251203707929448	0.483270992635684
Cases	Older	2	CA1	H1B1G1	0.432	168	-0.088	0.223	0.693963206202858	0.83275584744343
Cases	Younger	2	CA1	H1B1G1	0.466	160	0.154	0.24	0.521585489668567	0.758669803154279
All	Older	3	CA1	H1B1G1*footyrs	0.432	207	-0.029	0.036	0.425918480169265	0.982639596559024
All	Younger	3	CA1	H1B1G1*footyrs	0.419	240	-0.002	0.038	0.954686107695303	0.982639596559024
Cases	Older	3	CA1	H1B1G1*footyrs	0.432	168	-0.027	0.045	0.552127637621886	0.982639596559024
Cases	Younger	3	CA1	H1B1G1*footyrs	0.466	160	0.023	0.045	0.604963440566392	0.982639596559024
All	NA	4	CA1	H1B1G1*stratum	0.415	526	-0.15	0.243	0.536704960736782	0.805057441105173
Cases	NA	4	CA1	H1B1G1*stratum	0.441	364	-0.002	0.298	0.995022174908658	0.995022174908658
All	Older	1	CA2	H1B1G1	0.424	249	0.2	0.181	0.272392359906521	0.504259909110228
All	Younger	1	CA2	H1B1G1	0.408	277	0.191	0.192	0.319895059904639	0.529481478462851
Cases	Older	1	CA2	H1B1G1	0.429	190	0.15	0.212	0.480535873759108	0.634272012918795
Cases	Younger	1	CA2	H1B1G1	0.454	174	0.281	0.235	0.233361730656478	0.504259909110228
All	Older	2	CA2	H1B1G1	0.432	207	0.109	0.2	0.585605373026743	0.789102433485977
All	Younger	2	CA2	H1B1G1	0.419	240	0.256	0.209	0.220965953863677	0.481966034900506
Cases	Older	2	CA2	H1B1G1	0.432	168	0.063	0.223	0.778320971054075	0.86939553713248
Cases	Younger	2	CA2	H1B1G1	0.466	160	0.227	0.245	0.354285905557131	0.593260222149512
All	Older	3	CA2	H1B1G1*footyrs	0.432	207	-0.008	0.038	0.834923761658281	0.982639596559024
All	Younger	3	CA2	H1B1G1*footyrs	0.419	240	-0.041	0.044	0.346737102749235	0.982639596559024
Cases	Older	3	CA2	H1B1G1*footyrs	0.432	168	0.005	0.047	0.92074257397407	0.982639596559024
Cases	Younger	3	CA2	H1B1G1*footyrs	0.466	160	-0.044	0.051	0.390482292252301	0.982639596559024
All	NA	4	CA2	H1B1G1*stratum	0.415	526	-0.036	0.242	0.882042939314474	0.995022174908658
Cases	NA	4	CA2	H1B1G1*stratum	0.441	364	0.019	0.292	0.947539031108184	0.995022174908658
