Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	Older	1	amygdala	H1_dosage	0.835	253	-0.193	0.263	0.462220235746738	0.568886443995985
All	Younger	1	amygdala	H1_dosage	0.83	284	0.566	0.24	0.0189731838824354	0.10154436974369
Cases	Older	1	amygdala	H1_dosage	0.816	194	-0.516	0.305	0.0923344196479428	0.164150079374121
Cases	Younger	1	amygdala	H1_dosage	0.837	178	0.689	0.291	0.0190390573094756	0.10154436974369
All	Older	2	amygdala	H1_dosage	0.836	211	-0.383	0.295	0.19570848139515	0.375760284278688
All	Younger	2	amygdala	H1_dosage	0.836	245	0.378	0.266	0.157196388784006	0.344921781579382
Cases	Older	2	amygdala	H1_dosage	0.816	172	-0.527	0.327	0.109366420316173	0.316946170097298
Cases	Younger	2	amygdala	H1_dosage	0.834	163	0.686	0.307	0.0268420143611494	0.187680307945151
All	Older	3	amygdala	H1_dosage*footyrs	0.836	211	0.091	0.055	0.0987157508342047	0.526484004449092
All	Younger	3	amygdala	H1_dosage*footyrs	0.836	245	0.039	0.057	0.494595850181454	0.741893775272181
Cases	Older	3	amygdala	H1_dosage*footyrs	0.816	172	0.082	0.062	0.189981703757958	0.606475930926829
Cases	Younger	3	amygdala	H1_dosage*footyrs	0.834	163	-0.029	0.067	0.667302398200382	0.780608409311912
All	NA	4	amygdala	H1_dosage*stratum	0.832	537	-0.56	0.334	0.0939535067234052	0.189388152178682
Cases	NA	4	amygdala	H1_dosage*stratum	0.826	372	-0.779	0.397	0.050547505422087	0.173305732875727
All	Older	1	CA1	H1_dosage	0.835	253	0.011	0.266	0.967944155786165	0.987064421949707
All	Younger	1	CA1	H1_dosage	0.83	284	0.447	0.242	0.0654950832658963	0.164150079374121
Cases	Older	1	CA1	H1_dosage	0.816	194	-0.124	0.299	0.67790307175523	0.77138346430456
Cases	Younger	1	CA1	H1_dosage	0.837	178	0.526	0.291	0.0726345050224027	0.164150079374121
All	Older	2	CA1	H1_dosage	0.836	211	-0.138	0.295	0.639125980250492	0.807317027684832
All	Younger	2	CA1	H1_dosage	0.836	245	0.293	0.269	0.27854752444369	0.4856316503096
Cases	Older	2	CA1	H1_dosage	0.816	172	-0.246	0.322	0.447409249646597	0.631636587736372
Cases	Younger	2	CA1	H1_dosage	0.834	163	0.472	0.306	0.125457858996847	0.316946170097298
All	Older	3	CA1	H1_dosage*footyrs	0.836	211	0.076	0.054	0.157481576748443	0.606475930926829
All	Younger	3	CA1	H1_dosage*footyrs	0.836	245	-0.011	0.058	0.849507933643751	0.912303993372973
Cases	Older	3	CA1	H1_dosage*footyrs	0.816	172	0.06	0.06	0.315872880691057	0.606475930926829
Cases	Younger	3	CA1	H1_dosage*footyrs	0.834	163	-0.059	0.067	0.381274031297616	0.610038450076186
All	NA	4	CA1	H1_dosage*stratum	0.832	537	-0.326	0.341	0.339916224726299	0.429367862812167
Cases	NA	4	CA1	H1_dosage*stratum	0.826	372	-0.319	0.396	0.421716355051015	0.481961548629731
All	Older	1	CA2	H1_dosage	0.835	253	0.013	0.251	0.957361017187157	0.987064421949707
All	Younger	1	CA2	H1_dosage	0.83	284	0.63	0.259	0.0160282387025079	0.10154436974369
Cases	Older	1	CA2	H1_dosage	0.816	194	0.005	0.279	0.987064421949707	0.987064421949707
Cases	Younger	1	CA2	H1_dosage	0.837	178	0.729	0.307	0.0190395693269418	0.10154436974369
All	Older	2	CA2	H1_dosage	0.836	211	-0.022	0.281	0.938327838859014	0.958292260962397
All	Younger	2	CA2	H1_dosage	0.836	245	0.613	0.291	0.0368528942708544	0.198652653956948
Cases	Older	2	CA2	H1_dosage	0.816	172	0.077	0.3	0.79816032699588	0.91598336511409
Cases	Younger	2	CA2	H1_dosage	0.834	163	0.781	0.327	0.0186415348488422	0.187680307945151
All	Older	3	CA2	H1_dosage*footyrs	0.836	211	0.034	0.052	0.51186932683451	0.744537202668378
All	Younger	3	CA2	H1_dosage*footyrs	0.836	245	-0.083	0.073	0.257460381668643	0.606475930926829
Cases	Older	3	CA2	H1_dosage*footyrs	0.816	172	-0.004	0.058	0.94116876820735	0.94116876820735
Cases	Younger	3	CA2	H1_dosage*footyrs	0.834	163	-0.143	0.085	0.096460808095657	0.526484004449092
All	NA	4	CA2	H1_dosage*stratum	0.832	537	-0.34	0.337	0.313591310489167	0.418121747318889
Cases	NA	4	CA2	H1_dosage*stratum	0.826	372	-0.323	0.384	0.40154528260288	0.481854339123456
All	Older	1	CA4	H1_dosage	0.835	253	-0.018	0.252	0.942442313113776	0.987064421949707
All	Younger	1	CA4	H1_dosage	0.83	284	0.827	0.26	0.00162339013724777	0.0389613632939465
Cases	Older	1	CA4	H1_dosage	0.816	194	0.128	0.286	0.654030898747303	0.76569471072855
Cases	Younger	1	CA4	H1_dosage	0.837	178	0.915	0.299	0.00255806734578523	0.0409290775325637
All	Older	2	CA4	H1_dosage	0.836	211	-0.115	0.291	0.69206919977108	0.849632156905099
All	Younger	2	CA4	H1_dosage	0.836	245	0.787	0.288	0.00686205610915258	0.109792897746441
Cases	Older	2	CA4	H1_dosage	0.816	172	0.073	0.32	0.820568431248039	0.91598336511409
Cases	Younger	2	CA4	H1_dosage	0.834	163	0.899	0.316	0.00512073201747132	0.109792897746441
All	Older	3	CA4	H1_dosage*footyrs	0.836	211	0.118	0.054	0.028703293344621	0.344439520135452
All	Younger	3	CA4	H1_dosage*footyrs	0.836	245	-0.031	0.065	0.636011091276367	0.780608409311912
Cases	Older	3	CA4	H1_dosage*footyrs	0.816	172	0.072	0.06	0.236143417864142	0.606475930926829
Cases	Younger	3	CA4	H1_dosage*footyrs	0.834	163	-0.075	0.075	0.315413157589393	0.606475930926829
All	NA	4	CA4	H1_dosage*stratum	0.832	537	-0.697	0.34	0.0408138039065931	0.173305732875727
Cases	NA	4	CA4	H1_dosage*stratum	0.826	372	-0.647	0.394	0.101323726937818	0.189388152178682
All	Older	1	entorhinal	H1_dosage	0.835	253	-0.331	0.277	0.232526130962568	0.336941930740539
All	Younger	1	entorhinal	H1_dosage	0.83	284	0.481	0.239	0.0449249410798651	0.15402836941668
Cases	Older	1	entorhinal	H1_dosage	0.816	194	-0.565	0.329	0.0881159650479677	0.164150079374121
Cases	Younger	1	entorhinal	H1_dosage	0.837	178	0.583	0.295	0.0496489281891677	0.158876570205337
All	Older	2	entorhinal	H1_dosage	0.836	211	-0.451	0.318	0.15808914989055	0.344921781579382
All	Younger	2	entorhinal	H1_dosage	0.836	245	0.416	0.27	0.125451471067911	0.316946170097298
Cases	Older	2	entorhinal	H1_dosage	0.816	172	-0.558	0.352	0.115168926801127	0.316946170097298
Cases	Younger	2	entorhinal	H1_dosage	0.834	163	0.702	0.315	0.0273700449086678	0.187680307945151
All	Older	3	entorhinal	H1_dosage*footyrs	0.836	211	0.082	0.06	0.16949322218289	0.606475930926829
All	Younger	3	entorhinal	H1_dosage*footyrs	0.836	245	0.078	0.058	0.180478087117559	0.606475930926829
Cases	Older	3	entorhinal	H1_dosage*footyrs	0.816	172	0.064	0.068	0.347530342883788	0.610038450076186
Cases	Younger	3	entorhinal	H1_dosage*footyrs	0.834	163	0.029	0.071	0.683032358147923	0.780608409311912
All	NA	4	entorhinal	H1_dosage*stratum	0.832	537	-0.571	0.349	0.102585249096786	0.189388152178682
Cases	NA	4	entorhinal	H1_dosage*stratum	0.826	372	-0.646	0.418	0.123133732073589	0.197013971317742
All	Older	1	inforbfront	H1_dosage	0.835	253	-0.447	0.259	0.0855121761701831	0.164150079374121
All	Younger	1	inforbfront	H1_dosage	0.83	284	0.25	0.233	0.28441751271036	0.390058303145637
Cases	Older	1	inforbfront	H1_dosage	0.816	194	-0.619	0.302	0.0420283876626084	0.15402836941668
Cases	Younger	1	inforbfront	H1_dosage	0.837	178	0.248	0.279	0.375309408466213	0.486887881253466
All	Older	2	inforbfront	H1_dosage	0.836	211	-0.467	0.291	0.110039203393048	0.316946170097298
All	Younger	2	inforbfront	H1_dosage	0.836	245	0.041	0.254	0.871868898169022	0.92999349138029
Cases	Older	2	inforbfront	H1_dosage	0.816	172	-0.484	0.32	0.132933312445339	0.319039949868814
Cases	Younger	2	inforbfront	H1_dosage	0.834	163	0.109	0.291	0.708026797420916	0.849632156905099
All	Older	3	inforbfront	H1_dosage*footyrs	0.836	211	0.122	0.054	0.0265695230566481	0.344439520135452
All	Younger	3	inforbfront	H1_dosage*footyrs	0.836	245	0.054	0.052	0.299823949079918	0.606475930926829
Cases	Older	3	inforbfront	H1_dosage*footyrs	0.816	172	0.073	0.06	0.2237884050795	0.606475930926829
Cases	Younger	3	inforbfront	H1_dosage*footyrs	0.834	163	0.055	0.061	0.372253214806976	0.610038450076186
All	NA	4	inforbfront	H1_dosage*stratum	0.832	537	-0.559	0.336	0.096514097484147	0.189388152178682
Cases	NA	4	inforbfront	H1_dosage*stratum	0.826	372	-0.566	0.4	0.157708029036732	0.236562043555098
All	Older	1	infpar	H1_dosage	0.835	253	-0.361	0.255	0.158700591858123	0.247903505378216
All	Younger	1	infpar	H1_dosage	0.83	284	0.425	0.239	0.0768735728010912	0.164150079374121
Cases	Older	1	infpar	H1_dosage	0.816	194	-0.421	0.289	0.146283309623222	0.242124098686712
Cases	Younger	1	infpar	H1_dosage	0.837	178	0.428	0.288	0.139813446187798	0.239680193464797
All	Older	2	infpar	H1_dosage	0.836	211	-0.289	0.286	0.313637107491617	0.4856316503096
All	Younger	2	infpar	H1_dosage	0.836	245	0.224	0.259	0.388308043211695	0.564811699217011
Cases	Older	2	infpar	H1_dosage	0.816	172	-0.345	0.31	0.268383231815731	0.4856316503096
Cases	Younger	2	infpar	H1_dosage	0.834	163	0.407	0.3	0.176906396671384	0.369195958270714
All	Older	3	infpar	H1_dosage*footyrs	0.836	211	0.094	0.053	0.0767834512071812	0.526484004449092
All	Younger	3	infpar	H1_dosage*footyrs	0.836	245	0.03	0.051	0.565379660459574	0.764868150548341
Cases	Older	3	infpar	H1_dosage*footyrs	0.816	172	0.081	0.058	0.168988247394465	0.606475930926829
Cases	Younger	3	infpar	H1_dosage*footyrs	0.834	163	0.029	0.06	0.629036444770532	0.780608409311912
All	NA	4	infpar	H1_dosage*stratum	0.832	537	-0.668	0.338	0.0489514398321527	0.173305732875727
Cases	NA	4	infpar	H1_dosage*stratum	0.826	372	-0.62	0.398	0.120087813958214	0.197013971317742
All	Older	1	loccoer	H1_dosage	0.835	253	0.179	0.278	0.520524646384806	0.624629575661767
All	Younger	1	loccoer	H1_dosage	0.83	284	0.347	0.246	0.160104347223431	0.247903505378216
Cases	Older	1	loccoer	H1_dosage	0.816	194	0.029	0.315	0.928029150156878	0.987064421949707
Cases	Younger	1	loccoer	H1_dosage	0.837	178	0.386	0.32	0.231979349665285	0.336941930740539
All	Older	2	loccoer	H1_dosage	0.836	211	0.052	0.318	0.870413858233004	0.92999349138029
All	Younger	2	loccoer	H1_dosage	0.836	245	0.152	0.271	0.575213645107565	0.766951526810087
Cases	Older	2	loccoer	H1_dosage	0.816	172	0.008	0.347	0.980996635072833	0.980996635072833
Cases	Younger	2	loccoer	H1_dosage	0.834	163	0.345	0.334	0.304793106355103	0.4856316503096
All	Older	3	loccoer	H1_dosage*footyrs	0.836	211	0.057	0.06	0.342219031637773	0.610038450076186
All	Younger	3	loccoer	H1_dosage*footyrs	0.836	245	-0.012	0.057	0.830406001262825	0.912303993372973
Cases	Older	3	loccoer	H1_dosage*footyrs	0.816	172	0.05	0.065	0.441118889081542	0.683022795997226
Cases	Younger	3	loccoer	H1_dosage*footyrs	0.834	163	-0.074	0.072	0.309847675817549	0.606475930926829
All	NA	4	loccoer	H1_dosage*stratum	0.832	537	-0.194	0.363	0.593759775970011	0.593759775970011
Cases	NA	4	loccoer	H1_dosage*stratum	0.826	372	-0.349	0.458	0.448030211555122	0.488760230787406
All	Older	1	midfront	H1_dosage	0.835	253	-0.463	0.265	0.0820051772331214	0.164150079374121
All	Younger	1	midfront	H1_dosage	0.83	284	0.205	0.229	0.372267736309101	0.486887881253466
Cases	Older	1	midfront	H1_dosage	0.816	194	-0.683	0.311	0.0296985938058876	0.129593863880237
Cases	Younger	1	midfront	H1_dosage	0.837	178	0.333	0.282	0.238667200941215	0.336941930740539
All	Older	2	midfront	H1_dosage	0.836	211	-0.475	0.302	0.117177021497543	0.316946170097298
All	Younger	2	midfront	H1_dosage	0.836	245	-0.057	0.249	0.820048303185836	0.91598336511409
Cases	Older	2	midfront	H1_dosage	0.816	172	-0.628	0.335	0.062938651605942	0.301518021413877
Cases	Younger	2	midfront	H1_dosage	0.834	163	0.205	0.294	0.485499568401161	0.665827979521592
All	Older	3	midfront	H1_dosage*footyrs	0.836	211	0.065	0.056	0.243322226655889	0.606475930926829
All	Younger	3	midfront	H1_dosage*footyrs	0.836	245	0.033	0.055	0.552877326200712	0.764868150548341
Cases	Older	3	midfront	H1_dosage*footyrs	0.816	172	0.012	0.063	0.855284993787162	0.912303993372973
Cases	Younger	3	midfront	H1_dosage*footyrs	0.834	163	-0.008	0.064	0.905536899284774	0.938010257812275
All	NA	4	midfront	H1_dosage*stratum	0.832	537	-0.621	0.339	0.0676899943813432	0.180506651683582
Cases	NA	4	midfront	H1_dosage*stratum	0.826	372	-0.75	0.406	0.0653145097383985	0.180506651683582
All	Older	1	suptemp	H1_dosage	0.835	253	-0.509	0.273	0.0638439335650338	0.164150079374121
All	Younger	1	suptemp	H1_dosage	0.83	284	0.427	0.233	0.0683552519095452	0.164150079374121
Cases	Older	1	suptemp	H1_dosage	0.816	194	-0.873	0.315	0.00620210400322208	0.074425248038665
Cases	Younger	1	suptemp	H1_dosage	0.837	178	0.599	0.286	0.03768391645026	0.15073566580104
All	Older	2	suptemp	H1_dosage	0.836	211	-0.648	0.309	0.0372473726169278	0.198652653956948
All	Younger	2	suptemp	H1_dosage	0.836	245	0.267	0.255	0.296428451847948	0.4856316503096
Cases	Older	2	suptemp	H1_dosage	0.816	172	-0.777	0.337	0.0224741582493162	0.187680307945151
Cases	Younger	2	suptemp	H1_dosage	0.834	163	0.546	0.298	0.0690978799073469	0.301518021413877
All	Older	3	suptemp	H1_dosage*footyrs	0.836	211	0.142	0.056	0.0118249573921596	0.28379897741183
All	Younger	3	suptemp	H1_dosage*footyrs	0.836	245	0.022	0.052	0.678032300500488	0.780608409311912
Cases	Older	3	suptemp	H1_dosage*footyrs	0.816	172	0.116	0.063	0.0690047661377351	0.526484004449092
Cases	Younger	3	suptemp	H1_dosage*footyrs	0.834	163	0.006	0.062	0.918468377441186	0.938010257812275
All	NA	4	suptemp	H1_dosage*stratum	0.832	537	-0.768	0.346	0.026708296803027	0.160249780818162
Cases	NA	4	suptemp	H1_dosage*stratum	0.826	372	-1.032	0.412	0.0125944727708838	0.151133673250606
All	Older	1	CTEstage	H1_dosage	0.835	253	-0.882	0.271	0.00131339254177876	0.0389613632939465
All	Younger	1	CTEstage	H1_dosage	0.829	283	0.382	0.224	0.0890773650913022	0.164150079374121
Cases	Older	1	CTEstage	H1_dosage	0.816	194	-0.777	0.315	0.0146797117432214	0.10154436974369
Cases	Younger	1	CTEstage	H1_dosage	0.836	177	0.677	0.292	0.0218022746972772	0.104650918546931
All	Older	2	CTEstage	H1_dosage	0.836	211	-0.982	0.314	0.00205276634236662	0.0985327844335978
All	Younger	2	CTEstage	H1_dosage	0.836	245	0.265	0.246	0.284269179123331	0.4856316503096
Cases	Older	2	CTEstage	H1_dosage	0.816	172	-0.58	0.336	0.0863156760956829	0.316946170097298
Cases	Younger	2	CTEstage	H1_dosage	0.834	163	0.521	0.303	0.0878835654527781	0.316946170097298
All	Older	3	CTEstage	H1_dosage*footyrs	0.836	211	0.086	0.063	0.176515161147165	0.606475930926829
All	Younger	3	CTEstage	H1_dosage*footyrs	0.836	245	-0.049	0.056	0.378612710157503	0.610038450076186
Cases	Older	3	CTEstage	H1_dosage*footyrs	0.816	172	0.034	0.069	0.625158212100519	0.780608409311912
Cases	Younger	3	CTEstage	H1_dosage*footyrs	0.834	163	-0.08	0.07	0.255869627519125	0.606475930926829
All	NA	4	CTEstage	H1_dosage*stratum	0.832	536	-1.165	0.344	0.000762598745363441	0.0183023698887226
Cases	NA	4	CTEstage	H1_dosage*stratum	0.825	371	-0.939	0.404	0.0207616210412589	0.160249780818162
All	Older	1	subnigra	H1_dosage	0.835	253	-0.208	0.255	0.415663547891194	0.525048692073087
All	Younger	1	subnigra	H1_dosage	0.83	284	0.445	0.248	0.0739938006759848	0.164150079374121
Cases	Older	1	subnigra	H1_dosage	0.816	194	-0.115	0.288	0.691031020106168	0.77138346430456
Cases	Younger	1	subnigra	H1_dosage	0.837	178	0.524	0.298	0.0808257254001115	0.164150079374121
All	Older	2	subnigra	H1_dosage	0.836	211	-0.261	0.29	0.368984546839598	0.553476820259397
All	Younger	2	subnigra	H1_dosage	0.836	245	0.13	0.265	0.624286651181026	0.807317027684832
