Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	Older	1	amygdala	H2A1G2	0.124	249	-0.015	0.269	0.955617918783291	0.955617918783291
All	Younger	1	amygdala	H2A1G2	0.114	277	-0.619	0.268	0.0216027530782035	0.148133163964824
Cases	Older	1	amygdala	H2A1G2	0.145	190	0.364	0.304	0.232692615303585	0.362695341144892
Cases	Younger	1	amygdala	H2A1G2	0.115	174	-0.884	0.329	0.00809955174678167	0.124119098862614
All	Older	2	amygdala	H2A1G2	0.118	207	0.19	0.309	0.540749133142957	0.740757320986709
All	Younger	2	amygdala	H2A1G2	0.11	240	-0.518	0.302	0.087677616756068	0.357117024522376
Cases	Older	2	amygdala	H2A1G2	0.143	168	0.338	0.331	0.308357805474618	0.604792211813241
Cases	Younger	2	amygdala	H2A1G2	0.116	160	-0.966	0.356	0.0075081400166126	0.180195360398702
All	Older	3	amygdala	H2A1G2*footyrs	0.118	207	-0.062	0.052	0.234815948121908	0.713331578808342
All	Younger	3	amygdala	H2A1G2*footyrs	0.11	240	-0.079	0.064	0.213563139268014	0.713331578808342
Cases	Older	3	amygdala	H2A1G2*footyrs	0.143	168	-0.042	0.057	0.460823607586542	0.857966960900484
Cases	Younger	3	amygdala	H2A1G2*footyrs	0.116	160	0.017	0.086	0.842448747760944	0.91379300339395
All	NA	4	amygdala	H2A1G2*stratum	0.119	526	0.385	0.352	0.275847954574304	0.441356727318886
Cases	NA	4	amygdala	H2A1G2*stratum	0.13	364	0.705	0.421	0.0944206928485398	0.36164616552407
All	Older	1	CA1	H2A1G2	0.124	249	-0.164	0.274	0.550917910179408	0.678052812528502
All	Younger	1	CA1	H2A1G2	0.114	277	-0.457	0.275	0.0976597289601555	0.234383349504373
Cases	Older	1	CA1	H2A1G2	0.145	190	-0.05	0.311	0.872320227317569	0.890880232154113
Cases	Younger	1	CA1	H2A1G2	0.115	174	-0.616	0.336	0.0687998141491204	0.230055940904086
All	Older	2	CA1	H2A1G2	0.118	207	-0.088	0.322	0.785130742362444	0.837472791853274
All	Younger	2	CA1	H2A1G2	0.11	240	-0.345	0.307	0.263117017467311	0.574073492655951
Cases	Older	2	CA1	H2A1G2	0.143	168	0.032	0.338	0.924910155235716	0.924910155235716
Cases	Younger	2	CA1	H2A1G2	0.116	160	-0.595	0.355	0.0958944605651739	0.357117024522376
All	Older	3	CA1	H2A1G2*footyrs	0.118	207	-0.035	0.053	0.509804261756302	0.857966960900484
All	Younger	3	CA1	H2A1G2*footyrs	0.11	240	-0.028	0.066	0.674482921367894	0.899876497188341
Cases	Older	3	CA1	H2A1G2*footyrs	0.143	168	-0.012	0.057	0.827060033776915	0.91379300339395
Cases	Younger	3	CA1	H2A1G2*footyrs	0.116	160	0.036	0.084	0.670054172367942	0.899876497188341
All	NA	4	CA1	H2A1G2*stratum	0.119	526	0.15	0.367	0.68325260706751	0.757364993939352
Cases	NA	4	CA1	H2A1G2*stratum	0.13	364	0.113	0.433	0.794301839165841	0.794301839165841
All	Older	1	CA2	H2A1G2	0.124	249	-0.122	0.26	0.640484694129881	0.711557975319351
All	Younger	1	CA2	H2A1G2	0.114	277	-0.502	0.286	0.0802678404041173	0.230055940904086
Cases	Older	1	CA2	H2A1G2	0.145	190	-0.157	0.287	0.585390537529701	0.702468645035641
Cases	Younger	1	CA2	H2A1G2	0.115	174	-0.731	0.344	0.0351327811622824	0.192693122912454
All	Older	2	CA2	H2A1G2	0.118	207	-0.131	0.305	0.66883122809443	0.76144208383713
All	Younger	2	CA2	H2A1G2	0.11	240	-0.494	0.322	0.126478946185008	0.357117024522376
Cases	Older	2	CA2	H2A1G2	0.143	168	-0.286	0.319	0.371472094985647	0.614850364114174
Cases	Younger	2	CA2	H2A1G2	0.116	160	-0.843	0.367	0.0230518973666363	0.221298214719708
All	Older	3	CA2	H2A1G2*footyrs	0.118	207	0.004	0.052	0.943345673963063	0.952685931587928
All	Younger	3	CA2	H2A1G2*footyrs	0.11	240	0.008	0.078	0.918093113635068	0.952685931587928
Cases	Older	3	CA2	H2A1G2*footyrs	0.143	168	0.052	0.057	0.367320239891699	0.839589119752455
Cases	Younger	3	CA2	H2A1G2*footyrs	0.116	160	0.154	0.108	0.15513995028277	0.676974328506633
All	NA	4	CA2	H2A1G2*stratum	0.119	526	0.141	0.359	0.694251244444406	0.757364993939352
Cases	NA	4	CA2	H2A1G2*stratum	0.13	364	0.177	0.415	0.669647168963147	0.757364993939352
All	Older	1	CA4	H2A1G2	0.124	249	-0.24	0.266	0.368570183639868	0.478145103100369
All	Younger	1	CA4	H2A1G2	0.114	277	-0.831	0.289	0.00437380518056019	0.104971324333445
Cases	Older	1	CA4	H2A1G2	0.145	190	-0.234	0.3	0.435914102087796	0.550628339479321
Cases	Younger	1	CA4	H2A1G2	0.115	174	-0.859	0.337	0.0117876657735838	0.124119098862614
All	Older	2	CA4	H2A1G2	0.118	207	-0.163	0.325	0.617297767488924	0.740757320986709
All	Younger	2	CA4	H2A1G2	0.11	240	-0.772	0.324	0.0179967180660421	0.221298214719708
Cases	Older	2	CA4	H2A1G2	0.143	168	-0.187	0.348	0.591350618541511	0.740757320986709
Cases	Younger	2	CA4	H2A1G2	0.116	160	-0.832	0.357	0.021166266651238	0.221298214719708
All	Older	3	CA4	H2A1G2*footyrs	0.118	207	-0.127	0.053	0.0169395472152727	0.399919501799569
All	Younger	3	CA4	H2A1G2*footyrs	0.11	240	-0.054	0.069	0.434394586487877	0.857966960900484
Cases	Older	3	CA4	H2A1G2*footyrs	0.143	168	-0.088	0.059	0.137249747775599	0.658798789322875
Cases	Younger	3	CA4	H2A1G2*footyrs	0.116	160	-0.015	0.084	0.856680940681828	0.91379300339395
All	NA	4	CA4	H2A1G2*stratum	0.119	526	0.495	0.363	0.173937134225607	0.41875564156727
Cases	NA	4	CA4	H2A1G2*stratum	0.13	364	0.491	0.424	0.247920434359862	0.441356727318886
All	Older	1	entorhinal	H2A1G2	0.124	249	0.305	0.279	0.274949277342174	0.399926221588617
All	Younger	1	entorhinal	H2A1G2	0.114	277	-0.458	0.273	0.0948482371143307	0.234383349504373
Cases	Older	1	entorhinal	H2A1G2	0.145	190	0.595	0.336	0.0783074550012128	0.230055940904086
Cases	Younger	1	entorhinal	H2A1G2	0.115	174	-0.608	0.339	0.0749146045670013	0.230055940904086
All	Older	2	entorhinal	H2A1G2	0.118	207	0.477	0.342	0.164901397677888	0.416593004659928
All	Younger	2	entorhinal	H2A1G2	0.11	240	-0.392	0.313	0.212499530309217	0.509998872742121
Cases	Older	2	entorhinal	H2A1G2	0.143	168	0.57	0.361	0.117104642685875	0.357117024522376
Cases	Younger	2	entorhinal	H2A1G2	0.116	160	-0.771	0.365	0.0365138180532028	0.245751208304341
All	Older	3	entorhinal	H2A1G2*footyrs	0.118	207	-0.071	0.058	0.22687148703138	0.713331578808342
All	Younger	3	entorhinal	H2A1G2*footyrs	0.11	240	-0.136	0.065	0.0365719349498761	0.399919501799569
Cases	Older	3	entorhinal	H2A1G2*footyrs	0.143	168	-0.043	0.064	0.501207859018336	0.857966960900484
Cases	Younger	3	entorhinal	H2A1G2*footyrs	0.116	160	-0.098	0.082	0.237777192936114	0.713331578808342
All	NA	4	entorhinal	H2A1G2*stratum	0.119	526	0.468	0.37	0.206359265163743	0.41875564156727
Cases	NA	4	entorhinal	H2A1G2*stratum	0.13	364	0.608	0.447	0.174189965971886	0.41875564156727
All	Older	1	inforbfront	H2A1G2	0.124	249	0.312	0.261	0.233749544055239	0.362695341144892
All	Younger	1	inforbfront	H2A1G2	0.114	277	-0.134	0.268	0.618407691055336	0.711557975319351
Cases	Older	1	inforbfront	H2A1G2	0.145	190	0.492	0.305	0.108151449419754	0.235966798734009
Cases	Younger	1	inforbfront	H2A1G2	0.115	174	-0.313	0.333	0.348021049751838	0.464028066335784
All	Older	2	inforbfront	H2A1G2	0.118	207	0.282	0.305	0.356851477922977	0.611745390725103
All	Younger	2	inforbfront	H2A1G2	0.11	240	0.035	0.297	0.907192199837342	0.924910155235716
Cases	Older	2	inforbfront	H2A1G2	0.143	168	0.322	0.328	0.327595781398839	0.604792211813241
Cases	Younger	2	inforbfront	H2A1G2	0.116	160	-0.131	0.352	0.709837022777708	0.774367661212045
All	Older	3	inforbfront	H2A1G2*footyrs	0.118	207	-0.098	0.053	0.0679554759857304	0.522694951584329
All	Younger	3	inforbfront	H2A1G2*footyrs	0.11	240	-0.02	0.061	0.740530732814151	0.899876497188341
Cases	Older	3	inforbfront	H2A1G2*footyrs	0.143	168	-0.048	0.057	0.397436599140142	0.846044722397674
Cases	Younger	3	inforbfront	H2A1G2*footyrs	0.116	160	-0.026	0.078	0.739172032919755	0.899876497188341
All	NA	4	inforbfront	H2A1G2*stratum	0.119	526	0.374	0.361	0.30150941044724	0.45226411567086
Cases	NA	4	inforbfront	H2A1G2*stratum	0.13	364	0.554	0.441	0.209377820783635	0.41875564156727
All	Older	1	infpar	H2A1G2	0.124	249	0.54	0.264	0.0423325820369322	0.203196393777275
All	Younger	1	infpar	H2A1G2	0.114	277	-0.409	0.274	0.136654907084178	0.254472766327562
Cases	Older	1	infpar	H2A1G2	0.145	190	0.63	0.298	0.0361299605460852	0.192693122912454
Cases	Younger	1	infpar	H2A1G2	0.115	174	-0.506	0.34	0.137839415094096	0.254472766327562
All	Older	2	infpar	H2A1G2	0.118	207	0.484	0.309	0.119480756020862	0.357117024522376
All	Younger	2	infpar	H2A1G2	0.11	240	-0.194	0.304	0.523194208184185	0.738627117436497
Cases	Older	2	infpar	H2A1G2	0.143	168	0.533	0.325	0.102870221857709	0.357117024522376
Cases	Younger	2	infpar	H2A1G2	0.116	160	-0.407	0.362	0.262139945023927	0.574073492655951
All	Older	3	infpar	H2A1G2*footyrs	0.118	207	-0.113	0.054	0.0366585229999086	0.399919501799569
All	Younger	3	infpar	H2A1G2*footyrs	0.11	240	-0.016	0.058	0.79042057317389	0.91379300339395
Cases	Older	3	infpar	H2A1G2*footyrs	0.143	168	-0.093	0.058	0.109771606897288	0.658629641383728
Cases	Younger	3	infpar	H2A1G2*footyrs	0.116	160	-0.025	0.071	0.726665333954679	0.899876497188341
All	NA	4	infpar	H2A1G2*stratum	0.119	526	0.776	0.368	0.0352395582782417	0.292704317242874
Cases	NA	4	infpar	H2A1G2*stratum	0.13	364	0.867	0.438	0.0487840528738124	0.292704317242874
All	Older	1	loccoer	H2A1G2	0.124	249	-0.28	0.286	0.330540151347276	0.464028066335784
All	Younger	1	loccoer	H2A1G2	0.114	277	-0.412	0.271	0.130746975461362	0.254472766327562
Cases	Older	1	loccoer	H2A1G2	0.145	190	-0.096	0.326	0.768456736970206	0.801867899447171
Cases	Younger	1	loccoer	H2A1G2	0.115	174	-0.416	0.364	0.256855857611653	0.38528378641748
All	Older	2	loccoer	H2A1G2	0.118	207	-0.182	0.346	0.601505115268666	0.740757320986709
All	Younger	2	loccoer	H2A1G2	0.11	240	-0.235	0.302	0.437855252840944	0.651684482993497
Cases	Older	2	loccoer	H2A1G2	0.143	168	-0.152	0.369	0.682125200104096	0.76144208383713
Cases	Younger	2	loccoer	H2A1G2	0.116	160	-0.295	0.387	0.448033082058029	0.651684482993497
All	Older	3	loccoer	H2A1G2*footyrs	0.118	207	-0.049	0.059	0.405396429482219	0.846044722397674
All	Younger	3	loccoer	H2A1G2*footyrs	0.11	240	0.047	0.064	0.468334885687719	0.857966960900484
Cases	Older	3	loccoer	H2A1G2*footyrs	0.143	168	-0.026	0.062	0.675743368462317	0.899876497188341
Cases	Younger	3	loccoer	H2A1G2*footyrs	0.116	160	0.119	0.09	0.189607681024922	0.713331578808342
All	NA	4	loccoer	H2A1G2*stratum	0.119	526	0.189	0.39	0.6296352322065	0.757364993939352
Cases	NA	4	loccoer	H2A1G2*stratum	0.13	364	0.274	0.497	0.582760309815112	0.757364993939352
All	Older	1	midfront	H2A1G2	0.124	249	0.343	0.271	0.206413710391201	0.353852074956345
All	Younger	1	midfront	H2A1G2	0.114	277	-0.116	0.257	0.652194234533546	0.711557975319351
Cases	Older	1	midfront	H2A1G2	0.145	190	0.549	0.318	0.0862709778390323	0.230055940904086
Cases	Younger	1	midfront	H2A1G2	0.115	174	-0.311	0.33	0.346723500130004	0.464028066335784
