Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	Older	1	amygdala	H2_alpha_dosage	0.235	253	0.144	0.182	0.42874984861822	0.54157875614933
All	Younger	1	amygdala	H2_alpha_dosage	0.245	284	-0.339	0.168	0.0442342007061725	0.211764619115661
Cases	Older	1	amygdala	H2_alpha_dosage	0.259	194	0.321	0.216	0.138720763106727	0.277441526213454
Cases	Younger	1	amygdala	H2_alpha_dosage	0.229	178	-0.376	0.204	0.0667595983365616	0.211764619115661
All	Older	2	amygdala	H2_alpha_dosage	0.234	211	0.278	0.204	0.173918195014331	0.449067556952137
All	Younger	2	amygdala	H2_alpha_dosage	0.236	245	-0.199	0.187	0.286298782833818	0.570380392153571
Cases	Older	2	amygdala	H2_alpha_dosage	0.258	172	0.359	0.232	0.124044145689299	0.372132437067897
Cases	Younger	2	amygdala	H2_alpha_dosage	0.231	163	-0.374	0.216	0.0857540887997972	0.327910697285006
All	Older	3	amygdala	H2_alpha_dosage*footyrs	0.234	211	-0.074	0.039	0.0604918730824675	0.38654822374245
All	Younger	3	amygdala	H2_alpha_dosage*footyrs	0.236	245	-0.01	0.039	0.801551624787601	0.916058999757258
Cases	Older	3	amygdala	H2_alpha_dosage*footyrs	0.258	172	-0.084	0.047	0.0758270823414642	0.38654822374245
Cases	Younger	3	amygdala	H2_alpha_dosage*footyrs	0.231	163	0.027	0.045	0.547107344950883	0.673362886093394
All	NA	4	amygdala	H2_alpha_dosage*stratum	0.24	537	0.384	0.234	0.101553349227131	0.221570943768286
Cases	NA	4	amygdala	H2_alpha_dosage*stratum	0.244	372	0.498	0.283	0.0798413886849447	0.221570943768286
All	Older	1	CA1	H2_alpha_dosage	0.235	253	0.036	0.18	0.842206506431094	0.898353606859834
All	Younger	1	CA1	H2_alpha_dosage	0.245	284	-0.262	0.168	0.120309565940802	0.252321987875587
Cases	Older	1	CA1	H2_alpha_dosage	0.259	194	0.102	0.202	0.612232481883973	0.716759978790993
Cases	Younger	1	CA1	H2_alpha_dosage	0.229	178	-0.268	0.203	0.189120246160645	0.330795307073381
All	Older	2	CA1	H2_alpha_dosage	0.234	211	0.15	0.196	0.4459678856268	0.657247957518873
All	Younger	2	CA1	H2_alpha_dosage	0.236	245	-0.142	0.188	0.451857970794225	0.657247957518873
Cases	Older	2	CA1	H2_alpha_dosage	0.258	172	0.199	0.217	0.36191224157704	0.581397362231382
Cases	Younger	2	CA1	H2_alpha_dosage	0.231	163	-0.225	0.215	0.297073120913318	0.570380392153571
All	Older	3	CA1	H2_alpha_dosage*footyrs	0.234	211	-0.066	0.037	0.0784676997009028	0.38654822374245
All	Younger	3	CA1	H2_alpha_dosage*footyrs	0.236	245	0.028	0.041	0.496934060528301	0.673362886093394
Cases	Older	3	CA1	H2_alpha_dosage*footyrs	0.258	172	-0.064	0.043	0.136420189601658	0.426816624701585
Cases	Younger	3	CA1	H2_alpha_dosage*footyrs	0.231	163	0.055	0.046	0.238315979631581	0.497355087926778
All	NA	4	CA1	H2_alpha_dosage*stratum	0.24	537	0.247	0.235	0.293824666497571	0.371146947154826
Cases	NA	4	CA1	H2_alpha_dosage*stratum	0.244	372	0.229	0.276	0.408005107597016	0.466291551539447
All	Older	1	CA2	H2_alpha_dosage	0.235	253	0.013	0.173	0.93924027840579	0.93924027840579
All	Younger	1	CA2	H2_alpha_dosage	0.245	284	-0.435	0.181	0.0172949100312807	0.166031136300295
Cases	Older	1	CA2	H2_alpha_dosage	0.259	194	0.025	0.193	0.898541420783869	0.93760843907882
Cases	Younger	1	CA2	H2_alpha_dosage	0.229	178	-0.462	0.217	0.035318465834659	0.211764619115661
All	Older	2	CA2	H2_alpha_dosage	0.234	211	0.071	0.191	0.709219341847181	0.876908937597434
