Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	1	amygdala	H1B1G3	0.042	526	0.158	0.312	0.611497434997422	0.975682267740047
All	2	amygdala	H1B1G3	0.032	447	0.182	0.385	0.637070123765698	0.69498558956258
All	3	amygdala	H1B1G3*footyrs	0.032	447	-0.027	0.072	0.701193844644707	0.824899025790908
All	1	CA1	H1B1G3	0.042	526	-0.186	0.302	0.538735296371971	0.975682267740047
All	2	CA1	H1B1G3	0.032	447	-0.368	0.361	0.307862589786043	0.69498558956258
All	3	CA1	H1B1G3*footyrs	0.032	447	-0.008	0.07	0.90306637355275	0.90306637355275
All	1	CA2	H1B1G3	0.042	526	0.138	0.304	0.650454845160031	0.975682267740047
All	2	CA2	H1B1G3	0.032	447	0.231	0.376	0.540754998572645	0.69498558956258
All	3	CA2	H1B1G3*footyrs	0.032	447	0.033	0.077	0.674374154540459	0.824899025790908
All	1	CA4	H1B1G3	0.042	526	-0.277	0.311	0.37367145727535	0.975682267740047
All	2	CA4	H1B1G3	0.032	447	-0.289	0.403	0.474845490790042	0.69498558956258
All	3	CA4	H1B1G3*footyrs	0.032	447	0.056	0.081	0.492428480053096	0.824899025790908
All	1	entorhinal	H1B1G3	0.042	526	-0.009	0.323	0.977384580393447	0.977384580393447
All	2	entorhinal	H1B1G3	0.032	447	0.209	0.399	0.600053590178574	0.69498558956258
All	3	entorhinal	H1B1G3*footyrs	0.032	447	0.037	0.082	0.652582592604676	0.824899025790908
All	1	inforbfront	H1B1G3	0.042	526	0.065	0.307	0.833127495642721	0.977384580393447
All	2	inforbfront	H1B1G3	0.032	447	-0.179	0.369	0.626979494987842	0.69498558956258
All	3	inforbfront	H1B1G3*footyrs	0.032	447	0.026	0.075	0.733836584153234	0.824899025790908
All	1	infpar	H1B1G3	0.042	526	-0.016	0.308	0.958209292958594	0.977384580393447
All	2	infpar	H1B1G3	0.032	447	-0.216	0.363	0.551665059515433	0.69498558956258
All	3	infpar	H1B1G3*footyrs	0.032	447	0.048	0.074	0.521182749082137	0.824899025790908
All	1	loccoer	H1B1G3	0.042	526	-0.166	0.316	0.599233295655363	0.975682267740047
All	2	loccoer	H1B1G3	0.032	447	0.36	0.386	0.351915264253523	0.69498558956258
All	3	loccoer	H1B1G3*footyrs	0.032	447	0.16	0.086	0.0624064103789816	0.748876924547779
All	1	midfront	H1B1G3	0.042	526	0.012	0.303	0.968417092583314	0.977384580393447
All	2	midfront	H1B1G3	0.032	447	-0.064	0.366	0.861565637445288	0.861565637445288
All	3	midfront	H1B1G3*footyrs	0.032	447	-0.062	0.073	0.394517594396018	0.824899025790908
All	1	suptemp	H1B1G3	0.042	526	0.258	0.302	0.39351729541391	0.975682267740047
All	2	suptemp	H1B1G3	0.032	447	0.386	0.369	0.295644172326425	0.69498558956258
All	3	suptemp	H1B1G3*footyrs	0.032	447	0.033	0.074	0.652669790167436	0.824899025790908
All	1	CTEstage	H1B1G3	0.042	525	-0.358	0.298	0.230839172009553	0.975682267740047
All	2	CTEstage	H1B1G3	0.032	447	-0.415	0.36	0.250059630655331	0.69498558956258
All	3	CTEstage	H1B1G3*footyrs	0.032	447	-0.104	0.076	0.170553928893308	0.824899025790908
All	1	subnigra	H1B1G3	0.042	526	0.332	0.304	0.276664457019367	0.975682267740047
All	2	subnigra	H1B1G3	0.032	447	0.37	0.387	0.34027717692716	0.69498558956258
All	3	subnigra	H1B1G3*footyrs	0.032	447	-0.025	0.08	0.756157440308332	0.824899025790908
