Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	1	amygdala	H1_beta_dosage	1.127	537	0.003	0.098	0.979158209266015	0.989681818595245
All	2	amygdala	H1_beta_dosage	1.121	456	-0.084	0.112	0.45387827491738	0.544653929900856
All	3	amygdala	H1_beta_dosage*footyrs	1.121	456	0.041	0.022	0.0705609599065211	0.120961645554036
All	1	CA1	H1_beta_dosage	1.127	537	0.076	0.097	0.433157599795005	0.62405002590618
All	2	CA1	H1_beta_dosage	1.121	456	0.027	0.109	0.803414774631288	0.803414774631288
All	3	CA1	H1_beta_dosage*footyrs	1.121	456	0.022	0.021	0.293932197282664	0.352718636739197
All	1	CA2	H1_beta_dosage	1.127	537	0.077	0.1	0.442016789037703	0.62405002590618
All	2	CA2	H1_beta_dosage	1.121	456	0.129	0.113	0.254140164653952	0.508280329307904
All	3	CA2	H1_beta_dosage*footyrs	1.121	456	0.014	0.021	0.493238599324325	0.538078471990173
All	1	CA4	H1_beta_dosage	1.127	537	0.13	0.098	0.18477013823671	0.55431041471013
All	2	CA4	H1_beta_dosage	1.121	456	0.192	0.115	0.0964273537403648	0.289282061221094
All	3	CA4	H1_beta_dosage*footyrs	1.121	456	0.047	0.023	0.039319399034647	0.099518418946142
All	1	entorhinal	H1_beta_dosage	1.127	537	-0.074	0.102	0.468037519429635	0.62405002590618
All	2	entorhinal	H1_beta_dosage	1.121	456	-0.106	0.117	0.367606630384232	0.525404181417788
All	3	entorhinal	H1_beta_dosage*footyrs	1.121	456	0.04	0.024	0.102740649901996	0.154110974852994
All	1	inforbfront	H1_beta_dosage	1.127	537	-0.135	0.098	0.165815833631463	0.55431041471013
All	2	inforbfront	H1_beta_dosage	1.121	456	-0.212	0.111	0.0576406908772049	0.289282061221094
All	3	inforbfront	H1_beta_dosage*footyrs	1.121	456	0.041	0.021	0.049759209473071	0.099518418946142
All	1	infpar	H1_beta_dosage	1.127	537	-0.076	0.098	0.438747985599532	0.62405002590618
All	2	infpar	H1_beta_dosage	1.121	456	-0.096	0.111	0.390226288850999	0.525404181417788
All	3	infpar	H1_beta_dosage*footyrs	1.121	456	0.06	0.022	0.0061421717394432	0.0354161610169772
All	1	loccoer	H1_beta_dosage	1.127	537	0.032	0.101	0.748831390731529	0.898597668877835
All	2	loccoer	H1_beta_dosage	1.121	456	-0.063	0.116	0.586591195724686	0.639917668063294
All	3	loccoer	H1_beta_dosage*footyrs	1.121	456	0.007	0.022	0.767836548362011	0.767836548362011
All	1	midfront	H1_beta_dosage	1.127	537	-0.132	0.097	0.176713522486123	0.55431041471013
All	2	midfront	H1_beta_dosage	1.121	456	-0.215	0.111	0.0538798041240349	0.289282061221094
All	3	midfront	H1_beta_dosage*footyrs	1.121	456	0.025	0.021	0.250690777098905	0.334254369465207
All	1	suptemp	H1_beta_dosage	1.127	537	-0.091	0.099	0.358915576298846	0.62405002590618
All	2	suptemp	H1_beta_dosage	1.121	456	-0.163	0.114	0.153069173466613	0.367366016319871
All	3	suptemp	H1_beta_dosage*footyrs	1.121	456	0.057	0.022	0.0088540402542443	0.0354161610169772
All	1	CTEstage	H1_beta_dosage	1.127	536	-0.154	0.096	0.110717687941058	0.55431041471013
All	2	CTEstage	H1_beta_dosage	1.121	456	-0.192	0.111	0.0829115745893447	0.289282061221094
All	3	CTEstage	H1_beta_dosage*footyrs	1.121	456	0.048	0.024	0.0461695202942298	0.099518418946142
All	1	subnigra	H1_beta_dosage	1.127	537	-0.001	0.098	0.989681818595245	0.989681818595245
All	2	subnigra	H1_beta_dosage	1.121	456	-0.095	0.112	0.394053136063341	0.525404181417788
All	3	subnigra	H1_beta_dosage*footyrs	1.121	456	0.068	0.022	0.00258906405534431	0.0310687686641317
