Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	1	amygdala	H1_dosage	0.832	537	0.323	0.17	0.0576463116311059	0.230585246524424
All	2	amygdala	H1_dosage	0.836	456	0.175	0.189	0.356003818685616	0.854409164845478
All	3	amygdala	H1_dosage*footyrs	0.836	456	0.065	0.038	0.089038446117953	0.231663530967079
All	1	CA1	H1_dosage	0.832	537	0.28	0.173	0.105538967364328	0.278941073036714
All	2	CA1	H1_dosage	0.836	456	0.147	0.19	0.43815686848068	0.864042273500572
All	3	CA1	H1_dosage*footyrs	0.836	456	0.038	0.037	0.305493001850667	0.407324002467556
All	1	CA2	H1_dosage	0.832	537	0.426	0.172	0.0138331560865206	0.0829989365191236
All	2	CA2	H1_dosage	0.836	456	0.406	0.193	0.0356522801784278	0.213913681070567
All	3	CA2	H1_dosage*footyrs	0.836	456	-0.001	0.038	0.98717302682824	0.98717302682824
All	1	CA4	H1_dosage	0.832	537	0.469	0.173	0.00702785675484474	0.0829989365191236
All	2	CA4	H1_dosage	0.836	456	0.419	0.197	0.0337865585693657	0.213913681070567
All	3	CA4	H1_dosage*footyrs	0.836	456	0.05	0.039	0.197306546092629	0.33823979330165
All	1	entorhinal	H1_dosage	0.832	537	0.191	0.175	0.27658440501213	0.474144694306509
All	2	entorhinal	H1_dosage	0.836	456	0.126	0.198	0.524054522839656	0.864042273500572
All	3	entorhinal	H1_dosage*footyrs	0.836	456	0.071	0.041	0.0793087825991097	0.231663530967079
All	1	inforbfront	H1_dosage	0.832	537	0.051	0.167	0.758038329276459	0.826950904665228
All	2	inforbfront	H1_dosage	0.836	456	-0.082	0.186	0.65878656765582	0.864042273500572
All	3	inforbfront	H1_dosage*footyrs	0.836	456	0.077	0.037	0.0370359713007256	0.231663530967079
All	1	infpar	H1_dosage	0.832	537	0.132	0.168	0.431552583002854	0.575403444003805
All	2	infpar	H1_dosage	0.836	456	0.043	0.188	0.819173683596509	0.864042273500572
All	3	infpar	H1_dosage*footyrs	0.836	456	0.06	0.036	0.0965264712362828	0.231663530967079
All	1	loccoer	H1_dosage	0.832	537	0.262	0.177	0.139470536518357	0.278941073036714
All	2	loccoer	H1_dosage	0.836	456	0.094	0.194	0.627613691611209	0.864042273500572
All	3	loccoer	H1_dosage*footyrs	0.836	456	0.033	0.04	0.413855518361212	0.496626622033454
All	1	midfront	H1_dosage	0.832	537	0.007	0.166	0.96462531844879	0.96462531844879
All	2	midfront	H1_dosage	0.836	456	-0.177	0.187	0.34521798398048	0.854409164845478
All	3	midfront	H1_dosage*footyrs	0.836	456	0.041	0.038	0.28152689031943	0.407324002467556
All	1	suptemp	H1_dosage	0.832	537	0.116	0.17	0.497576157395929	0.597091388875115
All	2	suptemp	H1_dosage	0.836	456	-0.032	0.189	0.864042273500572	0.864042273500572
All	3	suptemp	H1_dosage*footyrs	0.836	456	0.068	0.037	0.0656497710577284	0.231663530967079
All	1	CTEstage	H1_dosage	0.832	536	-0.136	0.164	0.405629713452628	0.575403444003805
All	2	CTEstage	H1_dosage	0.836	456	-0.256	0.184	0.164234620140303	0.656938480561212
All	3	CTEstage	H1_dosage*footyrs	0.836	456	0.005	0.04	0.906501293152939	0.98717302682824
All	1	subnigra	H1_dosage	0.832	537	0.253	0.171	0.138035924628559	0.278941073036714
All	2	subnigra	H1_dosage	0.836	456	0.046	0.19	0.809162889293852	0.864042273500572
All	3	subnigra	H1_dosage*footyrs	0.836	456	0.053	0.038	0.162469153228917	0.324938306457834
