Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	1	amygdala	H2_alpha_dosage	0.24	537	-0.182	0.118	0.12372618462752	0.475794324192207
All	2	amygdala	H2_alpha_dosage	0.235	456	-0.063	0.131	0.630924963874334	0.830052100171942
All	3	amygdala	H2_alpha_dosage*footyrs	0.235	456	-0.038	0.026	0.155778242822806	0.383198690694535
All	1	CA1	H2_alpha_dosage	0.24	537	-0.149	0.119	0.212010826333195	0.475794324192207
All	2	CA1	H2_alpha_dosage	0.235	456	-0.039	0.13	0.76088109182428	0.830052100171942
All	3	CA1	H2_alpha_dosage*footyrs	0.235	456	-0.02	0.026	0.423040066008694	0.507648079210433
All	1	CA2	H2_alpha_dosage	0.24	537	-0.268	0.119	0.0251555300060629	0.150933180036377
All	2	CA2	H2_alpha_dosage	0.235	456	-0.234	0.133	0.0790076023564101	0.54882732086533
All	3	CA2	H2_alpha_dosage*footyrs	0.235	456	0.002	0.027	0.935367379913729	0.935367379913729
All	1	CA4	H2_alpha_dosage	0.24	537	-0.277	0.12	0.0215216995758696	0.150933180036377
All	2	CA4	H2_alpha_dosage	0.235	456	-0.227	0.134	0.0914712201442216	0.54882732086533
All	3	CA4	H2_alpha_dosage*footyrs	0.235	456	-0.023	0.027	0.39291674529206	0.507648079210433
All	1	entorhinal	H2_alpha_dosage	0.24	537	-0.122	0.122	0.317196216128138	0.475794324192207
All	2	entorhinal	H2_alpha_dosage	0.235	456	-0.072	0.137	0.602039777923696	0.830052100171942
All	3	entorhinal	H2_alpha_dosage*footyrs	0.235	456	-0.04	0.028	0.159666121122723	0.383198690694535
All	1	inforbfront	H2_alpha_dosage	0.24	537	-0.04	0.116	0.734247845516636	0.800997649654512
All	2	inforbfront	H2_alpha_dosage	0.235	456	0.071	0.129	0.581413794727161	0.830052100171942
All	3	inforbfront	H2_alpha_dosage*footyrs	0.235	456	-0.048	0.025	0.0533022827467451	0.383198690694535
All	1	infpar	H2_alpha_dosage	0.24	537	-0.133	0.117	0.255338501754801	0.475794324192207
All	2	infpar	H2_alpha_dosage	0.235	456	-0.074	0.13	0.568352959585596	0.830052100171942
All	3	infpar	H2_alpha_dosage*footyrs	0.235	456	-0.036	0.025	0.146482709975965	0.383198690694535
All	1	loccoer	H2_alpha_dosage	0.24	537	-0.134	0.123	0.277547354144095	0.475794324192207
All	2	loccoer	H2_alpha_dosage	0.235	456	-0.009	0.133	0.943728116563345	0.943728116563345
All	3	loccoer	H2_alpha_dosage*footyrs	0.235	456	-0.022	0.027	0.420506912416663	0.507648079210433
All	1	midfront	H2_alpha_dosage	0.24	537	-0.01	0.115	0.928722043876209	0.928722043876209
All	2	midfront	H2_alpha_dosage	0.235	456	0.137	0.13	0.290815691663696	0.830052100171942
All	3	midfront	H2_alpha_dosage*footyrs	0.235	456	-0.031	0.026	0.242518369723998	0.471399843261607
All	1	suptemp	H2_alpha_dosage	0.24	537	-0.077	0.117	0.512075668973559	0.617024670561528
All	2	suptemp	H2_alpha_dosage	0.235	456	0.04	0.13	0.759936980286979	0.830052100171942
All	3	suptemp	H2_alpha_dosage*footyrs	0.235	456	-0.042	0.025	0.0933659464507701	0.383198690694535
All	1	CTEstage	H2_alpha_dosage	0.241	536	0.075	0.115	0.51418722546794	0.617024670561528
All	2	CTEstage	H2_alpha_dosage	0.235	456	0.171	0.129	0.186574889896553	0.746299559586212
All	3	CTEstage	H2_alpha_dosage*footyrs	0.235	456	0.006	0.028	0.819828138004862	0.894357968732577
All	1	subnigra	H2_alpha_dosage	0.24	537	-0.121	0.119	0.308080140117931	0.475794324192207
All	2	subnigra	H2_alpha_dosage	0.235	456	0.046	0.132	0.729124209868911	0.830052100171942
All	3	subnigra	H2_alpha_dosage*footyrs	0.235	456	-0.029	0.027	0.274983241902604	0.471399843261607
