Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
Cases	1	amygdala	H1B2G1	0.227	364	0.011	0.171	0.947607127908727	0.947607127908727
Cases	2	amygdala	H1B2G1	0.224	328	0.017	0.183	0.924184006322824	0.924184006322824
Cases	3	amygdala	H1B2G1*footyrs	0.224	328	0.037	0.036	0.311987698383625	0.7487704761207
Cases	1	CA1	H1B2G1	0.227	364	0.259	0.167	0.122249717655222	0.366749152965666
Cases	2	CA1	H1B2G1	0.224	328	0.249	0.178	0.16237165651578	0.526366893802512
Cases	3	CA1	H1B2G1*footyrs	0.224	328	-0.01	0.034	0.765641962717895	0.918770355261474
Cases	1	CA2	H1B2G1	0.227	364	0.111	0.169	0.512091362323344	0.877870906840018
Cases	2	CA2	H1B2G1	0.224	328	0.22	0.183	0.230999966520452	0.554399919649085
Cases	3	CA2	H1B2G1*footyrs	0.224	328	-0.025	0.035	0.471064220875382	0.918770355261474
Cases	1	CA4	H1B2G1	0.227	364	0.321	0.168	0.0578507820913192	0.366749152965666
Cases	2	CA4	H1B2G1	0.224	328	0.322	0.183	0.0796231407680001	0.526366893802512
Cases	3	CA4	H1B2G1*footyrs	0.224	328	0.012	0.036	0.743918651269611	0.918770355261474
Cases	1	entorhinal	H1B2G1	0.227	364	0.02	0.181	0.911105690000078	0.947607127908727
Cases	2	entorhinal	H1B2G1	0.224	328	0.039	0.198	0.844805168304585	0.921605638150456
Cases	3	entorhinal	H1B2G1*footyrs	0.224	328	-0.001	0.04	0.978385675321059	0.986424496676766
Cases	1	inforbfront	H1B2G1	0.227	364	-0.139	0.166	0.403153849997487	0.849028327357894
Cases	2	inforbfront	H1B2G1	0.224	328	-0.158	0.18	0.381287245397749	0.762574490795498
Cases	3	inforbfront	H1B2G1*footyrs	0.224	328	0.015	0.034	0.667905281472845	0.918770355261474
Cases	1	infpar	H1B2G1	0.227	364	-0.132	0.165	0.424514163678947	0.849028327357894
Cases	2	infpar	H1B2G1	0.224	328	-0.119	0.179	0.508557551765624	0.859189656734037
Cases	3	infpar	H1B2G1*footyrs	0.224	328	0.05	0.036	0.1592217792129	0.7487704761207
Cases	1	loccoer	H1B2G1	0.227	364	0.289	0.179	0.107331278607469	0.366749152965666
Cases	2	loccoer	H1B2G1	0.224	328	0.267	0.196	0.175455631267504	0.526366893802512
Cases	3	loccoer	H1B2G1*footyrs	0.224	328	-0.041	0.037	0.268235021568513	0.7487704761207
Cases	1	midfront	H1B2G1	0.227	364	-0.026	0.169	0.878661523447374	0.947607127908727
Cases	2	midfront	H1B2G1	0.224	328	-0.103	0.182	0.572793104489358	0.859189656734037
Cases	3	midfront	H1B2G1*footyrs	0.224	328	0.016	0.036	0.657315172907012	0.918770355261474
Cases	1	suptemp	H1B2G1	0.227	364	-0.282	0.17	0.0971688433640256	0.366749152965666
Cases	2	suptemp	H1B2G1	0.224	328	-0.298	0.183	0.104671796616326	0.526366893802512
Cases	3	suptemp	H1B2G1*footyrs	0.224	328	0.041	0.036	0.246732331132007	0.7487704761207
Cases	1	CTEstage	H1B2G1	0.227	363	-0.067	0.171	0.694207524562807	0.947607127908727
Cases	2	CTEstage	H1B2G1	0.224	328	-0.073	0.188	0.69942905734913	0.874140238126015
Cases	3	CTEstage	H1B2G1*footyrs	0.224	328	-0.001	0.038	0.986424496676766	0.986424496676766
Cases	1	subnigra	H1B2G1	0.227	364	0.026	0.168	0.87858450419951	0.947607127908727
Cases	2	subnigra	H1B2G1	0.224	328	0.063	0.18	0.728450198438346	0.874140238126015
Cases	3	subnigra	H1B2G1*footyrs	0.224	328	0.069	0.036	0.054433051708616	0.653196620503392
