Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
Cases	1	amygdala	H1_gamma_dosage	1.072	372	0.082	0.109	0.455772398079608	0.926372899306173
Cases	2	amygdala	H1_gamma_dosage	1.065	335	0.086	0.117	0.464286417028451	0.806190999057874
Cases	3	amygdala	H1_gamma_dosage*footyrs	1.065	335	-0.009	0.023	0.68801003887825	0.8256120466539
Cases	1	CA1	H1_gamma_dosage	1.072	372	-0.02	0.107	0.849175157697325	0.926372899306173
Cases	2	CA1	H1_gamma_dosage	1.065	335	-0.048	0.113	0.667538704263177	0.806190999057874
Cases	3	CA1	H1_gamma_dosage*footyrs	1.065	335	0.019	0.022	0.386805735456001	0.8256120466539
Cases	1	CA2	H1_gamma_dosage	1.072	372	0.168	0.106	0.116430821090931	0.926372899306173
Cases	2	CA2	H1_gamma_dosage	1.065	335	0.187	0.115	0.105032708384926	0.806190999057874
Cases	3	CA2	H1_gamma_dosage*footyrs	1.065	335	0.006	0.023	0.799289253784483	0.871951913219436
Cases	1	CA4	H1_gamma_dosage	1.072	372	0.117	0.109	0.280217367659281	0.926372899306173
Cases	2	CA4	H1_gamma_dosage	1.065	335	0.135	0.119	0.256882664021082	0.806190999057874
Cases	3	CA4	H1_gamma_dosage*footyrs	1.065	335	0.011	0.024	0.645797075662481	0.8256120466539
Cases	1	entorhinal	H1_gamma_dosage	1.072	372	-0.033	0.114	0.772544115847764	0.926372899306173
Cases	2	entorhinal	H1_gamma_dosage	1.065	335	0.002	0.122	0.988613829613395	0.988613829613395
Cases	3	entorhinal	H1_gamma_dosage*footyrs	1.065	335	0.011	0.026	0.679490229066043	0.8256120466539
Cases	1	inforbfront	H1_gamma_dosage	1.072	372	-0.024	0.107	0.823083709736413	0.926372899306173
Cases	2	inforbfront	H1_gamma_dosage	1.065	335	-0.084	0.115	0.463008396288556	0.806190999057874
Cases	3	inforbfront	H1_gamma_dosage*footyrs	1.065	335	0.01	0.023	0.682979903213926	0.8256120466539
Cases	1	infpar	H1_gamma_dosage	1.072	372	-0.035	0.106	0.744844093434132	0.926372899306173
Cases	2	infpar	H1_gamma_dosage	1.065	335	-0.061	0.113	0.587275068628219	0.806190999057874
Cases	3	infpar	H1_gamma_dosage*footyrs	1.065	335	0.013	0.023	0.559182428062124	0.8256120466539
Cases	1	loccoer	H1_gamma_dosage	1.072	372	0.042	0.112	0.708987181826599	0.926372899306173
Cases	2	loccoer	H1_gamma_dosage	1.065	335	0.081	0.12	0.501796489667115	0.806190999057874
Cases	3	loccoer	H1_gamma_dosage*footyrs	1.065	335	0.014	0.025	0.56791322102298	0.8256120466539
Cases	1	midfront	H1_gamma_dosage	1.072	372	-0.106	0.107	0.323100077757539	0.926372899306173
Cases	2	midfront	H1_gamma_dosage	1.065	335	-0.152	0.115	0.184697523393994	0.806190999057874
Cases	3	midfront	H1_gamma_dosage*footyrs	1.065	335	-0.032	0.023	0.17453243961526	0.8256120466539
Cases	1	suptemp	H1_gamma_dosage	1.072	372	-0.008	0.109	0.94054174816885	0.94054174816885
Cases	2	suptemp	H1_gamma_dosage	1.065	335	-0.015	0.116	0.895814921674394	0.977252641826612
Cases	3	suptemp	H1_gamma_dosage*footyrs	1.065	335	0	0.023	0.985913281581253	0.985913281581253
Cases	1	CTEstage	H1_gamma_dosage	1.071	371	-0.03	0.11	0.786343866818405	0.926372899306173
Cases	2	CTEstage	H1_gamma_dosage	1.065	335	-0.05	0.118	0.671825832548228	0.806190999057874
Cases	3	CTEstage	H1_gamma_dosage*footyrs	1.065	335	-0.024	0.025	0.340013722732168	0.8256120466539
Cases	1	subnigra	H1_gamma_dosage	1.072	372	0.111	0.106	0.297287083353643	0.926372899306173
Cases	2	subnigra	H1_gamma_dosage	1.065	335	0.073	0.115	0.528350755485478	0.806190999057874
Cases	3	subnigra	H1_gamma_dosage*footyrs	1.065	335	-0.028	0.024	0.239143533395585	0.8256120466539
