Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
Cases	1	amygdala	H2A1G2	0.13	364	-0.422	0.214	0.0497507293612378	0.149252188083713
Cases	2	amygdala	H2A1G2	0.13	328	-0.468	0.231	0.0433783175092994	0.130134952527898
Cases	3	amygdala	H2A1G2*footyrs	0.13	328	-0.032	0.045	0.486886621484981	0.730329932227472
Cases	1	CA1	H2A1G2	0.13	364	-0.371	0.219	0.0908953632472975	0.218148871793514
Cases	2	CA1	H2A1G2	0.13	328	-0.342	0.234	0.14625926406249	0.351022233749976
Cases	3	CA1	H2A1G2*footyrs	0.13	328	-0.005	0.045	0.903901284151685	0.985946354505411
Cases	1	CA2	H2A1G2	0.13	364	-0.551	0.21	0.00907969920282459	0.0544781952169475
Cases	2	CA2	H2A1G2	0.13	328	-0.6	0.228	0.00892710163376131	0.0535626098025679
Cases	3	CA2	H2A1G2*footyrs	0.13	328	0.04	0.045	0.366932342537717	0.629026872921801
Cases	1	CA4	H2A1G2	0.13	364	-0.678	0.213	0.00160215958995535	0.0192259150794642
Cases	2	CA4	H2A1G2	0.13	328	-0.67	0.236	0.00481753473932045	0.0535626098025679
Cases	3	CA4	H2A1G2*footyrs	0.13	328	-0.063	0.046	0.167570974316745	0.483052861822402
Cases	1	entorhinal	H2A1G2	0.13	364	-0.153	0.226	0.498775055397035	0.748162583095553
Cases	2	entorhinal	H2A1G2	0.13	328	-0.205	0.243	0.400019731905204	0.600029597857806
Cases	3	entorhinal	H2A1G2*footyrs	0.13	328	-0.064	0.049	0.188597451082741	0.483052861822402
Cases	1	inforbfront	H2A1G2	0.13	364	-0.057	0.213	0.790662098779921	0.923957570074345
Cases	2	inforbfront	H2A1G2	0.13	328	-0.045	0.229	0.845671872193627	0.845671872193627
Cases	3	inforbfront	H2A1G2*footyrs	0.13	328	-0.052	0.044	0.241526430911201	0.483052861822402
Cases	1	infpar	H2A1G2	0.13	364	0.051	0.215	0.811668168021972	0.923957570074345
Cases	2	infpar	H2A1G2	0.13	328	0.05	0.235	0.830085812596563	0.845671872193627
Cases	3	infpar	H2A1G2*footyrs	0.13	328	-0.075	0.043	0.0832395656000227	0.483052861822402
Cases	1	loccoer	H2A1G2	0.13	364	-0.263	0.224	0.241469267624452	0.418724594896591
Cases	2	loccoer	H2A1G2	0.13	328	-0.255	0.246	0.302429796361519	0.51845107947689
Cases	3	loccoer	H2A1G2*footyrs	0.13	328	-0.001	0.05	0.985946354505411	0.985946354505411
Cases	1	midfront	H2A1G2	0.13	364	0.042	0.216	0.846961105901483	0.923957570074345
Cases	2	midfront	H2A1G2	0.13	328	0.1	0.232	0.666107662723578	0.845671872193627
Cases	3	midfront	H2A1G2*footyrs	0.13	328	0.003	0.046	0.95186674216833	0.985946354505411
Cases	1	suptemp	H2A1G2	0.13	364	-0.015	0.221	0.944160665507071	0.944160665507071
Cases	2	suptemp	H2A1G2	0.13	328	-0.049	0.235	0.83442244640481	0.845671872193627
Cases	3	suptemp	H2A1G2*footyrs	0.13	328	-0.053	0.044	0.227316442114736	0.483052861822402
Cases	1	CTEstage	H2A1G2	0.131	363	-0.254	0.218	0.244256013689678	0.418724594896591
Cases	2	CTEstage	H2A1G2	0.13	328	-0.303	0.236	0.200439923625727	0.400879847251454
Cases	3	CTEstage	H2A1G2*footyrs	0.13	328	-0.002	0.05	0.959931657955636	0.985946354505411
Cases	1	subnigra	H2A1G2	0.13	364	-0.483	0.211	0.0227329571713439	0.0909318286853756
Cases	2	subnigra	H2A1G2	0.13	328	-0.528	0.23	0.0227450948052081	0.0909803792208324
Cases	3	subnigra	H2A1G2*footyrs	0.13	328	-0.057	0.044	0.195414695896918	0.483052861822402
