Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	Older	1	amygdala	H1_beta_dosage	1.13	253	-0.206	0.146	0.160728639850845	0.335433683166981
All	Younger	1	amygdala	H1_beta_dosage	1.123	284	0.165	0.138	0.230408654334187	0.401669667301575
Cases	Older	1	amygdala	H1_beta_dosage	1.096	194	-0.392	0.178	0.0287315938711474	0.18603171305499
Cases	Younger	1	amygdala	H1_beta_dosage	1.1	178	0.415	0.183	0.0244963336433126	0.18603171305499
All	Older	2	amygdala	H1_beta_dosage	1.125	211	-0.336	0.168	0.0464665349730526	0.227636570429686
All	Younger	2	amygdala	H1_beta_dosage	1.117	245	0.101	0.16	0.531287255614452	0.708383007485936
Cases	Older	2	amygdala	H1_beta_dosage	1.098	172	-0.421	0.191	0.0289860530029848	0.198761506306181
Cases	Younger	2	amygdala	H1_beta_dosage	1.077	163	0.465	0.208	0.0265520332649494	0.198761506306181
All	Older	3	amygdala	H1_beta_dosage*footyrs	1.125	211	0.03	0.03	0.312897842040192	0.556262830293675
All	Younger	3	amygdala	H1_beta_dosage*footyrs	1.117	245	0.105	0.039	0.00683815042145253	0.0950119792907145
Cases	Older	3	amygdala	H1_beta_dosage*footyrs	1.098	172	0.066	0.037	0.0717865947550345	0.228729661786819
Cases	Younger	3	amygdala	H1_beta_dosage*footyrs	1.077	163	0.051	0.053	0.340043354539621	0.568168511832
All	NA	4	amygdala	H1_beta_dosage*stratum	1.127	537	-0.188	0.192	0.326565548920278	0.56568964439177
Cases	NA	4	amygdala	H1_beta_dosage*stratum	1.098	372	-0.569	0.246	0.0213350132951973	0.337170285840823
All	Older	1	CA1	H1_beta_dosage	1.13	253	-0.058	0.145	0.692375840074429	0.833461713382885
All	Younger	1	CA1	H1_beta_dosage	1.123	284	0.214	0.138	0.122440878467919	0.318499060571926
Cases	Older	1	CA1	H1_beta_dosage	1.096	194	-0.081	0.17	0.634192187609128	0.822735810952382
Cases	Younger	1	CA1	H1_beta_dosage	1.1	178	0.446	0.182	0.0156890108019256	0.18603171305499
All	Older	2	CA1	H1_beta_dosage	1.125	211	-0.094	0.161	0.558913145024629	0.725076512464384
All	Younger	2	CA1	H1_beta_dosage	1.117	245	0.172	0.161	0.284436842740661	0.520201884658092
Cases	Older	2	CA1	H1_beta_dosage	1.098	172	-0.122	0.181	0.501032197279792	0.687129870555143
Cases	Younger	2	CA1	H1_beta_dosage	1.077	163	0.456	0.205	0.027454851628308	0.198761506306181
