Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	Older	1	amygdala	H1_gamma_dosage	1.073	253	-0.195	0.137	0.155588955865192	0.373413494076461
All	Younger	1	amygdala	H1_gamma_dosage	1.091	284	0.234	0.131	0.074973919218579	0.282318129305658
Cases	Older	1	amygdala	H1_gamma_dosage	1.046	194	-0.171	0.155	0.27063523205507	0.447823734312526
Cases	Younger	1	amygdala	H1_gamma_dosage	1.101	178	0.173	0.16	0.279889833945329	0.447823734312526
All	Older	2	amygdala	H1_gamma_dosage	1.06	211	-0.282	0.155	0.071342768658107	0.428056611948642
All	Younger	2	amygdala	H1_gamma_dosage	1.095	245	0.08	0.148	0.590481794942062	0.787550921989401
Cases	Older	2	amygdala	H1_gamma_dosage	1.032	172	-0.184	0.168	0.274349627523566	0.625569026313542
Cases	Younger	2	amygdala	H1_gamma_dosage	1.1	163	0.179	0.172	0.299751825108572	0.625569026313542
All	Older	3	amygdala	H1_gamma_dosage*footyrs	1.06	211	0.035	0.029	0.235080337520319	0.621848034335873
All	Younger	3	amygdala	H1_gamma_dosage*footyrs	1.095	245	-0.021	0.03	0.479852603001732	0.719778904502598
Cases	Older	3	amygdala	H1_gamma_dosage*footyrs	1.032	172	-0.009	0.034	0.796109407745614	0.97403920558921
Cases	Younger	3	amygdala	H1_gamma_dosage*footyrs	1.1	163	-0.037	0.034	0.281672786709426	0.621848034335873
All	NA	4	amygdala	H1_gamma_dosage*stratum	1.082	537	-0.349	0.179	0.0521837052503527	0.1947023303029
Cases	NA	4	amygdala	H1_gamma_dosage*stratum	1.072	372	-0.158	0.214	0.461343136866666	0.52724929927619
All	Older	1	CA1	H1_gamma_dosage	1.073	253	-0.104	0.136	0.446316191119771	0.615153112338379
All	Younger	1	CA1	H1_gamma_dosage	1.091	284	0.075	0.129	0.560876122140203	0.656635460066579
Cases	Older	1	CA1	H1_gamma_dosage	1.046	194	-0.098	0.155	0.528006955242321	0.633608346290785
Cases	Younger	1	CA1	H1_gamma_dosage	1.101	178	-0.02	0.156	0.89863597383674	0.917755888173692
All	Older	2	CA1	H1_gamma_dosage	1.06	211	-0.201	0.152	0.187434513573349	0.499825369528931
All	Younger	2	CA1	H1_gamma_dosage	1.095	245	-0.082	0.145	0.572665223113097	0.787550921989401
