Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	1	amygdala	H2_gamma_dosage	0.333	537	-0.161	0.085	0.0592083287922966	0.236833315169186
All	2	amygdala	H2_gamma_dosage	0.326	456	-0.083	0.095	0.381945322780996	0.846301364582315
All	3	amygdala	H2_gamma_dosage*footyrs	0.326	456	-0.033	0.019	0.08565820490539	0.205579691772936
All	1	CA1	H2_gamma_dosage	0.333	537	-0.138	0.087	0.113115946016509	0.298069905979656
All	2	CA1	H2_gamma_dosage	0.326	456	-0.07	0.095	0.46480271202833	0.846301364582315
All	3	CA1	H2_gamma_dosage*footyrs	0.326	456	-0.02	0.019	0.287556862303429	0.383409149737905
All	1	CA2	H2_gamma_dosage	0.333	537	-0.212	0.087	0.0150455645577958	0.0902733873467748
All	2	CA2	H2_gamma_dosage	0.326	456	-0.199	0.097	0.0403010136272297	0.241806081763378
All	3	CA2	H2_gamma_dosage*footyrs	0.326	456	0	0.019	0.993643089867571	0.993643089867571
All	1	CA4	H2_gamma_dosage	0.333	537	-0.231	0.087	0.00802802564776073	0.0902733873467748
All	2	CA4	H2_gamma_dosage	0.326	456	-0.205	0.099	0.0383179920290737	0.241806081763378
All	3	CA4	H2_gamma_dosage*footyrs	0.326	456	-0.026	0.02	0.18943733097396	0.324749710241074
All	1	entorhinal	H2_gamma_dosage	0.333	537	-0.095	0.088	0.278101120687108	0.476744778320757
All	2	entorhinal	H2_gamma_dosage	0.326	456	-0.058	0.099	0.557748130893225	0.846301364582315
All	3	entorhinal	H2_gamma_dosage*footyrs	0.326	456	-0.036	0.02	0.0765028126522438	0.205579691772936
All	1	inforbfront	H2_gamma_dosage	0.333	537	-0.022	0.084	0.788837809314533	0.860550337434036
All	2	inforbfront	H2_gamma_dosage	0.326	456	0.045	0.093	0.626522512994708	0.846301364582315
All	3	inforbfront	H2_gamma_dosage*footyrs	0.326	456	-0.04	0.018	0.0329734611708861	0.205579691772936
All	1	infpar	H2_gamma_dosage	0.333	537	-0.068	0.085	0.421813465429093	0.562417953905457
All	2	infpar	H2_gamma_dosage	0.326	456	-0.023	0.094	0.804897108942799	0.846301364582315
All	3	infpar	H2_gamma_dosage*footyrs	0.326	456	-0.032	0.018	0.0825054913973504	0.205579691772936
All	1	loccoer	H2_gamma_dosage	0.333	537	-0.128	0.089	0.149034952989828	0.298069905979656
All	2	loccoer	H2_gamma_dosage	0.326	456	-0.041	0.098	0.671700727062472	0.846301364582315
All	3	loccoer	H2_gamma_dosage*footyrs	0.326	456	-0.016	0.02	0.428470619892181	0.514164743870617
All	1	midfront	H2_gamma_dosage	0.333	537	-0.004	0.084	0.962685266638265	0.962685266638265
All	2	midfront	H2_gamma_dosage	0.326	456	0.089	0.094	0.343167101469303	0.846301364582315
All	3	midfront	H2_gamma_dosage*footyrs	0.326	456	-0.021	0.019	0.269637632374383	0.383409149737905
All	1	suptemp	H2_gamma_dosage	0.333	537	-0.056	0.086	0.515190843020583	0.6182290116247
All	2	suptemp	H2_gamma_dosage	0.326	456	0.018	0.095	0.846301364582315	0.846301364582315
All	3	suptemp	H2_gamma_dosage*footyrs	0.326	456	-0.035	0.018	0.0579710072463047	0.205579691772936
All	1	CTEstage	H2_gamma_dosage	0.334	536	0.072	0.082	0.381346293270024	0.562417953905457
All	2	CTEstage	H2_gamma_dosage	0.326	456	0.131	0.092	0.156883699621414	0.627534798485656
All	3	CTEstage	H2_gamma_dosage*footyrs	0.326	456	-0.003	0.02	0.86386150204565	0.942394365867982
All	1	subnigra	H2_gamma_dosage	0.333	537	-0.126	0.086	0.142835748124488	0.298069905979656
All	2	subnigra	H2_gamma_dosage	0.326	456	-0.02	0.095	0.830166629506501	0.846301364582315
All	3	subnigra	H2_gamma_dosage*footyrs	0.326	456	-0.027	0.019	0.168869690845651	0.324749710241074
