Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
Cases	1	amygdala	H1_beta_dosage	1.098	372	0.074	0.123	0.547895316843482	0.844358221218929
Cases	2	amygdala	H1_beta_dosage	1.088	335	0.037	0.134	0.782128029015241	0.91384451933674
Cases	3	amygdala	H1_beta_dosage*footyrs	1.088	335	0.017	0.028	0.542828232087464	0.93056268357851
Cases	1	CA1	H1_beta_dosage	1.098	372	0.185	0.121	0.125110699159791	0.500442796639164
Cases	2	CA1	H1_beta_dosage	1.088	335	0.124	0.129	0.339655440099111	0.91384451933674
Cases	3	CA1	H1_beta_dosage*footyrs	1.088	335	-0.007	0.025	0.795123730631571	0.991274586704881
Cases	1	CA2	H1_beta_dosage	1.098	372	0.203	0.12	0.0910702004270902	0.500442796639164
Cases	2	CA2	H1_beta_dosage	1.088	335	0.269	0.133	0.0438203316895149	0.262921990137089
Cases	3	CA2	H1_beta_dosage*footyrs	1.088	335	-0.026	0.026	0.318373121489261	0.636746242978522
Cases	1	CA4	H1_beta_dosage	1.098	372	0.331	0.12	0.0063883199472512	0.0766598393670144
Cases	2	CA4	H1_beta_dosage	1.088	335	0.361	0.135	0.00779727064337377	0.0935672477204852
Cases	3	CA4	H1_beta_dosage*footyrs	1.088	335	0.009	0.027	0.749122011672893	0.991274586704881
Cases	1	entorhinal	H1_beta_dosage	1.098	372	0.03	0.13	0.814578092209425	0.857286283462864
Cases	2	entorhinal	H1_beta_dosage	1.088	335	0.029	0.143	0.837690809392012	0.91384451933674
Cases	3	entorhinal	H1_beta_dosage*footyrs	1.088	335	-0.001	0.031	0.985515055668359	0.991274586704881
Cases	1	inforbfront	H1_beta_dosage	1.098	372	-0.071	0.12	0.551925900000076	0.844358221218929
Cases	2	inforbfront	H1_beta_dosage	1.088	335	-0.095	0.131	0.468175257546029	0.91384451933674
Cases	3	inforbfront	H1_beta_dosage*footyrs	1.088	335	0.027	0.025	0.293066274144988	0.636746242978522
Cases	1	infpar	H1_beta_dosage	1.098	372	-0.025	0.12	0.837018895748085	0.857286283462864
Cases	2	infpar	H1_beta_dosage	1.088	335	0.004	0.131	0.975212123988357	0.975212123988357
Cases	3	infpar	H1_beta_dosage*footyrs	1.088	335	0.052	0.026	0.0494215833497764	0.296529500098658
Cases	1	loccoer	H1_beta_dosage	1.098	372	0.09	0.129	0.487822419326271	0.844358221218929
Cases	2	loccoer	H1_beta_dosage	1.088	335	0.063	0.145	0.663889086096837	0.91384451933674
Cases	3	loccoer	H1_beta_dosage*footyrs	1.088	335	-0.032	0.029	0.271529035044547	0.636746242978522
Cases	1	midfront	H1_beta_dosage	1.098	372	-0.07	0.122	0.562905480812619	0.844358221218929
Cases	2	midfront	H1_beta_dosage	1.088	335	-0.115	0.132	0.386857993210784	0.91384451933674
Cases	3	midfront	H1_beta_dosage*footyrs	1.088	335	0	0.026	0.991274586704881	0.991274586704881
Cases	1	suptemp	H1_beta_dosage	1.098	372	-0.022	0.124	0.857286283462864	0.857286283462864
Cases	2	suptemp	H1_beta_dosage	1.088	335	-0.033	0.136	0.81053778950669	0.91384451933674
Cases	3	suptemp	H1_beta_dosage*footyrs	1.088	335	0.056	0.027	0.0408644341395186	0.296529500098658
Cases	1	CTEstage	H1_beta_dosage	1.098	371	0.049	0.123	0.692792078381559	0.857286283462864
Cases	2	CTEstage	H1_beta_dosage	1.088	335	0.043	0.136	0.751493929242938	0.91384451933674
Cases	3	CTEstage	H1_beta_dosage*footyrs	1.088	335	0.006	0.03	0.850019653996593	0.991274586704881
Cases	1	subnigra	H1_beta_dosage	1.098	372	0.126	0.121	0.299676230885092	0.844358221218929
Cases	2	subnigra	H1_beta_dosage	1.088	335	0.133	0.132	0.315683825107691	0.91384451933674
Cases	3	subnigra	H1_beta_dosage*footyrs	1.088	335	0.036	0.027	0.171978113219382	0.636746242978522
