Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
Cases	1	amygdala	H1_dosage	0.826	372	0.316	0.2	0.114198083714354	0.342594251143062
Cases	2	amygdala	H1_dosage	0.825	335	0.295	0.212	0.164968289027624	0.494904867082872
Cases	3	amygdala	H1_dosage*footyrs	0.825	335	0.025	0.044	0.568374678842619	0.9064516907481
Cases	1	CA1	H1_dosage	0.826	372	0.287	0.198	0.148946088147271	0.35747061155345
Cases	2	CA1	H1_dosage	0.825	335	0.2	0.209	0.34032483004983	0.655314183594429
Cases	3	CA1	H1_dosage*footyrs	0.825	335	0.008	0.042	0.853234148565843	0.9064516907481
Cases	1	CA2	H1_dosage	0.826	372	0.525	0.195	0.00752952606759072	0.0451771564055443
Cases	2	CA2	H1_dosage	0.825	335	0.532	0.21	0.011993285952836	0.071959715717016
Cases	3	CA2	H1_dosage*footyrs	0.825	335	-0.043	0.043	0.315083677948296	0.9064516907481
Cases	1	CA4	H1_dosage	0.826	372	0.648	0.199	0.00121932793765511	0.0146319352518613
Cases	2	CA4	H1_dosage	0.825	335	0.61	0.216	0.00512552222120788	0.0615062666544946
Cases	3	CA4	H1_dosage*footyrs	0.825	335	0.013	0.044	0.763781045411255	0.9064516907481
Cases	1	entorhinal	H1_dosage	0.826	372	0.203	0.21	0.333565058541335	0.571825814642289
Cases	2	entorhinal	H1_dosage	0.825	335	0.226	0.223	0.310497175887053	0.655314183594429
Cases	3	entorhinal	H1_dosage*footyrs	0.825	335	0.038	0.047	0.417530633123066	0.9064516907481
Cases	1	inforbfront	H1_dosage	0.826	372	0.004	0.196	0.98281414015546	0.98281414015546
Cases	2	inforbfront	H1_dosage	0.825	335	-0.04	0.208	0.847070177595842	0.847070177595842
Cases	3	inforbfront	H1_dosage*footyrs	0.825	335	0.066	0.042	0.117931748455988	0.79658491759186
Cases	1	infpar	H1_dosage	0.826	372	0.072	0.197	0.713757454875218	0.856508945850262
Cases	2	infpar	H1_dosage	0.825	335	0.09	0.211	0.669534870684933	0.80344184482192
Cases	3	infpar	H1_dosage*footyrs	0.825	335	0.059	0.041	0.150296329085502	0.79658491759186
Cases	1	loccoer	H1_dosage	0.826	372	0.231	0.209	0.27091196045959	0.54182392091918
Cases	2	loccoer	H1_dosage	0.825	335	0.198	0.226	0.38226660709675	0.655314183594429
Cases	3	loccoer	H1_dosage*footyrs	0.825	335	0.006	0.046	0.902361689377688	0.9064516907481
Cases	1	midfront	H1_dosage	0.826	372	-0.043	0.198	0.827672628714907	0.902915594961717
Cases	2	midfront	H1_dosage	0.825	335	-0.122	0.212	0.563695361108359	0.751593814811145
Cases	3	midfront	H1_dosage*footyrs	0.825	335	0.005	0.043	0.9064516907481	0.9064516907481
Cases	1	suptemp	H1_dosage	0.826	372	0.08	0.202	0.693438258954033	0.856508945850262
Cases	2	suptemp	H1_dosage	0.825	335	0.062	0.215	0.772243336966512	0.84244727669074
Cases	3	suptemp	H1_dosage*footyrs	0.825	335	0.054	0.042	0.199146229397965	0.79658491759186
Cases	1	CTEstage	H1_dosage	0.825	371	0.156	0.2	0.436589897819269	0.654884846728903
Cases	2	CTEstage	H1_dosage	0.825	335	0.126	0.215	0.559206986859361	0.751593814811145
Cases	3	CTEstage	H1_dosage*footyrs	0.825	335	-0.02	0.047	0.660181779219873	0.9064516907481
Cases	1	subnigra	H1_dosage	0.826	372	0.341	0.198	0.0856651184085946	0.342594251143062
Cases	2	subnigra	H1_dosage	0.825	335	0.3	0.212	0.157873607699361	0.494904867082872
Cases	3	subnigra	H1_dosage*footyrs	0.825	335	0.014	0.043	0.737670501560501	0.9064516907481
