Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
Cases	1	amygdala	H2_alpha_dosage	0.244	372	-0.172	0.14	0.22015005431234	0.66045016293702
Cases	2	amygdala	H2_alpha_dosage	0.245	335	-0.137	0.149	0.359129786988078	0.752609269822585
Cases	3	amygdala	H2_alpha_dosage*footyrs	0.245	335	-0.017	0.031	0.581783883540338	0.969434522587885
Cases	1	CA1	H2_alpha_dosage	0.244	372	-0.146	0.137	0.286798755106319	0.675550803187308
Cases	2	CA1	H2_alpha_dosage	0.245	335	-0.07	0.145	0.627174391518821	0.752609269822585
Cases	3	CA1	H2_alpha_dosage*footyrs	0.245	335	-0.004	0.029	0.899708215120687	0.969434522587885
Cases	1	CA2	H2_alpha_dosage	0.244	372	-0.315	0.136	0.0211827756433096	0.127096653859858
Cases	2	CA2	H2_alpha_dosage	0.245	335	-0.305	0.146	0.0378315002525853	0.226989001515512
Cases	3	CA2	H2_alpha_dosage*footyrs	0.245	335	0.025	0.03	0.402746118815169	0.969434522587885
Cases	1	CA4	H2_alpha_dosage	0.244	372	-0.398	0.139	0.00446633103131999	0.0535959723758399
Cases	2	CA4	H2_alpha_dosage	0.245	335	-0.362	0.151	0.0169962353097093	0.203954823716512
Cases	3	CA4	H2_alpha_dosage*footyrs	0.245	335	0.002	0.031	0.93781172314391	0.969434522587885
Cases	1	entorhinal	H2_alpha_dosage	0.244	372	-0.141	0.147	0.337775401593654	0.675550803187308
Cases	2	entorhinal	H2_alpha_dosage	0.245	335	-0.142	0.156	0.363341711918119	0.752609269822585
Cases	3	entorhinal	H2_alpha_dosage*footyrs	0.245	335	-0.022	0.033	0.503217329820245	0.969434522587885
Cases	1	inforbfront	H2_alpha_dosage	0.244	372	0.033	0.137	0.810967478115607	0.810967478115607
Cases	2	inforbfront	H2_alpha_dosage	0.245	335	0.079	0.146	0.586966152118664	0.752609269822585
Cases	3	inforbfront	H2_alpha_dosage*footyrs	0.245	335	-0.047	0.029	0.104824586096159	0.825021131731724
Cases	1	infpar	H2_alpha_dosage	0.244	372	-0.081	0.137	0.552456439161948	0.810967478115607
Cases	2	infpar	H2_alpha_dosage	0.245	335	-0.098	0.146	0.503194198564264	0.752609269822585
Cases	3	infpar	H2_alpha_dosage*footyrs	0.245	335	-0.038	0.029	0.18238068557811	0.825021131731724
Cases	1	loccoer	H2_alpha_dosage	0.244	372	-0.116	0.146	0.42753206796599	0.732912116513126
Cases	2	loccoer	H2_alpha_dosage	0.245	335	-0.089	0.156	0.566081345274049	0.752609269822585
Cases	3	loccoer	H2_alpha_dosage*footyrs	0.245	335	-0.003	0.032	0.914746411650024	0.969434522587885
Cases	1	midfront	H2_alpha_dosage	0.244	372	0.057	0.139	0.681503555915347	0.810967478115607
Cases	2	midfront	H2_alpha_dosage	0.245	335	0.132	0.149	0.377318659308018	0.752609269822585
Cases	3	midfront	H2_alpha_dosage*footyrs	0.245	335	-0.012	0.03	0.684020542351416	0.969434522587885
Cases	1	suptemp	H2_alpha_dosage	0.244	372	-0.045	0.141	0.749212628118997	0.810967478115607
Cases	2	suptemp	H2_alpha_dosage	0.245	335	-0.007	0.15	0.961936386367236	0.998376298187625
Cases	3	suptemp	H2_alpha_dosage*footyrs	0.245	335	-0.037	0.03	0.206255282932931	0.825021131731724
Cases	1	CTEstage	H2_alpha_dosage	0.245	371	-0.048	0.141	0.73284978234881	0.810967478115607
Cases	2	CTEstage	H2_alpha_dosage	0.245	335	0	0.151	0.998376298187625	0.998376298187625
Cases	3	CTEstage	H2_alpha_dosage*footyrs	0.245	335	0.023	0.033	0.487473968384973	0.969434522587885
Cases	1	subnigra	H2_alpha_dosage	0.244	372	-0.18	0.139	0.196559234718573	0.66045016293702
Cases	2	subnigra	H2_alpha_dosage	0.245	335	-0.123	0.148	0.407703164756769	0.752609269822585
Cases	3	subnigra	H2_alpha_dosage*footyrs	0.245	335	-0.001	0.031	0.969434522587885	0.969434522587885
