Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	Older	1	amygdala	H1B2G1	0.279	222	-0.192	0.204	0.347639596921223	0.620973434264165
All	Younger	1	amygdala	H1B2G1	0.287	225	-0.095	0.216	0.662546834740211	0.776943439288576
Cases	Older	1	amygdala	H1B2G1	0.26	169	-0.384	0.255	0.134110401095194	0.422498238701543
Cases	Younger	1	amygdala	H1B2G1	0.25	136	0.388	0.305	0.206277736891917	0.471491970038667
All	Older	2	amygdala	H1B2G1	0.277	188	-0.391	0.231	0.0919818473107545	0.259713451230366
All	Younger	2	amygdala	H1B2G1	0.295	195	-0.147	0.244	0.547793048805947	0.732998921967217
Cases	Older	2	amygdala	H1B2G1	0.26	152	-0.441	0.269	0.10323189431469	0.27528505150584
Cases	Younger	2	amygdala	H1B2G1	0.246	124	0.514	0.343	0.137450153229794	0.314093501560715
All	Older	3	amygdala	H1B2G1*footyrs	0.277	188	0.038	0.042	0.360727203536257	0.694109754209171
All	Younger	3	amygdala	H1B2G1*footyrs	0.295	195	0.098	0.054	0.0694305976308303	0.46768264303257
Cases	Older	3	amygdala	H1B2G1*footyrs	0.26	152	0.11	0.055	0.0455643693662577	0.46768264303257
Cases	Younger	3	amygdala	H1B2G1*footyrs	0.246	124	0.033	0.075	0.661732149863175	0.79407857983581
All	NA	4	amygdala	H1B2G1*stratum	0.255	526	-0.02	0.26	0.939322867596454	0.939322867596454
Cases	NA	4	amygdala	H1B2G1*stratum	0.227	364	-0.582	0.342	0.0897895464363816	0.650794468842758
All	Older	1	CA1	H1B2G1	0.279	222	-0.108	0.201	0.589641836409496	0.764940760747454
All	Younger	1	CA1	H1B2G1	0.287	225	0.154	0.212	0.469024713007972	0.723574415559741
Cases	Older	1	CA1	H1B2G1	0.26	169	-0.057	0.245	0.815137194722044	0.815137194722044
Cases	Younger	1	CA1	H1B2G1	0.25	136	0.642	0.297	0.0326111725092346	0.391334070110815
All	Older	2	CA1	H1B2G1	0.277	188	-0.14	0.222	0.529039429514217	0.732998921967217
All	Younger	2	CA1	H1B2G1	0.295	195	0.138	0.234	0.556048311831062	0.732998921967217
Cases	Older	2	CA1	H1B2G1	0.26	152	-0.1	0.259	0.699656114508889	0.799606988010159
Cases	Younger	2	CA1	H1B2G1	0.246	124	0.673	0.323	0.039719136517177	0.178477548388271
All	Older	3	CA1	H1B2G1*footyrs	0.277	188	0.018	0.039	0.65540356687629	0.79407857983581
All	Younger	3	CA1	H1B2G1*footyrs	0.295	195	0.053	0.05	0.286221918778405	0.654221528636354
Cases	Older	3	CA1	H1B2G1*footyrs	0.26	152	0.024	0.052	0.640947416806507	0.79407857983581
Cases	Younger	3	CA1	H1B2G1*footyrs	0.246	124	-0.031	0.069	0.651078606342244	0.79407857983581
All	NA	4	CA1	H1B2G1*stratum	0.255	526	-0.04	0.26	0.877635432206292	0.915793494476131
Cases	NA	4	CA1	H1B2G1*stratum	0.227	364	-0.463	0.336	0.168376030817131	0.650794468842758
All	Older	1	CA2	H1B2G1	0.279	222	-0.095	0.205	0.643516704719284	0.776943439288576
All	Younger	1	CA2	H1B2G1	0.287	225	0.145	0.229	0.528783655793397	0.725189013659516
Cases	Older	1	CA2	H1B2G1	0.26	169	-0.093	0.24	0.699329801398569	0.776943439288576
Cases	Younger	1	CA2	H1B2G1	0.25	136	0.497	0.313	0.115043632043097	0.422498238701543
All	Older	2	CA2	H1B2G1	0.277	188	0.023	0.22	0.916611717911859	0.952289011529437
All	Younger	2	CA2	H1B2G1	0.295	195	0.187	0.263	0.478998902387434	0.732998921967217
Cases	Older	2	CA2	H1B2G1	0.26	152	0.07	0.254	0.782703696448381	0.853858577943688
