Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	Older	1	amygdala	H1_beta_dosage	1.147	226	-0.202	0.155	0.192371476171311	0.408434425002976
All	Younger	1	amygdala	H1_beta_dosage	1.135	232	0.116	0.148	0.434717493530923	0.695547989649477
Cases	Older	1	amygdala	H1_beta_dosage	1.114	173	-0.473	0.193	0.0153499936862138	0.245599898979421
Cases	Younger	1	amygdala	H1_beta_dosage	1.108	140	0.338	0.198	0.0896815548367891	0.308427395375245
All	Older	2	amygdala	H1_beta_dosage	1.138	192	-0.383	0.179	0.0335011988175959	0.178673060360511
All	Younger	2	amygdala	H1_beta_dosage	1.14	200	0.07	0.169	0.67924570835846	0.857994578979107
Cases	Older	2	amygdala	H1_beta_dosage	1.11	156	-0.527	0.206	0.0118127645837547	0.123076920341068
Cases	Younger	2	amygdala	H1_beta_dosage	1.091	127	0.461	0.221	0.0397371288978876	0.19073821870986
All	Older	3	amygdala	H1_beta_dosage*footyrs	1.138	192	0.019	0.03	0.52717007365277	0.815803439960093
All	Younger	3	amygdala	H1_beta_dosage*footyrs	1.14	200	0.089	0.041	0.0311206733733691	0.213398903131674
Cases	Older	3	amygdala	H1_beta_dosage*footyrs	1.11	156	0.06	0.038	0.11715478380607	0.346280316747304
Cases	Younger	3	amygdala	H1_beta_dosage*footyrs	1.091	127	0.038	0.056	0.499549828833558	0.799279726133693
All	NA	4	amygdala	H1_beta_dosage*stratum	1.127	537	-0.188	0.192	0.326565548920317	0.565689644392918
Cases	NA	4	amygdala	H1_beta_dosage*stratum	1.098	372	-0.569	0.246	0.0213350132952077	0.337173255688839
All	Older	1	CA1	H1_beta_dosage	1.147	226	-0.099	0.152	0.516069292696379	0.701883952838781
All	Younger	1	CA1	H1_beta_dosage	1.135	232	0.187	0.147	0.204217212501488	0.408434425002976
Cases	Older	1	CA1	H1_beta_dosage	1.114	173	-0.18	0.183	0.327729182937806	0.56182145646481
Cases	Younger	1	CA1	H1_beta_dosage	1.108	140	0.394	0.194	0.0451272388727779	0.273333836674005
All	Older	2	CA1	H1_beta_dosage	1.138	192	-0.153	0.17	0.371619304362793	0.57541053578755
All	Younger	2	CA1	H1_beta_dosage	1.14	200	0.186	0.168	0.26926733695111	0.432951379568237
Cases	Older	2	CA1	H1_beta_dosage	1.11	156	-0.231	0.195	0.240169941784483	0.422925252662827
Cases	Younger	2	CA1	H1_beta_dosage	1.091	127	0.433	0.217	0.0481109928846668	0.209938878042182
All	Older	3	CA1	H1_beta_dosage*footyrs	1.138	192	0.005	0.028	0.872200340405021	0.930347029765356
All	Younger	3	CA1	H1_beta_dosage*footyrs	1.14	200	0.045	0.039	0.244836014550102	0.524109929575175
Cases	Older	3	CA1	H1_beta_dosage*footyrs	1.11	156	0.007	0.034	0.831115502809228	0.908434285023422
Cases	Younger	3	CA1	H1_beta_dosage*footyrs	1.091	127	-0.006	0.053	0.904185343880699	0.943497750136382
All	NA	4	CA1	H1_beta_dosage*stratum	1.127	537	-0.159	0.194	0.41171655762599	0.658746492201584
Cases	NA	4	CA1	H1_beta_dosage*stratum	1.098	372	-0.41	0.242	0.0919222842790841	0.367689137116336
All	Older	1	CA2	H1_beta_dosage	1.147	226	-0.055	0.15	0.715455972103807	0.817663968118637
All	Younger	1	CA2	H1_beta_dosage	1.135	232	0.208	0.161	0.196149493057169	0.408434425002976
Cases	Older	1	CA2	H1_beta_dosage	1.114	173	-0.077	0.174	0.656893573872771	0.788272288647325
Cases	Younger	1	CA2	H1_beta_dosage	1.108	140	0.399	0.206	0.0555425276923844	0.273333836674005
All	Older	2	CA2	H1_beta_dosage	1.138	192	-0.012	0.168	0.944719861012598	0.944719861012598
All	Younger	2	CA2	H1_beta_dosage	1.14	200	0.335	0.188	0.0768811569028442	0.234536463241947
Cases	Older	2	CA2	H1_beta_dosage	1.11	156	0.025	0.187	0.895029378584779	0.933943699392813
Cases	Younger	2	CA2	H1_beta_dosage	1.091	127	0.632	0.237	0.00888404195387005	0.123076920341068
All	Older	3	CA2	H1_beta_dosage*footyrs	1.138	192	0.002	0.028	0.950441597751096	0.956694858594176
All	Younger	3	CA2	H1_beta_dosage*footyrs	1.14	200	0.047	0.05	0.346539359737751	0.616069972867113
Cases	Older	3	CA2	H1_beta_dosage*footyrs	1.11	156	-0.02	0.034	0.564926585607857	0.821711397247792
Cases	Younger	3	CA2	H1_beta_dosage*footyrs	1.091	127	-0.015	0.068	0.830467588409805	0.908434285023422
All	NA	4	CA2	H1_beta_dosage*stratum	1.127	537	-0.104	0.191	0.586901970271571	0.719440000738303
Cases	NA	4	CA2	H1_beta_dosage*stratum	1.098	372	-0.274	0.241	0.256443938252813	0.559514047097046
All	Older	1	CA4	H1_beta_dosage	1.147	226	-0.1	0.147	0.495864759473497	0.701883952838781
All	Younger	1	CA4	H1_beta_dosage	1.135	232	0.322	0.155	0.0398026786690311	0.273333836674005
Cases	Older	1	CA4	H1_beta_dosage	1.114	173	0.033	0.178	0.851899152503956	0.870024666387019
Cases	Younger	1	CA4	H1_beta_dosage	1.108	140	0.443	0.198	0.026901705480384	0.273333836674005
All	Older	2	CA4	H1_beta_dosage	1.138	192	-0.09	0.171	0.59696557040579	0.795954093874387
All	Younger	2	CA4	H1_beta_dosage	1.14	200	0.422	0.186	0.0245981893688871	0.178673060360511
Cases	Older	2	CA4	H1_beta_dosage	1.11	156	0.037	0.197	0.849045197762662	0.905648210946839
Cases	Younger	2	CA4	H1_beta_dosage	1.091	127	0.572	0.226	0.0128205125355279	0.123076920341068
All	Older	3	CA4	H1_beta_dosage*footyrs	1.138	192	0.039	0.029	0.184626110702265	0.443102665685436
All	Younger	3	CA4	H1_beta_dosage*footyrs	1.14	200	0.075	0.046	0.103208698737212	0.346280316747304
Cases	Older	3	CA4	H1_beta_dosage*footyrs	1.11	156	0.022	0.036	0.543868959973395	0.815803439960093
Cases	Younger	3	CA4	H1_beta_dosage*footyrs	1.091	127	0.029	0.057	0.608428534465034	0.831418564633004
