Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	Older	1	amygdala	H1_dosage	0.829	226	-0.228	0.279	0.414139451974126	0.552185935965501
All	Younger	1	amygdala	H1_dosage	0.803	232	0.55	0.261	0.0367047464810235	0.22039951514347
Cases	Older	1	amygdala	H1_dosage	0.809	173	-0.609	0.327	0.0644865250599707	0.245017587109449
Cases	Younger	1	amygdala	H1_dosage	0.801	140	0.68	0.324	0.0375832757567154	0.22039951514347
All	Older	2	amygdala	H1_dosage	0.83	192	-0.388	0.312	0.215864768888689	0.431729537777378
All	Younger	2	amygdala	H1_dosage	0.809	200	0.456	0.294	0.122770313708025	0.356859948927115
Cases	Older	2	amygdala	H1_dosage	0.809	156	-0.587	0.349	0.0946770481011177	0.347063959805273
Cases	Younger	2	amygdala	H1_dosage	0.796	127	0.817	0.348	0.020587818743615	0.183168372617008
All	Older	3	amygdala	H1_dosage*footyrs	0.83	192	0.105	0.057	0.0684922498248177	0.365291999065694
All	Younger	3	amygdala	H1_dosage*footyrs	0.809	200	0.052	0.066	0.432037724114662	0.661787117481772
Cases	Older	3	amygdala	H1_dosage*footyrs	0.809	156	0.09	0.065	0.168041635880567	0.575804553201226
Cases	Younger	3	amygdala	H1_dosage*footyrs	0.796	127	-0.025	0.076	0.744771142763695	0.871927191528228
All	NA	4	amygdala	H1_dosage*stratum	0.832	537	-0.56	0.334	0.0939535067235697	0.189388152178715
Cases	NA	4	amygdala	H1_dosage*stratum	0.826	372	-0.779	0.397	0.0505475054220681	0.173305732875662
All	Older	1	CA1	H1_dosage	0.829	226	-0.001	0.28	0.995765053287669	0.999293195434223
All	Younger	1	CA1	H1_dosage	0.803	232	0.431	0.259	0.0971868262229105	0.245524613615774
Cases	Older	1	CA1	H1_dosage	0.809	173	-0.186	0.323	0.566213949233151	0.696878706748494
Cases	Younger	1	CA1	H1_dosage	0.801	140	0.483	0.311	0.12326874290608	0.24653748581216
All	Older	2	CA1	H1_dosage	0.83	192	-0.088	0.31	0.776474141535895	0.921757497143169
All	Younger	2	CA1	H1_dosage	0.809	200	0.396	0.293	0.177474936843226	0.387218044021584
Cases	Older	2	CA1	H1_dosage	0.809	156	-0.236	0.343	0.493503745712092	0.696711170417071
Cases	Younger	2	CA1	H1_dosage	0.796	127	0.493	0.333	0.141257063116983	0.356859948927115
All	Older	3	CA1	H1_dosage*footyrs	0.83	192	0.077	0.056	0.170296059947678	0.575804553201226
All	Younger	3	CA1	H1_dosage*footyrs	0.809	200	-0.013	0.068	0.852182341753712	0.908994497870626
Cases	Older	3	CA1	H1_dosage*footyrs	0.809	156	0.058	0.063	0.359768579484349	0.661787117481772
Cases	Younger	3	CA1	H1_dosage*footyrs	0.796	127	-0.063	0.076	0.405535000468798	0.661787117481772
All	NA	4	CA1	H1_dosage*stratum	0.832	537	-0.326	0.341	0.339916224726513	0.429367862812437
