Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	Older	1	amygdala	H2A1G2	0.131	222	0.053	0.275	0.848661196074598	0.885559508947407
All	Younger	1	amygdala	H2A1G2	0.131	225	-0.667	0.289	0.0220532601684733	0.176426081347786
Cases	Older	1	amygdala	H2A1G2	0.154	169	0.385	0.313	0.220274997675095	0.364593099600157
Cases	Younger	1	amygdala	H2A1G2	0.14	136	-0.955	0.359	0.00885258995273164	0.141641439243706
All	Older	2	amygdala	H2A1G2	0.128	188	0.187	0.315	0.554035773185489	0.738714364247319
All	Younger	2	amygdala	H2A1G2	0.126	195	-0.666	0.33	0.0451652429008309	0.274185247055433
Cases	Older	2	amygdala	H2A1G2	0.155	152	0.325	0.333	0.330673822307994	0.634893738831348
Cases	Younger	2	amygdala	H2A1G2	0.141	124	-1.188	0.397	0.00343161602692477	0.0823587846461945
All	Older	3	amygdala	H2A1G2*footyrs	0.128	188	-0.078	0.053	0.143020494335034	0.624089429825603
All	Younger	3	amygdala	H2A1G2*footyrs	0.126	195	-0.083	0.072	0.252400228813264	0.643509478568655
Cases	Older	3	amygdala	H2A1G2*footyrs	0.155	152	-0.047	0.059	0.421827051010173	0.804514416144251
Cases	Younger	3	amygdala	H2A1G2*footyrs	0.141	124	0.002	0.093	0.986030524771951	0.990107757059418
All	NA	4	amygdala	H2A1G2*stratum	0.119	526	0.385	0.352	0.275847954574372	0.441356727318995
Cases	NA	4	amygdala	H2A1G2*stratum	0.13	364	0.705	0.421	0.0944206928484088	0.36164616552431
All	Older	1	CA1	H2A1G2	0.131	222	-0.045	0.284	0.873178011162391	0.891756266719038
All	Younger	1	CA1	H2A1G2	0.131	225	-0.479	0.292	0.102272775798916	0.306818327396748
Cases	Older	1	CA1	H2A1G2	0.154	169	0.075	0.326	0.818972045545863	0.873570181915587
Cases	Younger	1	CA1	H2A1G2	0.14	136	-0.617	0.355	0.0852311975006321	0.29317815622911
All	Older	2	CA1	H2A1G2	0.128	188	-0.073	0.329	0.824066717826065	0.879004499014469
All	Younger	2	CA1	H2A1G2	0.126	195	-0.448	0.329	0.174545173218317	0.46660339976855
Cases	Older	2	CA1	H2A1G2	0.155	152	0.053	0.351	0.879365821730164	0.917599118327128
Cases	Younger	2	CA1	H2A1G2	0.141	124	-0.635	0.379	0.0966786211009414	0.361336369754935
All	Older	3	CA1	H2A1G2*footyrs	0.128	188	-0.05	0.055	0.364536832376009	0.760772519741236
All	Younger	3	CA1	H2A1G2*footyrs	0.126	195	-0.015	0.075	0.844242524913185	0.990107757059418
Cases	Older	3	CA1	H2A1G2*footyrs	0.155	152	-0.019	0.059	0.747146695873828	0.990107757059418
Cases	Younger	3	CA1	H2A1G2*footyrs	0.141	124	0.029	0.09	0.745260291099825	0.990107757059418
All	NA	4	CA1	H2A1G2*stratum	0.119	526	0.15	0.367	0.683252607067439	0.75736499393927
Cases	NA	4	CA1	H2A1G2*stratum	0.13	364	0.113	0.433	0.794301839165241	0.794301839165241
All	Older	1	CA2	H2A1G2	0.131	222	-0.089	0.272	0.743337996856924	0.829772647654241
All	Younger	1	CA2	H2A1G2	0.131	225	-0.444	0.302	0.143533827975804	0.313164715583572
Cases	Older	1	CA2	H2A1G2	0.154	169	-0.09	0.301	0.764431571627712	0.833925350866595
Cases	Younger	1	CA2	H2A1G2	0.14	136	-0.766	0.362	0.0365241827499181	0.219145096499509
All	Older	2	CA2	H2A1G2	0.128	188	-0.101	0.312	0.746750439444427	0.816296951429356
All	Younger	2	CA2	H2A1G2	0.126	195	-0.559	0.343	0.105389774511856	0.361336369754935
