Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	Older	1	amygdala	H2_alpha_dosage	0.241	226	0.168	0.2	0.403986302630628	0.609780425085306
All	Younger	1	amygdala	H2_alpha_dosage	0.285	232	-0.301	0.182	0.0992209796884014	0.403488796840172
Cases	Older	1	amygdala	H2_alpha_dosage	0.264	173	0.43	0.243	0.0790277440627905	0.379333171501394
Cases	Younger	1	amygdala	H2_alpha_dosage	0.281	140	-0.318	0.226	0.161536453047067	0.420000258842686
All	Older	2	amygdala	H2_alpha_dosage	0.24	192	0.309	0.226	0.173248251447832	0.519744754343496
All	Younger	2	amygdala	H2_alpha_dosage	0.276	200	-0.225	0.205	0.273468982736929	0.579160465448596
Cases	Older	2	amygdala	H2_alpha_dosage	0.262	156	0.454	0.263	0.0862714561845244	0.348926337392823
Cases	Younger	2	amygdala	H2_alpha_dosage	0.286	127	-0.413	0.245	0.0945008830438896	0.348926337392823
All	Older	3	amygdala	H2_alpha_dosage*footyrs	0.24	192	-0.085	0.042	0.0426252419742341	0.258264404800349
All	Younger	3	amygdala	H2_alpha_dosage*footyrs	0.276	200	-0.018	0.044	0.688373954644527	0.768417437742728
Cases	Older	3	amygdala	H2_alpha_dosage*footyrs	0.262	156	-0.097	0.05	0.0551795238555335	0.258264404800349
Cases	Younger	3	amygdala	H2_alpha_dosage*footyrs	0.286	127	0.028	0.05	0.570958228793082	0.740702567082917
All	NA	4	amygdala	H2_alpha_dosage*stratum	0.24	537	0.384	0.234	0.101553349227108	0.221570943768236
Cases	NA	4	amygdala	H2_alpha_dosage*stratum	0.244	372	0.498	0.283	0.0798413886849163	0.221570943768236
All	Older	1	CA1	H2_alpha_dosage	0.241	226	0.015	0.193	0.937529249123971	0.972211640113484
All	Younger	1	CA1	H2_alpha_dosage	0.285	232	-0.226	0.179	0.207186026848893	0.444573901719914
Cases	Older	1	CA1	H2_alpha_dosage	0.264	173	0.117	0.222	0.599904852113504	0.738344433370467
Cases	Younger	1	CA1	H2_alpha_dosage	0.281	140	-0.202	0.217	0.353111829350542	0.609780425085306
All	Older	2	CA1	H2_alpha_dosage	0.24	192	0.114	0.212	0.590617582257719	0.8099898270963
All	Younger	2	CA1	H2_alpha_dosage	0.276	200	-0.198	0.204	0.332445306290471	0.613745180843946
Cases	Older	2	CA1	H2_alpha_dosage	0.262	156	0.196	0.239	0.413157230032499	0.683846449708964
Cases	Younger	2	CA1	H2_alpha_dosage	0.286	127	-0.202	0.233	0.387709613137549	0.664645051092941
All	Older	3	CA1	H2_alpha_dosage*footyrs	0.24	192	-0.065	0.04	0.102011615118371	0.396276622819444
All	Younger	3	CA1	H2_alpha_dosage*footyrs	0.276	200	0.028	0.047	0.548603736042649	0.731471648056865
Cases	Older	3	CA1	H2_alpha_dosage*footyrs	0.262	156	-0.064	0.046	0.168437992276838	0.447036462086324
Cases	Younger	3	CA1	H2_alpha_dosage*footyrs	0.286	127	0.063	0.052	0.235615026157487	0.514069147979972
All	NA	4	CA1	H2_alpha_dosage*stratum	0.24	537	0.247	0.235	0.293824666497519	0.371146947154761
Cases	NA	4	CA1	H2_alpha_dosage*stratum	0.244	372	0.229	0.276	0.408005107596462	0.466291551538814
All	Older	1	CA2	H2_alpha_dosage	0.241	226	0.029	0.189	0.879354002186299	0.937977602332052
All	Younger	1	CA2	H2_alpha_dosage	0.285	232	-0.39	0.194	0.0458101632676096	0.314126833835037
Cases	Older	1	CA2	H2_alpha_dosage	0.264	173	0.098	0.214	0.64927079479037	0.742023765474708
Cases	Younger	1	CA2	H2_alpha_dosage	0.281	140	-0.502	0.236	0.0357857341425234	0.293646721021485
All	Older	2	CA2	H2_alpha_dosage	0.24	192	0.073	0.211	0.72969798325663	0.893740965861475
All	Younger	2	CA2	H2_alpha_dosage	0.276	200	-0.498	0.225	0.0283997318290232	0.272637425558623
Cases	Older	2	CA2	H2_alpha_dosage	0.262	156	0.037	0.229	0.872617933392973	0.951946836428698
