Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	Older	1	amygdala	H2_gamma_dosage	0.34	226	0.111	0.14	0.42645346523414	0.567817353370045
All	Younger	1	amygdala	H2_gamma_dosage	0.391	232	-0.271	0.131	0.0397920305494399	0.230664584692643
Cases	Older	1	amygdala	H2_gamma_dosage	0.379	173	0.305	0.164	0.0650989182844754	0.230664584692643
Cases	Younger	1	amygdala	H2_gamma_dosage	0.396	140	-0.343	0.163	0.0373493916264798	0.230664584692643
All	Older	2	amygdala	H2_gamma_dosage	0.339	192	0.193	0.157	0.219017344901972	0.438034689803944
All	Younger	2	amygdala	H2_gamma_dosage	0.379	200	-0.219	0.148	0.140957410443669	0.375886427849784
Cases	Older	2	amygdala	H2_gamma_dosage	0.379	156	0.293	0.175	0.09693263254746	0.349577344778318
Cases	Younger	2	amygdala	H2_gamma_dosage	0.406	127	-0.405	0.174	0.0217960154821455	0.187086684481257
All	Older	3	amygdala	H2_gamma_dosage*footyrs	0.339	192	-0.054	0.029	0.0634094340699556	0.338183648373097
All	Younger	3	amygdala	H2_gamma_dosage*footyrs	0.379	200	-0.027	0.033	0.411066938894955	0.657707102231928
Cases	Older	3	amygdala	H2_gamma_dosage*footyrs	0.379	156	-0.046	0.033	0.166022286546059	0.548061050418995
Cases	Younger	3	amygdala	H2_gamma_dosage*footyrs	0.406	127	0.015	0.038	0.691598966300016	0.849647939341009
All	NA	4	amygdala	H2_gamma_dosage*stratum	0.333	537	0.273	0.168	0.104185757122377	0.198123353745299
Cases	NA	4	amygdala	H2_gamma_dosage*stratum	0.346	372	0.386	0.199	0.0537107427107042	0.184151117865272
All	Older	1	CA1	H2_gamma_dosage	0.34	226	-0.001	0.141	0.994170728478547	0.994170728478547
All	Younger	1	CA1	H2_gamma_dosage	0.391	232	-0.211	0.13	0.105752768497528	0.255115328511982
Cases	Older	1	CA1	H2_gamma_dosage	0.379	173	0.094	0.163	0.564581536556075	0.713155625123463
Cases	Younger	1	CA1	H2_gamma_dosage	0.396	140	-0.236	0.156	0.133919527291517	0.257125492399713
All	Older	2	CA1	H2_gamma_dosage	0.339	192	0.045	0.156	0.774366751777238	0.933379527002453
All	Younger	2	CA1	H2_gamma_dosage	0.379	200	-0.189	0.147	0.19862185571355	0.433356776102291
Cases	Older	2	CA1	H2_gamma_dosage	0.379	156	0.119	0.172	0.490980426887003	0.693148837958122
Cases	Younger	2	CA1	H2_gamma_dosage	0.406	127	-0.241	0.166	0.15109620184367	0.381716720447166
All	Older	3	CA1	H2_gamma_dosage*footyrs	0.339	192	-0.042	0.028	0.146874268391992	0.548061050418995
All	Younger	3	CA1	H2_gamma_dosage*footyrs	0.379	200	0.005	0.034	0.878047172696853	0.936583650876643
Cases	Older	3	CA1	H2_gamma_dosage*footyrs	0.379	156	-0.031	0.032	0.33761270368978	0.657707102231928
Cases	Younger	3	CA1	H2_gamma_dosage*footyrs	0.406	127	0.033	0.038	0.388080242986353	0.657707102231928
All	NA	4	CA1	H2_gamma_dosage*stratum	0.333	537	0.155	0.171	0.366759440886577	0.46327508322515
Cases	NA	4	CA1	H2_gamma_dosage*stratum	0.346	372	0.155	0.199	0.437314764072502	0.499788301797145
All	Older	1	CA2	H2_gamma_dosage	0.34	226	-0.002	0.135	0.990059569105831	0.994170728478547
All	Younger	1	CA2	H2_gamma_dosage	0.391	232	-0.283	0.139	0.0433921554527581	0.230664584692643
Cases	Older	1	CA2	H2_gamma_dosage	0.379	173	0.041	0.151	0.784586156207101	0.855912170407746
Cases	Younger	1	CA2	H2_gamma_dosage	0.396	140	-0.406	0.166	0.0163871086461485	0.157316243003026
All	Older	2	CA2	H2_gamma_dosage	0.339	192	0.007	0.15	0.96347817113135	0.969077154782454
All	Younger	2	CA2	H2_gamma_dosage	0.379	200	-0.355	0.159	0.0272834748201833	0.187086684481257
Cases	Older	2	CA2	H2_gamma_dosage	0.379	156	-0.03	0.161	0.850523737803049	0.955482817132476
Cases	Younger	2	CA2	H2_gamma_dosage	0.406	127	-0.485	0.18	0.00859029686810553	0.103083562417266
All	Older	3	CA2	H2_gamma_dosage*footyrs	0.339	192	-0.015	0.027	0.575230129172427	0.794072114114637
All	Younger	3	CA2	H2_gamma_dosage*footyrs	0.379	200	0.039	0.043	0.361134250383994	0.657707102231928
