Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	1	amygdala	H1B1G1	0.387	447	0.425	0.14	0.00260149391174158	0.011812366660902
All	2	amygdala	H1B1G1	0.394	383	0.431	0.153	0.00507644562844067	0.0121834695082576
All	3	amygdala	H1B1G1*footyrs	0.394	383	0	0.029	0.990284655654266	0.990284655654266
All	1	CA1	H1B1G1	0.387	447	0.245	0.138	0.076421456701502	0.083368861856184
All	2	CA1	H1B1G1	0.394	383	0.208	0.148	0.161761643022233	0.188546274779903
All	3	CA1	H1B1G1*footyrs	0.394	383	-0.011	0.028	0.695615744941821	0.893775891357355
All	1	CA2	H1B1G1	0.387	447	0.282	0.139	0.0430471691002898	0.0516566029203478
All	2	CA2	H1B1G1	0.394	383	0.221	0.15	0.142148603136357	0.188546274779903
All	3	CA2	H1B1G1*footyrs	0.394	383	-0.033	0.03	0.279066446058233	0.669759470539759
All	1	CA4	H1B1G1	0.387	447	0.3	0.139	0.0314429563942884	0.0419239418590512
All	2	CA4	H1B1G1	0.394	383	0.206	0.151	0.172834085214911	0.188546274779903
All	3	CA4	H1B1G1*footyrs	0.394	383	0.017	0.03	0.567713407082465	0.893775891357355
All	1	entorhinal	H1B1G1	0.387	447	0.404	0.144	0.00517983800644561	0.011812366660902
All	2	entorhinal	H1B1G1	0.394	383	0.351	0.156	0.0251695409140971	0.0503390818281942
All	3	entorhinal	H1B1G1*footyrs	0.394	383	-0.005	0.031	0.864511378394319	0.943103321884712
All	1	inforbfront	H1B1G1	0.387	447	0.378	0.137	0.00590618333045101	0.011812366660902
All	2	inforbfront	H1B1G1	0.394	383	0.497	0.149	0.000919921390103884	0.00369800026524825
All	3	inforbfront	H1B1G1*footyrs	0.394	383	0.011	0.027	0.68608340686575	0.893775891357355
All	1	infpar	H1B1G1	0.387	447	0.414	0.141	0.00349448824770859	0.011812366660902
All	2	infpar	H1B1G1	0.394	383	0.515	0.154	0.000924500066312062	0.00369800026524825
All	3	infpar	H1B1G1*footyrs	0.394	383	-0.023	0.029	0.415250681147483	0.830501362294966
All	1	loccoer	H1B1G1	0.387	447	0.127	0.14	0.362771453190311	0.362771453190311
All	2	loccoer	H1B1G1	0.394	383	0.079	0.153	0.604293905144052	0.604293905144052
All	3	loccoer	H1B1G1*footyrs	0.394	383	-0.039	0.031	0.201149565970779	0.603448697912337
All	1	midfront	H1B1G1	0.387	447	0.392	0.138	0.00478332449680918	0.011812366660902
All	2	midfront	H1B1G1	0.394	383	0.483	0.151	0.0015054231857099	0.0045162695571297
All	3	midfront	H1B1G1*footyrs	0.394	383	0.039	0.03	0.199129751814997	0.603448697912337
All	1	suptemp	H1B1G1	0.387	447	0.514	0.141	0.000289187438166083	0.003470249257993
All	2	suptemp	H1B1G1	0.394	383	0.568	0.153	0.000235979371736583	0.002831752460839
All	3	suptemp	H1B1G1*footyrs	0.394	383	-0.01	0.029	0.744813242797796	0.893775891357355
All	1	CTEstage	H1B1G1	0.387	446	0.302	0.136	0.0268354648302078	0.0402531972453117
All	2	CTEstage	H1B1G1	0.394	383	0.258	0.149	0.0846649337853234	0.126997400677985
All	3	CTEstage	H1B1G1*footyrs	0.394	383	-0.049	0.031	0.110812032411078	0.603448697912337
All	1	subnigra	H1B1G1	0.387	447	0.31	0.134	0.0213205856834295	0.0365495754573077
All	2	subnigra	H1B1G1	0.394	383	0.296	0.145	0.041964316012236	0.0719388274495474
All	3	subnigra	H1B1G1*footyrs	0.394	383	-0.053	0.03	0.0732333166799073	0.603448697912337
