Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	1	amygdala	H1_beta_dosage	1.141	458	-0.015	0.103	0.887998083863925	0.887998083863925
All	2	amygdala	H1_beta_dosage	1.139	392	-0.098	0.117	0.403848547603205	0.538464730137607
All	3	amygdala	H1_beta_dosage*footyrs	1.139	392	0.032	0.023	0.165822058074081	0.248733087111122
All	1	CA1	H1_beta_dosage	1.141	458	0.063	0.102	0.533492844842825	0.711323793123767
All	2	CA1	H1_beta_dosage	1.139	392	0.041	0.113	0.713853016611083	0.713853016611083
All	3	CA1	H1_beta_dosage*footyrs	1.139	392	0.012	0.021	0.563984047902906	0.676780857483487
All	1	CA2	H1_beta_dosage	1.141	458	0.084	0.105	0.423323629187113	0.711323793123767
All	2	CA2	H1_beta_dosage	1.139	392	0.144	0.119	0.225435222584282	0.429917019722983
All	3	CA2	H1_beta_dosage*footyrs	1.139	392	0.009	0.022	0.662583366220264	0.722818217694833
All	1	CA4	H1_beta_dosage	1.141	458	0.124	0.103	0.227310579709713	0.681931739129139
All	2	CA4	H1_beta_dosage	1.139	392	0.175	0.119	0.142613991901967	0.427841975705901
All	3	CA4	H1_beta_dosage*footyrs	1.139	392	0.039	0.023	0.0867936614233691	0.173587322846738
All	1	entorhinal	H1_beta_dosage	1.141	458	-0.069	0.107	0.516534573521753	0.711323793123767
All	2	entorhinal	H1_beta_dosage	1.139	392	-0.081	0.122	0.510829732067772	0.612995678481326
All	3	entorhinal	H1_beta_dosage*footyrs	1.139	392	0.038	0.025	0.128272467520329	0.219895658606278
All	1	inforbfront	H1_beta_dosage	1.141	458	-0.171	0.102	0.0938334623236141	0.469229372176116
All	2	inforbfront	H1_beta_dosage	1.139	392	-0.251	0.116	0.0304917321325602	0.182950392795361
All	3	inforbfront	H1_beta_dosage*footyrs	1.139	392	0.042	0.021	0.0506821751495086	0.121637220358821
All	1	infpar	H1_beta_dosage	1.141	458	-0.092	0.101	0.363283046000571	0.711323793123767
All	2	infpar	H1_beta_dosage	1.139	392	-0.122	0.114	0.286611346481989	0.429917019722983
All	3	infpar	H1_beta_dosage*footyrs	1.139	392	0.058	0.022	0.00893938338260281	0.0536363002956169
All	1	loccoer	H1_beta_dosage	1.141	458	0.056	0.108	0.599709785768484	0.719651742922181
All	2	loccoer	H1_beta_dosage	1.139	392	-0.066	0.121	0.585433149744494	0.638654345175812
All	3	loccoer	H1_beta_dosage*footyrs	1.139	392	0.005	0.023	0.845874855491868	0.845874855491868
All	1	midfront	H1_beta_dosage	1.141	458	-0.167	0.101	0.100711589535776	0.469229372176116
All	2	midfront	H1_beta_dosage	1.139	392	-0.257	0.115	0.0266532165098385	0.182950392795361
All	3	midfront	H1_beta_dosage*footyrs	1.139	392	0.021	0.022	0.334444368902771	0.445925825203695
All	1	suptemp	H1_beta_dosage	1.141	458	-0.087	0.104	0.405798754901139	0.711323793123767
All	2	suptemp	H1_beta_dosage	1.139	392	-0.158	0.118	0.181783854901878	0.429917019722983
All	3	suptemp	H1_beta_dosage*footyrs	1.139	392	0.052	0.022	0.0192051159628832	0.0768204638515328
All	1	CTEstage	H1_beta_dosage	1.141	457	-0.157	0.1	0.117307343044029	0.469229372176116
All	2	CTEstage	H1_beta_dosage	1.139	392	-0.231	0.116	0.0467301006938823	0.186920402775529
All	3	CTEstage	H1_beta_dosage*footyrs	1.139	392	0.052	0.025	0.038814692704813	0.116444078114439
All	1	subnigra	H1_beta_dosage	1.141	458	-0.023	0.102	0.819634340463245	0.887998083863925
All	2	subnigra	H1_beta_dosage	1.139	392	-0.124	0.115	0.282340550275168	0.429917019722983
All	3	subnigra	H1_beta_dosage*footyrs	1.139	392	0.063	0.023	0.00647142452197169	0.0536363002956169
