Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	1	amygdala	H1_dosage	0.816	458	0.286	0.182	0.1167855394912	0.397688571951691
All	2	amygdala	H1_dosage	0.819	392	0.206	0.203	0.311303167135577	0.622606334271154
All	3	amygdala	H1_dosage*footyrs	0.819	392	0.067	0.041	0.099925300189474	0.239820720454738
All	1	CA1	H1_dosage	0.816	458	0.268	0.184	0.145392552637623	0.397688571951691
All	2	CA1	H1_dosage	0.819	392	0.224	0.202	0.268333014666448	0.622606334271154
All	3	CA1	H1_dosage*footyrs	0.819	392	0.031	0.039	0.433129133613947	0.519754960336736
All	1	CA2	H1_dosage	0.816	458	0.393	0.183	0.0320783931041229	0.192470358624737
All	2	CA2	H1_dosage	0.819	392	0.448	0.205	0.0297865533876056	0.178719320325634
All	3	CA2	H1_dosage*footyrs	0.819	392	-0.008	0.041	0.84019396867152	0.916575238550749
All	1	CA4	H1_dosage	0.816	458	0.471	0.183	0.0105174038221045	0.126208845865254
All	2	CA4	H1_dosage	0.819	392	0.506	0.21	0.0164924981424175	0.178719320325634
All	3	CA4	H1_dosage*footyrs	0.819	392	0.071	0.041	0.0827184919363728	0.239820720454738
All	1	entorhinal	H1_dosage	0.816	458	0.187	0.186	0.315947367582986	0.473921051374479
All	2	entorhinal	H1_dosage	0.819	392	0.219	0.211	0.300527532188673	0.622606334271154
All	3	entorhinal	H1_dosage*footyrs	0.819	392	0.059	0.043	0.171972070473281	0.294809263668482
All	1	inforbfront	H1_dosage	0.816	458	0.011	0.176	0.948216005976639	0.948216005976639
All	2	inforbfront	H1_dosage	0.819	392	-0.081	0.197	0.681876410429768	0.818251692515722
All	3	inforbfront	H1_dosage*footyrs	0.819	392	0.078	0.039	0.0466077351118219	0.239820720454738
All	1	infpar	H1_dosage	0.816	458	0.108	0.178	0.542232406312671	0.712197957616214
All	2	infpar	H1_dosage	0.819	392	0.089	0.198	0.653929851236712	0.818251692515722
All	3	infpar	H1_dosage*footyrs	0.819	392	0.069	0.039	0.0758205475568672	0.239820720454738
All	1	loccoer	H1_dosage	0.816	458	0.217	0.189	0.25265839519084	0.433128677470011
All	2	loccoer	H1_dosage	0.819	392	0.046	0.208	0.824335381464085	0.899274961597184
All	3	loccoer	H1_dosage*footyrs	0.819	392	0.004	0.043	0.920721231640922	0.920721231640922
All	1	midfront	H1_dosage	0.816	458	-0.025	0.177	0.888678609750407	0.948216005976639
All	2	midfront	H1_dosage	0.819	392	-0.142	0.198	0.472916679501987	0.810714307717692
All	3	midfront	H1_dosage*footyrs	0.819	392	0.046	0.041	0.262521525630341	0.393782288445511
All	1	suptemp	H1_dosage	0.816	458	0.097	0.181	0.593498298013512	0.712197957616214
All	2	suptemp	H1_dosage	0.819	392	-0.007	0.201	0.972608508904739	0.972608508904739
All	3	suptemp	H1_dosage*footyrs	0.819	392	0.068	0.039	0.0810641281443902	0.239820720454738
All	1	CTEstage	H1_dosage	0.815	457	-0.209	0.173	0.228370003356001	0.433128677470011
All	2	CTEstage	H1_dosage	0.819	392	-0.283	0.197	0.150775497715286	0.603101990861144
All	3	CTEstage	H1_dosage*footyrs	0.819	392	0.038	0.043	0.379081352300434	0.505441803067245
All	1	subnigra	H1_dosage	0.816	458	0.25	0.18	0.165703571646538	0.397688571951691
All	2	subnigra	H1_dosage	0.819	392	0.099	0.201	0.622828324850206	0.818251692515722
All	3	subnigra	H1_dosage*footyrs	0.819	392	0.059	0.041	0.144855371581206	0.289710743162412
