Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	1	amygdala	H2A1G2	0.131	447	-0.403	0.191	0.0357320020750902	0.135462395780151
All	2	amygdala	H2A1G2	0.127	383	-0.388	0.218	0.0759227347438081	0.227768204231424
All	3	amygdala	H2A1G2*footyrs	0.127	383	-0.075	0.04	0.0631225278832472	0.209956370752182
All	1	CA1	H2A1G2	0.131	447	-0.308	0.195	0.115808268655162	0.198528460551706
All	2	CA1	H2A1G2	0.127	383	-0.338	0.222	0.128657173781288	0.308777217075091
All	3	CA1	H2A1G2*footyrs	0.127	383	-0.033	0.04	0.410242323152786	0.546989764203715
All	1	CA2	H2A1G2	0.131	447	-0.387	0.193	0.045154131926717	0.135462395780151
All	2	CA2	H2A1G2	0.127	383	-0.437	0.22	0.0474792572192875	0.18991702887715
All	3	CA2	H2A1G2*footyrs	0.127	383	-0.01	0.041	0.813608765139497	0.887573198333997
All	1	CA4	H2A1G2	0.131	447	-0.562	0.194	0.00397252320579344	0.0476702784695213
All	2	CA4	H2A1G2	0.127	383	-0.614	0.227	0.00714842093774215	0.0857810512529058
All	3	CA4	H2A1G2*footyrs	0.127	383	-0.103	0.041	0.0126588010628836	0.151905612754603
All	1	entorhinal	H2A1G2	0.131	447	-0.2	0.197	0.310192223385436	0.465288335078154
All	2	entorhinal	H2A1G2	0.127	383	-0.215	0.229	0.348414036405534	0.562553243550918
All	3	entorhinal	H2A1G2*footyrs	0.127	383	-0.079	0.044	0.0699854569173941	0.209956370752182
All	1	inforbfront	H2A1G2	0.131	447	-0.012	0.187	0.948481791593442	0.948481791593442
All	2	inforbfront	H2A1G2	0.127	383	0.022	0.212	0.919221658824158	0.976691868920895
All	3	inforbfront	H2A1G2*footyrs	0.127	383	-0.056	0.04	0.16014444198925	0.274533329124429
All	1	infpar	H2A1G2	0.131	447	-0.013	0.19	0.944462177994098	0.948481791593442
All	2	infpar	H2A1G2	0.127	383	0.006	0.218	0.976691868920895	0.976691868920895
All	3	infpar	H2A1G2*footyrs	0.127	383	-0.062	0.039	0.115085967491517	0.251681839760312
All	1	loccoer	H2A1G2	0.131	447	-0.342	0.192	0.0759832928119017	0.182359902748564
All	2	loccoer	H2A1G2	0.127	383	-0.198	0.222	0.375035495700612	0.562553243550918
All	3	loccoer	H2A1G2*footyrs	0.127	383	0	0.043	0.995403797823487	0.995403797823487
All	1	midfront	H2A1G2	0.131	447	0.059	0.188	0.755007582062634	0.943100570384838
All	2	midfront	H2A1G2	0.127	383	0.151	0.215	0.481909864598664	0.642546486131552
All	3	midfront	H2A1G2*footyrs	0.127	383	-0.031	0.042	0.467681272720423	0.561217527264508
All	1	suptemp	H2A1G2	0.131	447	-0.053	0.194	0.785917141987365	0.943100570384838
All	2	suptemp	H2A1G2	0.127	383	0.04	0.218	0.855389438247132	0.976691868920895
All	3	suptemp	H2A1G2*footyrs	0.127	383	-0.061	0.04	0.125840919880156	0.251681839760312
All	1	CTEstage	H2A1G2	0.131	446	0.294	0.183	0.108693019811028	0.198528460551706
All	2	CTEstage	H2A1G2	0.127	383	0.459	0.212	0.0312514322380237	0.187508593428142
All	3	CTEstage	H2A1G2*footyrs	0.127	383	-0.046	0.044	0.292980024000242	0.439470036000363
All	1	subnigra	H2A1G2	0.131	447	-0.395	0.189	0.0370559405876003	0.135462395780151
All	2	subnigra	H2A1G2	0.127	383	-0.301	0.215	0.163563630069232	0.327127260138464
All	3	subnigra	H2A1G2*footyrs	0.127	383	-0.081	0.04	0.0433989539370454	0.209956370752182
