Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	1	amygdala	H2_alpha_dosage	0.263	458	-0.15	0.128	0.240693525285222	0.599321264902301
All	2	amygdala	H2_alpha_dosage	0.258	392	-0.079	0.143	0.580730396827189	0.794135865813849
All	3	amygdala	H2_alpha_dosage*footyrs	0.258	392	-0.039	0.028	0.170666859668499	0.403086603827732
All	1	CA1	H2_alpha_dosage	0.263	458	-0.142	0.127	0.2627164186197	0.599321264902301
All	2	CA1	H2_alpha_dosage	0.258	392	-0.091	0.139	0.513598939174293	0.794135865813849
All	3	CA1	H2_alpha_dosage*footyrs	0.258	392	-0.015	0.027	0.593160361116323	0.777669357132935
All	1	CA2	H2_alpha_dosage	0.263	458	-0.244	0.128	0.0567393455724279	0.340436073434567
All	2	CA2	H2_alpha_dosage	0.258	392	-0.268	0.143	0.0613853292216979	0.368311975330187
All	3	CA2	H2_alpha_dosage*footyrs	0.258	392	0.01	0.029	0.735919636453441	0.802821421585572
All	1	CA4	H2_alpha_dosage	0.263	458	-0.278	0.128	0.0299824759104188	0.340436073434567
All	2	CA4	H2_alpha_dosage	0.258	392	-0.289	0.145	0.0470724826179705	0.368311975330187
All	3	CA4	H2_alpha_dosage*footyrs	0.258	392	-0.036	0.028	0.201543301913866	0.403086603827732
All	1	entorhinal	H2_alpha_dosage	0.263	458	-0.11	0.13	0.399547509934867	0.599321264902301
All	2	entorhinal	H2_alpha_dosage	0.258	392	-0.134	0.147	0.364028147710642	0.794135865813849
All	3	entorhinal	H2_alpha_dosage*footyrs	0.258	392	-0.032	0.03	0.287534046869973	0.43130107030496
All	1	inforbfront	H2_alpha_dosage	0.263	458	-0.007	0.124	0.956206545300992	0.956206545300992
All	2	inforbfront	H2_alpha_dosage	0.258	392	0.073	0.138	0.595601899360387	0.794135865813849
All	3	inforbfront	H2_alpha_dosage*footyrs	0.258	392	-0.051	0.027	0.0540507175491889	0.403086603827732
All	1	infpar	H2_alpha_dosage	0.263	458	-0.107	0.124	0.390198045049622	0.599321264902301
All	2	infpar	H2_alpha_dosage	0.258	392	-0.103	0.138	0.455558017094027	0.794135865813849
All	3	infpar	H2_alpha_dosage*footyrs	0.258	392	-0.046	0.027	0.0867611243568791	0.403086603827732
All	1	loccoer	H2_alpha_dosage	0.263	458	-0.084	0.134	0.531261716484333	0.708348955312444
All	2	loccoer	H2_alpha_dosage	0.258	392	0.034	0.144	0.813908133571225	0.937658556708568
All	3	loccoer	H2_alpha_dosage*footyrs	0.258	392	-0.002	0.03	0.943191774220161	0.943191774220161
All	1	midfront	H2_alpha_dosage	0.263	458	0.012	0.123	0.923761962604656	0.956206545300992
All	2	midfront	H2_alpha_dosage	0.258	392	0.106	0.138	0.443943512369593	0.794135865813849
All	3	midfront	H2_alpha_dosage*footyrs	0.258	392	-0.036	0.028	0.199988790321556	0.403086603827732
All	1	suptemp	H2_alpha_dosage	0.263	458	-0.058	0.125	0.644800865832391	0.773761038998869
All	2	suptemp	H2_alpha_dosage	0.258	392	0.025	0.139	0.859520343649521	0.937658556708568
All	3	suptemp	H2_alpha_dosage*footyrs	0.258	392	-0.043	0.027	0.107815020419393	0.403086603827732
All	1	CTEstage	H2_alpha_dosage	0.264	457	0.123	0.123	0.315751665129199	0.599321264902301
All	2	CTEstage	H2_alpha_dosage	0.258	392	0.167	0.14	0.232728889831242	0.794135865813849
All	3	CTEstage	H2_alpha_dosage*footyrs	0.258	392	-0.014	0.03	0.648057797610779	0.777669357132935
All	1	subnigra	H2_alpha_dosage	0.263	458	-0.123	0.127	0.33402406229464	0.599321264902301
All	2	subnigra	H2_alpha_dosage	0.258	392	-0.001	0.141	0.995869403651632	0.995869403651632
All	3	subnigra	H2_alpha_dosage*footyrs	0.258	392	-0.032	0.028	0.253615628536062	0.43130107030496
