Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	1	amygdala	H2_gamma_dosage	0.366	458	-0.142	0.091	0.121826772676581	0.402997436953807
All	2	amygdala	H2_gamma_dosage	0.359	392	-0.097	0.102	0.340470394652668	0.680940789305336
All	3	amygdala	H2_gamma_dosage*footyrs	0.359	392	-0.034	0.02	0.0947615613193253	0.227427747166381
All	1	CA1	H2_gamma_dosage	0.366	458	-0.131	0.092	0.156113335336321	0.402997436953807
All	2	CA1	H2_gamma_dosage	0.359	392	-0.107	0.101	0.293553564767104	0.680940789305336
All	3	CA1	H2_gamma_dosage*footyrs	0.359	392	-0.017	0.02	0.402646992031171	0.483176390437405
All	1	CA2	H2_gamma_dosage	0.366	458	-0.195	0.092	0.0342029891762585	0.205217935057551
All	2	CA2	H2_gamma_dosage	0.359	392	-0.22	0.103	0.0341241613331307	0.204744967998784
All	3	CA2	H2_gamma_dosage*footyrs	0.359	392	0.004	0.021	0.846909852775471	0.923901657573241
All	1	CA4	H2_gamma_dosage	0.366	458	-0.232	0.092	0.0117582445041009	0.141098934049211
All	2	CA4	H2_gamma_dosage	0.359	392	-0.249	0.106	0.0188642152760576	0.204744967998784
All	3	CA4	H2_gamma_dosage*footyrs	0.359	392	-0.037	0.021	0.0756744481571974	0.227023344471592
All	1	entorhinal	H2_gamma_dosage	0.366	458	-0.092	0.094	0.324435331214485	0.486652996821727
All	2	entorhinal	H2_gamma_dosage	0.359	392	-0.104	0.106	0.32564694034621	0.680940789305336
All	3	entorhinal	H2_gamma_dosage*footyrs	0.359	392	-0.031	0.022	0.161080926721749	0.276138731522998
All	1	inforbfront	H2_gamma_dosage	0.366	458	-0.001	0.089	0.991357491219883	0.991357491219883
All	2	inforbfront	H2_gamma_dosage	0.359	392	0.045	0.099	0.646795178106939	0.776154213728327
All	3	inforbfront	H2_gamma_dosage*footyrs	0.359	392	-0.04	0.02	0.0419920843225421	0.227023344471592
All	1	infpar	H2_gamma_dosage	0.366	458	-0.056	0.089	0.530483756325523	0.707311675100697
All	2	infpar	H2_gamma_dosage	0.359	392	-0.046	0.099	0.644737865094543	0.776154213728327
All	3	infpar	H2_gamma_dosage*footyrs	0.359	392	-0.036	0.019	0.0646361651388894	0.227023344471592
All	1	loccoer	H2_gamma_dosage	0.366	458	-0.105	0.095	0.272471109904858	0.467093331265471
All	2	loccoer	H2_gamma_dosage	0.359	392	-0.017	0.104	0.874653654421483	0.954167623005254
All	3	loccoer	H2_gamma_dosage*footyrs	0.359	392	-0.002	0.022	0.935551656775919	0.935551656775919
All	1	midfront	H2_gamma_dosage	0.366	458	0.013	0.089	0.886988469876507	0.967623785319826
All	2	midfront	H2_gamma_dosage	0.359	392	0.074	0.1	0.458709316388456	0.776154213728327
All	3	midfront	H2_gamma_dosage*footyrs	0.359	392	-0.024	0.021	0.243644438956641	0.365466658434962
All	1	suptemp	H2_gamma_dosage	0.366	458	-0.046	0.091	0.612465496741232	0.734958596089478
All	2	suptemp	H2_gamma_dosage	0.359	392	0.006	0.101	0.956174204105386	0.956174204105386
All	3	suptemp	H2_gamma_dosage*footyrs	0.359	392	-0.036	0.02	0.0668109811466482	0.227023344471592
All	1	CTEstage	H2_gamma_dosage	0.367	457	0.106	0.087	0.224069435561044	0.448138871122088
All	2	CTEstage	H2_gamma_dosage	0.359	392	0.146	0.099	0.141032297873854	0.564129191495416
All	3	CTEstage	H2_gamma_dosage*footyrs	0.359	392	-0.02	0.022	0.366001344499831	0.483176390437405
All	1	subnigra	H2_gamma_dosage	0.366	458	-0.125	0.091	0.167915598730753	0.402997436953807
All	2	subnigra	H2_gamma_dosage	0.359	392	-0.047	0.101	0.641108826684857	0.776154213728327
All	3	subnigra	H2_gamma_dosage*footyrs	0.359	392	-0.03	0.021	0.147444428642632	0.276138731522998
