Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
Cases	1	amygdala	H1B1G1	0.41	305	0.328	0.173	0.0589143308718789	0.0883714963078183
Cases	2	amygdala	H1B1G1	0.417	276	0.29	0.181	0.110024455773023	0.188613352753754
Cases	3	amygdala	H1B1G1*footyrs	0.417	276	0.033	0.036	0.363630069249581	0.727260138499162
Cases	1	CA1	H1B1G1	0.41	305	0.095	0.167	0.570560512626634	0.622429650138146
Cases	2	CA1	H1B1G1	0.417	276	0.074	0.174	0.672641486861969	0.672641486861969
Cases	3	CA1	H1B1G1*footyrs	0.417	276	0.01	0.034	0.774728084556232	0.931590415016411
Cases	1	CA2	H1B1G1	0.41	305	0.333	0.167	0.0468546700178334	0.0883714963078183
Cases	2	CA2	H1B1G1	0.417	276	0.239	0.175	0.172410611861754	0.258615917792631
Cases	3	CA2	H1B1G1*footyrs	0.417	276	-0.034	0.036	0.346637983433258	0.727260138499162
Cases	1	CA4	H1B1G1	0.41	305	0.376	0.168	0.0256685168280917	0.08505035642058
Cases	2	CA4	H1B1G1	0.417	276	0.293	0.176	0.0975747165392284	0.188613352753754
Cases	3	CA4	H1B1G1*footyrs	0.417	276	0.035	0.037	0.34581252319022	0.727260138499162
Cases	1	entorhinal	H1B1G1	0.41	305	0.262	0.18	0.146280220429591	0.175536264515509
Cases	2	entorhinal	H1B1G1	0.417	276	0.19	0.187	0.310890752573721	0.373068903088465
Cases	3	entorhinal	H1B1G1*footyrs	0.417	276	0.041	0.039	0.293524108818116	0.727260138499162
Cases	1	inforbfront	H1B1G1	0.41	305	0.374	0.168	0.026902482733612	0.08505035642058
Cases	2	inforbfront	H1B1G1	0.417	276	0.372	0.177	0.0362246198140692	0.169634726750658
Cases	3	inforbfront	H1B1G1*footyrs	0.417	276	0.024	0.034	0.483484885104685	0.828831231608031
Cases	1	infpar	H1B1G1	0.41	305	0.331	0.172	0.0550464784137379	0.0883714963078183
Cases	2	infpar	H1B1G1	0.417	276	0.369	0.181	0.0424086816876645	0.169634726750658
Cases	3	infpar	H1B1G1*footyrs	0.417	276	0.01	0.035	0.776325345847009	0.931590415016411
Cases	1	loccoer	H1B1G1	0.41	305	-0.061	0.178	0.731551696916512	0.731551696916512
Cases	2	loccoer	H1B1G1	0.417	276	-0.115	0.185	0.532558762037454	0.58097319494995
Cases	3	loccoer	H1B1G1*footyrs	0.417	276	-0.015	0.037	0.684226998462631	0.931590415016411
Cases	1	midfront	H1B1G1	0.41	305	0.346	0.174	0.0483922535682999	0.0883714963078183
Cases	2	midfront	H1B1G1	0.417	276	0.317	0.183	0.0839070649915825	0.188613352753754
Cases	3	midfront	H1B1G1*footyrs	0.417	276	0.078	0.038	0.0433159746002367	0.51979169520284
Cases	1	suptemp	H1B1G1	0.41	305	0.434	0.175	0.0136903544241052	0.08505035642058
Cases	2	suptemp	H1B1G1	0.417	276	0.403	0.183	0.0282063697743609	0.169634726750658
Cases	3	suptemp	H1B1G1*footyrs	0.417	276	0.002	0.037	0.957161534815746	0.957161534815746
Cases	1	CTEstage	H1B1G1	0.41	304	0.383	0.174	0.02835011880686	0.08505035642058
Cases	2	CTEstage	H1B1G1	0.417	276	0.339	0.184	0.0663650919724981	0.188613352753754
Cases	3	CTEstage	H1B1G1*footyrs	0.417	276	-0.003	0.039	0.943019942783673	0.957161534815746
Cases	1	subnigra	H1B1G1	0.41	305	0.259	0.164	0.115803018732971	0.154404024977295
Cases	2	subnigra	H1B1G1	0.417	276	0.189	0.171	0.269332242654076	0.359109656872101
Cases	3	subnigra	H1B1G1*footyrs	0.417	276	-0.037	0.035	0.292926070252782	0.727260138499162
