Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
Cases	1	amygdala	H1_beta_dosage	1.111	313	0.029	0.13	0.822888150978101	0.900577424633009
Cases	2	amygdala	H1_beta_dosage	1.101	283	0.009	0.141	0.947206319630121	0.947206319630121
Cases	3	amygdala	H1_beta_dosage*footyrs	1.101	283	0.014	0.029	0.633010637169656	0.949515955754484
Cases	1	CA1	H1_beta_dosage	1.111	313	0.171	0.126	0.175938027314823	0.703752109259292
Cases	2	CA1	H1_beta_dosage	1.101	283	0.131	0.135	0.331195107806569	0.746292997841886
Cases	3	CA1	H1_beta_dosage*footyrs	1.101	283	-0.014	0.026	0.597328852916767	0.949515955754484
Cases	1	CA2	H1_beta_dosage	1.111	313	0.224	0.126	0.0769278908093696	0.461567344856218
Cases	2	CA2	H1_beta_dosage	1.101	283	0.301	0.14	0.031961012064992	0.191766072389952
Cases	3	CA2	H1_beta_dosage*footyrs	1.101	283	-0.034	0.027	0.202315880037303	0.55782105327557
Cases	1	CA4	H1_beta_dosage	1.111	313	0.315	0.126	0.0130192003390894	0.156230404069073
Cases	2	CA4	H1_beta_dosage	1.101	283	0.351	0.14	0.012887293010682	0.154647516128184
Cases	3	CA4	H1_beta_dosage*footyrs	1.101	283	0.001	0.028	0.974542944611452	0.974542944611452
Cases	1	entorhinal	H1_beta_dosage	1.111	313	0.055	0.137	0.687356884648114	0.900577424633009
Cases	2	entorhinal	H1_beta_dosage	1.101	283	0.084	0.15	0.574239113979417	0.947206319630121
Cases	3	entorhinal	H1_beta_dosage*footyrs	1.101	283	0.003	0.031	0.933485996409769	0.974542944611452
Cases	1	inforbfront	H1_beta_dosage	1.111	313	-0.139	0.125	0.267654191719311	0.707865680849462
Cases	2	inforbfront	H1_beta_dosage	1.101	283	-0.151	0.137	0.269696972925435	0.746292997841886
Cases	3	inforbfront	H1_beta_dosage*footyrs	1.101	283	0.04	0.026	0.125683741920757	0.502734967683028
Cases	1	infpar	H1_beta_dosage	1.111	313	-0.065	0.124	0.600580545434197	0.900577424633009
Cases	2	infpar	H1_beta_dosage	1.101	283	-0.048	0.135	0.723673542723541	0.947206319630121
Cases	3	infpar	H1_beta_dosage*footyrs	1.101	283	0.064	0.027	0.0197966645883723	0.186451612665934
Cases	1	loccoer	H1_beta_dosage	1.111	313	0.114	0.139	0.412921647162186	0.707865680849462
Cases	2	loccoer	H1_beta_dosage	1.101	283	0.059	0.154	0.703614184398721	0.947206319630121
Cases	3	loccoer	H1_beta_dosage*footyrs	1.101	283	-0.028	0.03	0.345393362719991	0.690786725439982
Cases	1	midfront	H1_beta_dosage	1.111	313	-0.131	0.127	0.300760463155528	0.707865680849462
Cases	2	midfront	H1_beta_dosage	1.101	283	-0.168	0.138	0.226201559620507	0.746292997841886
Cases	3	midfront	H1_beta_dosage*footyrs	1.101	283	0.003	0.027	0.905627410986973	0.974542944611452
Cases	1	suptemp	H1_beta_dosage	1.111	313	-0.026	0.131	0.844129813700734	0.900577424633009
Cases	2	suptemp	H1_beta_dosage	1.101	283	-0.035	0.142	0.803601142538379	0.947206319630121
Cases	3	suptemp	H1_beta_dosage*footyrs	1.101	283	0.061	0.028	0.0310752687776557	0.186451612665934
Cases	1	CTEstage	H1_beta_dosage	1.111	312	0.016	0.128	0.900577424633009	0.900577424633009
Cases	2	CTEstage	H1_beta_dosage	1.101	283	0.022	0.14	0.875121562274724	0.947206319630121
Cases	3	CTEstage	H1_beta_dosage*footyrs	1.101	283	0.01	0.031	0.748313786064004	0.974542944611452
Cases	1	subnigra	H1_beta_dosage	1.111	313	0.112	0.127	0.380697718468168	0.707865680849462
Cases	2	subnigra	H1_beta_dosage	1.101	283	0.123	0.138	0.373146498920943	0.746292997841886
Cases	3	subnigra	H1_beta_dosage*footyrs	1.101	283	0.032	0.027	0.232425438864821	0.55782105327557
