Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
Cases	1	amygdala	H1_dosage	0.806	313	0.263	0.216	0.224299587259383	0.538319009422519
Cases	2	amygdala	H1_dosage	0.803	283	0.295	0.229	0.199936256176329	0.568470233258846
Cases	3	amygdala	H1_dosage*footyrs	0.803	283	0.023	0.047	0.624086428160654	0.889819700215422
Cases	1	CA1	H1_dosage	0.806	313	0.278	0.212	0.191273215181611	0.538319009422519
Cases	2	CA1	H1_dosage	0.803	283	0.238	0.223	0.28833152183759	0.57666304367518
Cases	3	CA1	H1_dosage*footyrs	0.803	283	0.006	0.044	0.889819700215422	0.889819700215422
Cases	1	CA2	H1_dosage	0.806	313	0.523	0.208	0.0123405341870497	0.0740432051222982
Cases	2	CA2	H1_dosage	0.803	283	0.587	0.223	0.00926250801936179	0.0555750481161707
Cases	3	CA2	H1_dosage*footyrs	0.803	283	-0.057	0.046	0.216756046265197	0.650268138795591
Cases	1	CA4	H1_dosage	0.806	313	0.669	0.211	0.00166914580775401	0.0200297496930481
Cases	2	CA4	H1_dosage	0.803	283	0.683	0.231	0.0034181854506381	0.0410182254076572
Cases	3	CA4	H1_dosage*footyrs	0.803	283	0.024	0.046	0.599358946454887	0.889819700215422
Cases	1	entorhinal	H1_dosage	0.806	313	0.206	0.226	0.361591173024882	0.638025519867374
Cases	2	entorhinal	H1_dosage	0.803	283	0.284	0.24	0.236862597191186	0.568470233258846
Cases	3	entorhinal	H1_dosage*footyrs	0.803	283	0.021	0.05	0.680399485007651	0.889819700215422
Cases	1	inforbfront	H1_dosage	0.806	313	-0.024	0.209	0.910181696843221	0.910181696843221
Cases	2	inforbfront	H1_dosage	0.803	283	-0.059	0.22	0.788975329158565	0.860700359082071
Cases	3	inforbfront	H1_dosage*footyrs	0.803	283	0.07	0.045	0.118138944122743	0.650268138795591
Cases	1	infpar	H1_dosage	0.806	313	0.054	0.208	0.794899115741346	0.910181696843221
Cases	2	infpar	H1_dosage	0.803	283	0.098	0.222	0.659523460870709	0.800947087193099
Cases	3	infpar	H1_dosage*footyrs	0.803	283	0.075	0.044	0.0853411345335022	0.650268138795591
Cases	1	loccoer	H1_dosage	0.806	313	0.202	0.226	0.372181553255968	0.638025519867374
Cases	2	loccoer	H1_dosage	0.803	283	0.153	0.242	0.528782507237498	0.800947087193099
Cases	3	loccoer	H1_dosage*footyrs	0.803	283	-0.016	0.05	0.748306675093849	0.889819700215422
Cases	1	midfront	H1_dosage	0.806	313	-0.03	0.211	0.885360257513081	0.910181696843221
Cases	2	midfront	H1_dosage	0.803	283	-0.097	0.225	0.667455905994249	0.800947087193099
Cases	3	midfront	H1_dosage*footyrs	0.803	283	0.019	0.046	0.678132091350995	0.889819700215422
Cases	1	suptemp	H1_dosage	0.806	313	0.039	0.217	0.856973138145382	0.910181696843221
Cases	2	suptemp	H1_dosage	0.803	283	0.023	0.23	0.920910658940964	0.920910658940964
Cases	3	suptemp	H1_dosage*footyrs	0.803	283	0.061	0.045	0.174043369983049	0.650268138795591
Cases	1	CTEstage	H1_dosage	0.805	312	0.119	0.212	0.573703106649563	0.860554659974345
Cases	2	CTEstage	H1_dosage	0.803	283	0.126	0.226	0.57736419445623	0.800947087193099
Cases	3	CTEstage	H1_dosage*footyrs	0.803	283	-0.007	0.049	0.883429916904282	0.889819700215422
Cases	1	subnigra	H1_dosage	0.806	313	0.377	0.21	0.074114780254549	0.296459121018196
Cases	2	subnigra	H1_dosage	0.803	283	0.356	0.225	0.115037457503919	0.460149830015676
Cases	3	subnigra	H1_dosage*footyrs	0.803	283	0.011	0.045	0.81249347276615	0.889819700215422
