Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
Cases	1	amygdala	H2_alpha_dosage	0.272	313	-0.129	0.153	0.401752723351911	0.845730213319696
Cases	2	amygdala	H2_alpha_dosage	0.273	283	-0.14	0.164	0.391556832945525	0.731137931668137
Cases	3	amygdala	H2_alpha_dosage*footyrs	0.273	283	-0.014	0.033	0.67939676957691	0.979190059641876
Cases	1	CA1	H2_alpha_dosage	0.272	313	-0.147	0.148	0.320661089376556	0.845730213319696
Cases	2	CA1	H2_alpha_dosage	0.273	283	-0.102	0.157	0.51359981527821	0.731137931668137
Cases	3	CA1	H2_alpha_dosage*footyrs	0.273	283	0.001	0.031	0.979190059641876	0.979190059641876
Cases	1	CA2	H2_alpha_dosage	0.272	313	-0.315	0.147	0.0327196647444898	0.196317988466939
Cases	2	CA2	H2_alpha_dosage	0.273	283	-0.356	0.158	0.0253223076508711	0.151933845905227
Cases	3	CA2	H2_alpha_dosage*footyrs	0.273	283	0.039	0.033	0.231913408212892	0.695740224638676
Cases	1	CA4	H2_alpha_dosage	0.272	313	-0.416	0.149	0.00558983601905583	0.06707803222867
Cases	2	CA4	H2_alpha_dosage	0.273	283	-0.426	0.163	0.00947467277844871	0.113696073341385
Cases	3	CA4	H2_alpha_dosage*footyrs	0.273	283	-0.004	0.033	0.906701178078426	0.979190059641876
Cases	1	entorhinal	H2_alpha_dosage	0.272	313	-0.128	0.159	0.422865106659848	0.845730213319696
Cases	2	entorhinal	H2_alpha_dosage	0.273	283	-0.182	0.169	0.284368508324236	0.731137931668137
Cases	3	entorhinal	H2_alpha_dosage*footyrs	0.273	283	-0.008	0.035	0.825115723945761	0.979190059641876
Cases	1	inforbfront	H2_alpha_dosage	0.272	313	0.06	0.147	0.686432078236344	0.914645141777119
Cases	2	inforbfront	H2_alpha_dosage	0.273	283	0.095	0.158	0.548353448751103	0.731137931668137
Cases	3	inforbfront	H2_alpha_dosage*footyrs	0.273	283	-0.052	0.031	0.0968297428881593	0.580978457328956
Cases	1	infpar	H2_alpha_dosage	0.272	313	-0.059	0.146	0.687537474126631	0.914645141777119
Cases	2	infpar	H2_alpha_dosage	0.273	283	-0.106	0.156	0.496680721107743	0.731137931668137
Cases	3	infpar	H2_alpha_dosage*footyrs	0.273	283	-0.053	0.031	0.0863894068771938	0.580978457328956
Cases	1	loccoer	H2_alpha_dosage	0.272	313	-0.077	0.159	0.630715969467441	0.914645141777119
Cases	2	loccoer	H2_alpha_dosage	0.273	283	-0.047	0.171	0.782236346092207	0.917906235295349
Cases	3	loccoer	H2_alpha_dosage*footyrs	0.273	283	0.014	0.034	0.691476688889173	0.979190059641876
Cases	1	midfront	H2_alpha_dosage	0.272	313	0.045	0.149	0.762204284814266	0.914645141777119
Cases	2	midfront	H2_alpha_dosage	0.273	283	0.1	0.16	0.531877682424123	0.731137931668137
Cases	3	midfront	H2_alpha_dosage*footyrs	0.273	283	-0.022	0.032	0.490368882769076	0.979190059641876
Cases	1	suptemp	H2_alpha_dosage	0.272	313	-0.012	0.151	0.937999768450167	0.937999768450167
Cases	2	suptemp	H2_alpha_dosage	0.273	283	0.017	0.162	0.917906235295349	0.917906235295349
Cases	3	suptemp	H2_alpha_dosage*footyrs	0.273	283	-0.041	0.032	0.199612184250881	0.695740224638676
Cases	1	CTEstage	H2_alpha_dosage	0.272	312	-0.025	0.151	0.867805671324062	0.937999768450167
Cases	2	CTEstage	H2_alpha_dosage	0.273	283	-0.019	0.162	0.90860751848169	0.917906235295349
Cases	3	CTEstage	H2_alpha_dosage*footyrs	0.273	283	0.017	0.035	0.631672160640335	0.979190059641876
Cases	1	subnigra	H2_alpha_dosage	0.272	313	-0.214	0.15	0.152574298623954	0.610297194495816
Cases	2	subnigra	H2_alpha_dosage	0.273	283	-0.183	0.16	0.255387678765254	0.731137931668137
Cases	3	subnigra	H2_alpha_dosage*footyrs	0.273	283	0.006	0.032	0.864573365756506	0.979190059641876
