Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
Cases	1	amygdala	H2_gamma_dosage	0.387	313	-0.132	0.108	0.222729110388373	0.534549864932095
Cases	2	amygdala	H2_gamma_dosage	0.391	283	-0.147	0.115	0.20091122689946	0.549562988653087
Cases	3	amygdala	H2_gamma_dosage*footyrs	0.391	283	-0.012	0.023	0.620684511019546	0.896165110297803
Cases	1	CA1	H2_gamma_dosage	0.387	313	-0.137	0.106	0.198660005611934	0.534549864932095
Cases	2	CA1	H2_gamma_dosage	0.391	283	-0.117	0.112	0.298713785579374	0.597427571158748
Cases	3	CA1	H2_gamma_dosage*footyrs	0.391	283	-0.004	0.022	0.854025687807104	0.896165110297803
Cases	1	CA2	H2_gamma_dosage	0.387	313	-0.262	0.104	0.0125514000550533	0.0753084003303198
Cases	2	CA2	H2_gamma_dosage	0.391	283	-0.292	0.112	0.00990497553506264	0.0594298532103758
Cases	3	CA2	H2_gamma_dosage*footyrs	0.391	283	0.028	0.023	0.227384607188396	0.682153821565188
Cases	1	CA4	H2_gamma_dosage	0.387	313	-0.334	0.106	0.00186763625540487	0.0224116350648584
Cases	2	CA4	H2_gamma_dosage	0.391	283	-0.34	0.116	0.00365544584959121	0.0438653501950945
Cases	3	CA4	H2_gamma_dosage*footyrs	0.391	283	-0.013	0.023	0.571378095667386	0.896165110297803
Cases	1	entorhinal	H2_gamma_dosage	0.387	313	-0.102	0.114	0.368248813378875	0.648098328463851
Cases	2	entorhinal	H2_gamma_dosage	0.391	283	-0.144	0.12	0.228984578605453	0.549562988653087
Cases	3	entorhinal	H2_gamma_dosage*footyrs	0.391	283	-0.011	0.025	0.674457665956298	0.896165110297803
Cases	1	inforbfront	H2_gamma_dosage	0.387	313	0.014	0.104	0.895957424351224	0.895957424351224
Cases	2	inforbfront	H2_gamma_dosage	0.391	283	0.031	0.111	0.781732380743993	0.852798960811629
Cases	3	inforbfront	H2_gamma_dosage*footyrs	0.391	283	-0.036	0.023	0.110034390011827	0.655578341886888
Cases	1	infpar	H2_gamma_dosage	0.387	313	-0.03	0.104	0.771872562027123	0.895957424351224
Cases	2	infpar	H2_gamma_dosage	0.391	283	-0.052	0.111	0.637386896520246	0.78512411984295
Cases	3	infpar	H2_gamma_dosage*footyrs	0.391	283	-0.039	0.022	0.0763784190012731	0.655578341886888
Cases	1	loccoer	H2_gamma_dosage	0.387	313	-0.1	0.113	0.37805735827058	0.648098328463851
Cases	2	loccoer	H2_gamma_dosage	0.391	283	-0.076	0.122	0.536054567258175	0.78512411984295
Cases	3	loccoer	H2_gamma_dosage*footyrs	0.391	283	0.009	0.025	0.712657593748117	0.896165110297803
Cases	1	midfront	H2_gamma_dosage	0.387	313	0.017	0.106	0.875449318123365	0.895957424351224
Cases	2	midfront	H2_gamma_dosage	0.391	283	0.051	0.113	0.654270099869125	0.78512411984295
Cases	3	midfront	H2_gamma_dosage*footyrs	0.391	283	-0.009	0.023	0.68626023037048	0.896165110297803
Cases	1	suptemp	H2_gamma_dosage	0.387	313	-0.022	0.109	0.84207475604286	0.895957424351224
Cases	2	suptemp	H2_gamma_dosage	0.391	283	-0.014	0.115	0.905881334497413	0.905881334497413
Cases	3	suptemp	H2_gamma_dosage*footyrs	0.391	283	-0.032	0.023	0.163894585471722	0.655578341886888
Cases	1	CTEstage	H2_gamma_dosage	0.388	312	-0.061	0.106	0.565830581107164	0.848745871660746
Cases	2	CTEstage	H2_gamma_dosage	0.391	283	-0.071	0.114	0.529523973513628	0.78512411984295
Cases	3	CTEstage	H2_gamma_dosage*footyrs	0.391	283	0.003	0.025	0.896165110297803	0.896165110297803
Cases	1	subnigra	H2_gamma_dosage	0.387	313	-0.189	0.106	0.0742068724885658	0.296827489954263
Cases	2	subnigra	H2_gamma_dosage	0.391	283	-0.179	0.113	0.113495460728568	0.453981842914272
Cases	3	subnigra	H2_gamma_dosage*footyrs	0.391	283	-0.005	0.023	0.816211187486812	0.896165110297803
