Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H1B2G1	0.283	447	-0.407	0.173	0.0190897336134865	0.152717868907892	0.132
All	1	DementiaHx	H1B2G1	0.281	430	-0.238	0.201	0.238263817962936	0.482610955583656	0.847
All	1	amygdala	H1B2G1	0.283	447	-0.134	0.143	0.347386864156454	0.812782485459509	0.965
All	1	CA1	H1B2G1	0.283	447	0.05	0.14	0.720880656678392	0.992193141836097	1
All	1	CA2	H1B2G1	0.283	447	-0.002	0.146	0.988718892610427	0.992193141836097	1
All	1	CA4	H1B2G1	0.283	447	0.065	0.145	0.655697639782109	0.992193141836097	1
All	1	entorhinal	H1B2G1	0.283	447	-0.15	0.149	0.313825201525565	0.812253462772051	0.94
All	1	inforbfront	H1B2G1	0.283	447	-0.33	0.144	0.0218646217609373	0.160340559580207	0.149
All	1	infpar	H1B2G1	0.283	447	-0.246	0.144	0.0897401294434141	0.358960517773656	0.451
All	1	loccoer	H1B2G1	0.283	447	0.067	0.151	0.654752070718209	0.992193141836097	1
All	1	midfront	H1B2G1	0.283	447	-0.265	0.141	0.0606908639714931	0.281094527867968	0.336
All	1	suptemp	H1B2G1	0.283	447	-0.385	0.145	0.00826822415176887	0.0909504656694576	0.063
All	1	CTEstage	H1B2G1	0.284	446	-0.285	0.141	0.0440893597918266	0.176357439167306	0.255
All	1	subnigra	H1B2G1	0.283	447	-0.186	0.144	0.197749259855369	0.580693404394438	0.781
