Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H1_beta_dosage	1.141	458	-0.256	0.129	0.0468649278355122	0.406277182628235	0.284
All	1	DementiaHx	H1_beta_dosage	1.14	440	0.001	0.147	0.993460458559539	0.993460458559539	1
All	1	amygdala	H1_beta_dosage	1.141	458	-0.015	0.103	0.887998083803123	0.992289811165684	1
All	1	CA1	H1_beta_dosage	1.141	458	0.063	0.102	0.533492844843755	0.78481006176609	0.999
All	1	CA2	H1_beta_dosage	1.141	458	0.084	0.105	0.423323629145768	0.727587487594289	0.991
All	1	CA4	H1_beta_dosage	1.141	458	0.124	0.103	0.227310579801015	0.68117777476228	0.853
All	1	entorhinal	H1_beta_dosage	1.141	458	-0.069	0.107	0.516534573537454	0.78481006176609	0.999
All	1	inforbfront	H1_beta_dosage	1.141	458	-0.171	0.102	0.0938334623231389	0.577209870636833	0.504
All	1	infpar	H1_beta_dosage	1.141	458	-0.092	0.101	0.363283046000829	0.727587487594289	0.973
All	1	loccoer	H1_beta_dosage	1.141	458	0.056	0.108	0.599709785767958	0.821600056630132	1
All	1	midfront	H1_beta_dosage	1.141	458	-0.167	0.101	0.100711589535488	0.577209870636833	0.526
All	1	suptemp	H1_beta_dosage	1.141	458	-0.087	0.104	0.405798754910202	0.727587487594289	0.985
All	1	CTEstage	H1_beta_dosage	1.141	457	-0.157	0.1	0.117307343039507	0.406277182628235	0.578
All	1	subnigra	H1_beta_dosage	1.141	458	-0.023	0.102	0.819634340463125	0.992289811165684	1
