Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H1_dosage	0.816	458	-0.332	0.235	0.157524733260751	0.406277182628235	0.717
All	1	DementiaHx	H1_dosage	0.816	440	0.259	0.256	0.312524829597247	0.406277182628235	0.925
All	1	amygdala	H1_dosage	0.816	458	0.286	0.182	0.11678553949443	0.577209870636833	0.583
All	1	CA1	H1_dosage	0.816	458	0.268	0.184	0.14539255263773	0.577209870636833	0.673
All	1	CA2	H1_dosage	0.816	458	0.393	0.183	0.0320783931001882	0.376232866440222	0.207
All	1	CA4	H1_dosage	0.816	458	0.471	0.183	0.0105174038188833	0.323351723873621	0.079
All	1	entorhinal	H1_dosage	0.816	458	0.187	0.186	0.315947367551609	0.727587487594289	0.927
All	1	inforbfront	H1_dosage	0.816	458	0.011	0.176	0.948216005976874	0.992289811165684	1
All	1	infpar	H1_dosage	0.816	458	0.108	0.178	0.542232406311117	0.78481006176609	1
All	1	loccoer	H1_dosage	0.816	458	0.217	0.189	0.252658395158408	0.68117777476228	0.875
All	1	midfront	H1_dosage	0.816	458	-0.025	0.177	0.888678609752445	0.992289811165684	1
All	1	suptemp	H1_dosage	0.816	458	0.097	0.181	0.593498298016023	0.821600056630132	1
All	1	CTEstage	H1_dosage	0.815	457	-0.209	0.173	0.228370003356505	0.406277182628235	0.852
All	1	subnigra	H1_dosage	0.816	458	0.25	0.18	0.165703571646616	0.577209870636833	0.739
