Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H1_gamma_dosage	1.053	458	-0.112	0.12	0.352106891611137	0.406277182628235	0.961
All	1	DementiaHx	H1_gamma_dosage	1.053	440	-0.103	0.137	0.453726248733567	0.48613526650025	0.99
All	1	amygdala	H1_gamma_dosage	1.053	458	0.075	0.099	0.450656490504629	0.751094150841048	0.99
All	1	CA1	H1_gamma_dosage	1.053	458	-0.024	0.098	0.806774729808933	0.992289811165684	1
All	1	CA2	H1_gamma_dosage	1.053	458	0.166	0.097	0.0884463725333393	0.577209870636833	0.491
All	1	CA4	H1_gamma_dosage	1.053	458	0.146	0.099	0.14267798372401	0.577209870636833	0.675
All	1	entorhinal	H1_gamma_dosage	1.053	458	-0.008	0.102	0.938755112368767	0.992289811165684	1
All	1	inforbfront	H1_gamma_dosage	1.053	458	0.001	0.097	0.992769151314671	0.992769151314671	1
All	1	infpar	H1_gamma_dosage	1.053	458	-0.023	0.097	0.808504280032788	0.992289811165684	1
All	1	loccoer	H1_gamma_dosage	1.053	458	0.083	0.102	0.420245644833027	0.727587487594289	0.984
All	1	midfront	H1_gamma_dosage	1.053	458	-0.078	0.096	0.417838672972098	0.727587487594289	0.984
All	1	suptemp	H1_gamma_dosage	1.053	458	0.007	0.097	0.940482087430574	0.992289811165684	1
All	1	CTEstage	H1_gamma_dosage	1.052	457	-0.143	0.094	0.126017864029234	0.406277182628235	0.63
All	1	subnigra	H1_gamma_dosage	1.053	458	0.125	0.098	0.200326664485123	0.648115679216574	0.8
