Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H2A1G2	0.131	447	0.523	0.254	0.0397377829254966	0.176357439167306	0.267
All	1	DementiaHx	H2A1G2	0.129	430	-0.247	0.273	0.366529313462752	0.628335965936146	0.975
All	1	amygdala	H2A1G2	0.131	447	-0.403	0.191	0.0357320020751164	0.217394851447367	0.249
All	1	CA1	H2A1G2	0.131	447	-0.308	0.195	0.115808268596142	0.443092505933065	0.57
All	1	CA2	H2A1G2	0.131	447	-0.387	0.193	0.0451541319257855	0.220753533859396	0.292
All	1	CA4	H2A1G2	0.131	447	-0.562	0.194	0.00397252320168162	0.0742491618654899	0.037
All	1	entorhinal	H2A1G2	0.131	447	-0.2	0.197	0.310192223418559	0.812253462772051	0.938
All	1	inforbfront	H2A1G2	0.131	447	-0.012	0.187	0.948481791505644	0.992193141836097	1
All	1	infpar	H2A1G2	0.131	447	-0.013	0.19	0.944462177994102	0.992193141836097	1
All	1	loccoer	H2A1G2	0.131	447	-0.342	0.192	0.0759832928115394	0.320242294753782	0.429
All	1	midfront	H2A1G2	0.131	447	0.059	0.188	0.755007582062403	0.992193141836097	1
All	1	suptemp	H2A1G2	0.131	447	-0.053	0.194	0.785917141987119	0.992193141836097	1
All	1	CTEstage	H2A1G2	0.131	446	0.294	0.183	0.108693019811642	0.289848052831045	0.552
All	1	subnigra	H2A1G2	0.131	447	-0.395	0.189	0.0370559405876194	0.217394851447367	0.255
