Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H2_alpha_dosage	0.263	458	0.153	0.161	0.341393269013814	0.406277182628235	0.953
All	1	DementiaHx	H2_alpha_dosage	0.264	440	-0.167	0.176	0.341883612396097	0.406277182628235	0.954
All	1	amygdala	H2_alpha_dosage	0.263	458	-0.15	0.128	0.240693525271473	0.68117777476228	0.838
All	1	CA1	H2_alpha_dosage	0.263	458	-0.142	0.127	0.26271641861938	0.68117777476228	0.863
All	1	CA2	H2_alpha_dosage	0.263	458	-0.244	0.128	0.0567393455535345	0.520110667574066	0.346
All	1	CA4	H2_alpha_dosage	0.263	458	-0.278	0.128	0.0299824759109202	0.376232866440222	0.209
All	1	entorhinal	H2_alpha_dosage	0.263	458	-0.11	0.13	0.399547509923518	0.727587487594289	0.986
All	1	inforbfront	H2_alpha_dosage	0.263	458	-0.007	0.124	0.956206545305114	0.992289811165684	1
All	1	infpar	H2_alpha_dosage	0.263	458	-0.107	0.124	0.390198045049568	0.727587487594289	0.983
All	1	loccoer	H2_alpha_dosage	0.263	458	-0.084	0.134	0.531261716483986	0.78481006176609	0.999
All	1	midfront	H2_alpha_dosage	0.263	458	0.012	0.123	0.923761962605259	0.992289811165684	1
All	1	suptemp	H2_alpha_dosage	0.263	458	-0.058	0.125	0.64480086583802	0.844382086216455	1
All	1	CTEstage	H2_alpha_dosage	0.264	457	0.123	0.123	0.315751665109738	0.406277182628235	0.932
All	1	subnigra	H2_alpha_dosage	0.263	458	-0.123	0.127	0.334024062294684	0.727587487594289	0.949
