Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H2_gamma_dosage	0.366	458	0.169	0.118	0.153797805621941	0.406277182628235	0.695
All	1	DementiaHx	H2_gamma_dosage	0.365	440	-0.125	0.129	0.330958095232918	0.406277182628235	0.942
All	1	amygdala	H2_gamma_dosage	0.366	458	-0.142	0.091	0.121826772676859	0.577209870636833	0.604
All	1	CA1	H2_gamma_dosage	0.366	458	-0.131	0.092	0.156113335336692	0.577209870636833	0.7
All	1	CA2	H2_gamma_dosage	0.366	458	-0.195	0.092	0.034202987858202	0.376232866440222	0.224
All	1	CA4	H2_gamma_dosage	0.366	458	-0.232	0.092	0.0117582445044953	0.323351723873621	0.09
All	1	entorhinal	H2_gamma_dosage	0.366	458	-0.092	0.094	0.324435331223155	0.727587487594289	0.936
All	1	inforbfront	H2_gamma_dosage	0.366	458	-0.001	0.089	0.991357491214863	0.992769151314671	1
All	1	infpar	H2_gamma_dosage	0.366	458	-0.056	0.089	0.530483756325685	0.78481006176609	0.999
All	1	loccoer	H2_gamma_dosage	0.366	458	-0.105	0.095	0.272471109904912	0.68117777476228	0.894
All	1	midfront	H2_gamma_dosage	0.366	458	0.013	0.089	0.886988469876377	0.992289811165684	1
All	1	suptemp	H2_gamma_dosage	0.366	458	-0.046	0.091	0.612465496760644	0.821600056630132	1
All	1	CTEstage	H2_gamma_dosage	0.367	457	0.106	0.087	0.224069435562117	0.406277182628235	0.848
All	1	subnigra	H2_gamma_dosage	0.366	458	-0.125	0.091	0.167915598730715	0.577209870636833	0.739
