Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H1B1G1	0.387	447	0.272	0.169	0.108270187954521	0.289848052831045	0.573
All	1	DementiaHx	H1B1G1	0.392	430	0.643	0.208	0.00211961315097797	0.0254353578117356	0.019
All	1	amygdala	H1B1G1	0.387	447	0.425	0.14	0.00260149391173536	0.0742491618654899	0.025
All	1	CA1	H1B1G1	0.387	447	0.245	0.138	0.0764214567026071	0.320242294753782	0.442
All	1	CA2	H1B1G1	0.387	447	0.282	0.139	0.0430471690973113	0.220753533859396	0.286
All	1	CA4	H1B1G1	0.387	447	0.3	0.139	0.0314429563736027	0.212844627759772	0.217
All	1	entorhinal	H1B1G1	0.387	447	0.404	0.144	0.00517983800652688	0.0742491618654899	0.047
All	1	inforbfront	H1B1G1	0.387	447	0.378	0.137	0.00590618333020942	0.0742491618654899	0.053
All	1	infpar	H1B1G1	0.387	447	0.414	0.141	0.00349448824771637	0.0742491618654899	0.039
All	1	loccoer	H1B1G1	0.387	447	0.127	0.14	0.362771453199967	0.812782485459509	0.984
All	1	midfront	H1B1G1	0.387	447	0.392	0.138	0.00478332449701746	0.0742491618654899	0.045
All	1	suptemp	H1B1G1	0.387	447	0.514	0.141	0.000289187438165195	0.0254484945585372	0.002
All	1	CTEstage	H1B1G1	0.387	446	0.302	0.136	0.0268354648300655	0.161012788980393	0.191
All	1	subnigra	H1B1G1	0.387	447	0.31	0.134	0.0213205856835121	0.160340559580207	0.158
All	1	CTE	H1B1G2	0.106	447	-0.067	0.243	0.781548413561101	0.937858096273321	1
All	1	DementiaHx	H1B1G2	0.103	430	0.022	0.295	0.940879464934585	0.985033879849898	1
All	1	amygdala	H1B1G2	0.106	447	-0.132	0.206	0.519833130187725	0.927962703695014	0.999
All	1	CA1	H1B1G2	0.106	447	-0.053	0.199	0.790726339880002	0.992193141836097	1
All	1	CA2	H1B1G2	0.106	447	-0.026	0.201	0.897684176175187	0.992193141836097	1
All	1	CA4	H1B1G2	0.106	447	0.182	0.202	0.36779704781477	0.812782485459509	0.977
All	1	entorhinal	H1B1G2	0.106	447	-0.127	0.207	0.537806454122278	0.927962703695014	0.999
All	1	inforbfront	H1B1G2	0.106	447	-0.004	0.206	0.984217239917931	0.992193141836097	1
All	1	infpar	H1B1G2	0.106	447	-0.072	0.203	0.721937485120825	0.992193141836097	1
All	1	loccoer	H1B1G2	0.106	447	0.128	0.204	0.530273077770096	0.927962703695014	0.999
All	1	midfront	H1B1G2	0.106	447	-0.092	0.2	0.646664131950367	0.992193141836097	1
All	1	suptemp	H1B1G2	0.106	447	-0.195	0.202	0.335173302346208	0.812782485459509	0.962
All	1	CTEstage	H1B1G2	0.105	446	-0.203	0.203	0.317337498578881	0.585853843530242	0.951
All	1	subnigra	H1B1G2	0.106	447	0.013	0.202	0.950100495426798	0.992193141836097	1
All	1	CTE	H1B1G3	0.046	447	-0.15	0.376	0.690000030268046	0.871578985601742	1
All	1	DementiaHx	H1B1G3	0.045	430	-0.698	0.413	0.0915586123937104	0.289848052831045	0.513
All	1	amygdala	H1B1G3	0.046	447	-0.045	0.32	0.887672952831571	0.992193141836097	1
All	1	CA1	H1B1G3	0.046	447	-0.447	0.311	0.150933517108782	0.494015543629474	0.683
All	1	CA2	H1B1G3	0.046	447	0.012	0.317	0.969107115467906	0.992193141836097	1
All	1	CA4	H1B1G3	0.046	447	-0.419	0.325	0.197963660589013	0.580693404394438	0.802
All	1	entorhinal	H1B1G3	0.046	447	-0.285	0.331	0.390329748795434	0.837780924243858	0.985
