Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H1_beta_dosage	1.143	456	-0.257	0.13	0.0478932377794308	0.522242412481233	0.134
All	1	DementiaHx	H1_beta_dosage	1.143	438	-0.022	0.148	0.879493644808283	0.879493644808283	0.998
All	1	amygdala	H1_beta_dosage	1.143	456	-0.028	0.104	0.790725077747403	0.91119084845282	1
All	1	CA1	H1_beta_dosage	1.143	456	0.056	0.102	0.58620101075968	0.871379880858984	0.999
All	1	CA2	H1_beta_dosage	1.143	456	0.06	0.103	0.558954091832142	0.853957640299106	0.998
All	1	CA4	H1_beta_dosage	1.143	456	0.106	0.103	0.30386998789975	0.715216057698057	0.88
All	1	entorhinal	H1_beta_dosage	1.143	456	-0.081	0.107	0.450053741490018	0.798482444579064	0.979
All	1	inforbfront	H1_beta_dosage	1.143	456	-0.178	0.103	0.0840135965379172	0.577593476198181	0.373
All	1	infpar	H1_beta_dosage	1.143	456	-0.108	0.103	0.293065187429508	0.715216057698057	0.874
All	1	loccoer	H1_beta_dosage	1.143	456	0.076	0.108	0.485261144396061	0.808768573993435	0.985
All	1	midfront	H1_beta_dosage	1.143	456	-0.179	0.102	0.0805298539358175	0.577593476198181	0.362
All	1	suptemp	H1_beta_dosage	1.143	456	-0.102	0.105	0.32987383827941	0.715216057698057	0.904
All	1	CTEstage	H1_beta_dosage	1.144	455	-0.163	0.101	0.105661889239145	0.522242412481233	0.263
All	1	subnigra	H1_beta_dosage	1.143	456	-0.03	0.102	0.766090172287219	0.91119084845282	1
All	1	AT8PositiveTissue.log	H1_beta_dosage	1.143	456	-0.206	0.119	0.0828555691716086	0.522242412481233	0.22
