Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H1_dosage	0.817	456	-0.335	0.236	0.15667272374437	0.522242412481233	0.383
All	1	DementiaHx	H1_dosage	0.818	438	0.224	0.258	0.386258100987327	0.544101642102264	0.76
All	1	amygdala	H1_dosage	0.817	456	0.262	0.184	0.154668834631734	0.613842664367951	0.588
All	1	CA1	H1_dosage	0.817	456	0.257	0.181	0.156712497131674	0.613842664367951	0.599
All	1	CA2	H1_dosage	0.817	456	0.365	0.18	0.0434683387146502	0.512987816736627	0.219
All	1	CA4	H1_dosage	0.817	456	0.449	0.182	0.0142444486817637	0.44302812525956	0.088
All	1	entorhinal	H1_dosage	0.817	456	0.175	0.187	0.348916629166265	0.715216057698057	0.891
All	1	inforbfront	H1_dosage	0.817	456	-0.004	0.178	0.980610641706405	0.980610641706405	1
All	1	infpar	H1_dosage	0.817	456	0.074	0.178	0.676403174850191	0.91119084845282	1
All	1	loccoer	H1_dosage	0.817	456	0.233	0.183	0.204984893741017	0.62634273087533	0.702
All	1	midfront	H1_dosage	0.817	456	-0.046	0.178	0.794926410801062	0.91119084845282	1
All	1	suptemp	H1_dosage	0.817	456	0.068	0.182	0.710995279480425	0.91119084845282	1
All	1	CTEstage	H1_dosage	0.817	455	-0.217	0.174	0.21377255578374	0.544101642102264	0.508
All	1	subnigra	H1_dosage	0.817	456	0.251	0.18	0.162951800737073	0.613842664367951	0.614
All	1	AT8PositiveTissue.log	H1_dosage	0.817	456	-0.091	0.212	0.668330835342649	0.742589817047388	0.975
