Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H1_gamma_dosage	1.055	456	-0.112	0.12	0.352831877340195	0.544101642102264	0.744
All	1	DementiaHx	H1_gamma_dosage	1.055	438	-0.122	0.138	0.376230232249893	0.544101642102264	0.761
All	1	amygdala	H1_gamma_dosage	1.055	456	0.063	0.099	0.523912082637498	0.823290415573211	0.99
All	1	CA1	H1_gamma_dosage	1.055	456	-0.03	0.096	0.75404670287479	0.91119084845282	1
All	1	CA2	H1_gamma_dosage	1.055	456	0.16	0.098	0.10404832867376	0.613842664367951	0.415
All	1	CA4	H1_gamma_dosage	1.055	456	0.133	0.099	0.182109969419587	0.62600301987983	0.639
All	1	entorhinal	H1_gamma_dosage	1.055	456	-0.013	0.101	0.900302499264145	0.970914459990745	1
All	1	inforbfront	H1_gamma_dosage	1.055	456	-0.012	0.098	0.898378635090263	0.970914459990745	1
All	1	infpar	H1_gamma_dosage	1.055	456	-0.042	0.097	0.666024547210626	0.91119084845282	1
All	1	loccoer	H1_gamma_dosage	1.055	456	0.093	0.1	0.351106064688137	0.715216057698057	0.913
All	1	midfront	H1_gamma_dosage	1.055	456	-0.087	0.096	0.366813221474303	0.720525970753095	0.924
All	1	suptemp	H1_gamma_dosage	1.055	456	-0.006	0.097	0.952590121546186	0.980491229325098	1
All	1	CTEstage	H1_gamma_dosage	1.054	455	-0.148	0.094	0.115566309746321	0.522242412481233	0.31
All	1	subnigra	H1_gamma_dosage	1.055	456	0.128	0.098	0.19394720048624	0.62634273087533	0.661
All	1	AT8PositiveTissue.log	H1_gamma_dosage	1.055	456	-0.116	0.111	0.298619494113567	0.544101642102264	0.665
