Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H2_alpha_dosage	0.26	456	0.156	0.163	0.339773586068874	0.544101642102264	0.719
All	1	DementiaHx	H2_alpha_dosage	0.261	438	-0.13	0.178	0.466937172417966	0.583671465522458	0.855
All	1	amygdala	H2_alpha_dosage	0.26	456	-0.133	0.129	0.304400056744122	0.715216057698057	0.845
All	1	CA1	H2_alpha_dosage	0.26	456	-0.134	0.127	0.290970971106649	0.715216057698057	0.832
All	1	CA2	H2_alpha_dosage	0.26	456	-0.222	0.127	0.0807034466276253	0.577593476198181	0.355
All	1	CA4	H2_alpha_dosage	0.26	456	-0.255	0.128	0.046144106727857	0.512987816736627	0.224
All	1	entorhinal	H2_alpha_dosage	0.26	456	-0.094	0.131	0.471687860967584	0.808768573993435	0.973
All	1	inforbfront	H2_alpha_dosage	0.26	456	0.006	0.125	0.962664116064642	0.980491229325098	1
All	1	infpar	H2_alpha_dosage	0.26	456	-0.083	0.125	0.5051387717678	0.817136248447912	0.984
All	1	loccoer	H2_alpha_dosage	0.26	456	-0.108	0.129	0.40030526136191	0.733892979163502	0.938
All	1	midfront	H2_alpha_dosage	0.26	456	0.027	0.124	0.825785001151429	0.926901531904665	1
All	1	suptemp	H2_alpha_dosage	0.26	456	-0.035	0.126	0.780026688190869	0.91119084845282	1
All	1	CTEstage	H2_alpha_dosage	0.261	455	0.131	0.124	0.29009816278309	0.544101642102264	0.643
All	1	subnigra	H2_alpha_dosage	0.26	456	-0.109	0.128	0.393424748077752	0.733892979163502	0.938
All	1	AT8PositiveTissue.log	H2_alpha_dosage	0.26	456	0.033	0.151	0.827103867127461	0.870635649607854	0.997
