Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H2_gamma_dosage	0.363	456	0.17	0.119	0.152990929143799	0.522242412481233	0.379
All	1	DementiaHx	H2_gamma_dosage	0.362	438	-0.107	0.13	0.408076231576698	0.544101642102264	0.783
All	1	amygdala	H2_gamma_dosage	0.363	456	-0.13	0.092	0.159195035845034	0.613842664367951	0.604
All	1	CA1	H2_gamma_dosage	0.363	456	-0.126	0.091	0.167411635736714	0.613842664367951	0.621
All	1	CA2	H2_gamma_dosage	0.363	456	-0.181	0.091	0.0466352560669661	0.512987816736627	0.227
All	1	CA4	H2_gamma_dosage	0.363	456	-0.221	0.091	0.0161101136458022	0.44302812525956	0.099
All	1	entorhinal	H2_gamma_dosage	0.363	456	-0.088	0.094	0.350371977730278	0.715216057698057	0.894
All	1	inforbfront	H2_gamma_dosage	0.363	456	0.006	0.09	0.944572734400464	0.980491229325098	1
All	1	infpar	H2_gamma_dosage	0.363	456	-0.039	0.089	0.663463978276676	0.91119084845282	1
All	1	loccoer	H2_gamma_dosage	0.363	456	-0.113	0.092	0.221178514574363	0.640253594820524	0.73
All	1	midfront	H2_gamma_dosage	0.363	456	0.023	0.089	0.795221104104279	0.91119084845282	1
All	1	suptemp	H2_gamma_dosage	0.363	456	-0.031	0.091	0.732341312966881	0.91119084845282	1
All	1	CTEstage	H2_gamma_dosage	0.364	455	0.107	0.087	0.219730938192419	0.544101642102264	0.519
All	1	subnigra	H2_gamma_dosage	0.363	456	-0.126	0.09	0.165410612200708	0.613842664367951	0.618
All	1	AT8PositiveTissue.log	H2_gamma_dosage	0.363	456	0.05	0.106	0.638330475058102	0.742589817047388	0.964
