Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H1B1G1	0.387	445	0.272	0.169	0.108977752945444	0.357473345566518	0.292
All	1	DementiaHx	H1B1G1	0.391	428	0.658	0.209	0.00175137641776679	0.0280220226842686	0.005
All	1	amygdala	H1B1G1	0.387	445	0.419	0.14	0.00298349832636546	0.0699374267689139	0.033
All	1	CA1	H1B1G1	0.387	445	0.241	0.138	0.0809810707684124	0.3393492489343	0.376
All	1	CA2	H1B1G1	0.387	445	0.3	0.138	0.0306675065901123	0.179916038661992	0.192
All	1	CA4	H1B1G1	0.387	445	0.319	0.138	0.0213598315922028	0.13426179857956	0.15
All	1	entorhinal	H1B1G1	0.387	445	0.419	0.144	0.00385291673943833	0.0699374267689139	0.038
All	1	inforbfront	H1B1G1	0.387	445	0.379	0.137	0.00592668993046841	0.0745069591258886	0.055
All	1	infpar	H1B1G1	0.387	445	0.398	0.138	0.00421977587126476	0.0699374267689139	0.041
All	1	loccoer	H1B1G1	0.387	445	0.12	0.144	0.40306527312484	0.865115708170388	0.961
All	1	midfront	H1B1G1	0.387	445	0.393	0.139	0.00476846091606231	0.0699374267689139	0.046
All	1	suptemp	H1B1G1	0.387	445	0.523	0.141	0.00023427941560028	0.0206165885728246	0.005
All	1	CTEstage	H1B1G1	0.386	444	0.304	0.136	0.0258157706374806	0.165220932079876	0.073
All	1	subnigra	H1B1G1	0.387	445	0.329	0.134	0.0144831574755124	0.127451785784509	0.104
All	1	AT8PositiveTissue	H1B1G1	0.387	445	0.09	0.112	0.422454008089344	0.751029347714389	0.823
All	1	CTE	H1B1G2	0.107	445	-0.065	0.243	0.789926161285617	0.953477712928988	0.998
All	1	DementiaHx	H1B1G2	0.104	428	0.003	0.295	0.990958500899745	0.990958500899745	1
All	1	amygdala	H1B1G2	0.107	445	-0.14	0.206	0.497585829525076	0.887510231238763	0.991
All	1	CA1	H1B1G2	0.107	445	-0.054	0.2	0.788463966534211	0.999219715525351	1
All	1	CA2	H1B1G2	0.107	445	-0.047	0.201	0.815399308175289	0.999219715525351	1
All	1	CA4	H1B1G2	0.107	445	0.171	0.202	0.397688673125359	0.865115708170388	0.96
All	1	entorhinal	H1B1G2	0.107	445	-0.139	0.207	0.504267176840206	0.887510231238763	0.992
All	1	inforbfront	H1B1G2	0.107	445	-0.009	0.206	0.965118765915174	0.999219715525351	1
