MarkerName	Allele1	Allele2	Freq1	FreqSE	Effect	StdErr	P-value	Direction	HetISq	HetChiSq	HetDf	HetPVal	N
suptemp_H2A1G2	a	t	0.1312	0.0027	0.0086	0.1984	0.9656	-+	45.5	1.833	1	0.1757	447
DementiaHx_H2_gamma_dosage	a	t	0.3651	0.0085	-0.1674	0.1391	0.2288	--	0.0	0.079	1	0.779	440
CTEstage_H1B1G1	a	t	0.3841	0.0185	0.2908	0.1390	0.03652	++	0.0	0.607	1	0.4359	446
AT8PositiveTissue.log_H1B1G1	a	t	0.3896	0.0199	0.4271	0.1574	0.006648	++	0.0	0.075	1	0.7836	447
inforbfront_H1B2G1	a	t	0.2828	0.0033	-0.3266	0.1472	0.02655	+-	83.3	5.971	1	0.01454	447
infpar_H2A1G2	a	t	0.1312	0.0027	-0.0523	0.1909	0.784	-+	18.9	1.233	1	0.2668	447
subnigra_H2A1G2	a	t	0.1312	0.0027	-0.4157	0.1885	0.02739	--	0.0	0.304	1	0.5815	447
CTEstage_H2_alpha_dosage	a	t	0.2637	0.0104	0.1387	0.1265	0.2729	++	0.0	0.284	1	0.594	457
DementiaHx_H1B1G1	a	t	0.3916	0.0165	0.6553	0.2201	0.002912	++	49.1	1.965	1	0.161	430
DementiaHx_H2_alpha_dosage	a	t	0.2650	0.0106	-0.2386	0.1895	0.2079	--	0.0	0.027	1	0.869	440
CA2_H2_gamma_dosage	a	t	0.3661	0.0088	-0.1729	0.0930	0.06311	--	0.0	0.013	1	0.9089	458
amygdala_H1_dosage	a	t	0.8162	0.0043	0.2476	0.1845	0.1796	++	0.0	0.495	1	0.4817	458
CA1_H2_alpha_dosage	a	t	0.2633	0.0098	-0.0998	0.1286	0.4374	+-	0.0	0.527	1	0.4678	458
midfront_H2_alpha_dosage	a	t	0.2632	0.0098	0.0111	0.1251	0.9293	++	0.0	0.001	1	0.9732	458
entorhinal_H2_alpha_dosage	a	t	0.2638	0.0096	-0.1018	0.1328	0.4431	+-	33.7	1.508	1	0.2194	458
CTEstage_H1_dosage	a	t	0.8154	0.0048	-0.2170	0.1797	0.2271	--	0.0	0.057	1	0.8118	457
suptemp_H2_alpha_dosage	a	t	0.2638	0.0096	-0.0355	0.1284	0.7823	--	0.0	0.134	1	0.7142	458
midfront_H1B1G2	a	t	0.1092	0.0128	-0.0604	0.2049	0.7681	-+	63.2	2.720	1	0.09909	447
infpar_H2_gamma_dosage	a	t	0.3654	0.0091	-0.0769	0.0904	0.3948	--	0.0	0.001	1	0.9748	458
CA1_H1_dosage	a	t	0.8159	0.0042	0.2014	0.1848	0.2758	++	0.0	0.115	1	0.7341	458
midfront_H2_gamma_dosage	a	t	0.3657	0.0090	0.0177	0.0906	0.8454	-+	0.0	0.065	1	0.7988	458
CTEstage_H1B2G1	a	t	0.2835	0.0037	-0.2839	0.1443	0.0491	--	0.0	0.035	1	0.8521	446
amygdala_H2_alpha_dosage	a	t	0.2628	0.0100	-0.1171	0.1298	0.3671	--	0.0	0.001	1	0.9738	458
entorhinal_H2_gamma_dosage	a	t	0.3659	0.0089	-0.0762	0.0947	0.421	+-	0.0	0.430	1	0.5119	458
infpar_H1B2G1	a	t	0.2828	0.0033	-0.2792	0.1489	0.06078	+-	71.3	3.485	1	0.06194	447
loccoer_H1B2G1	a	t	0.2828	0.0032	0.1086	0.1524	0.4761	++	0.0	0.231	1	0.6304	447
subnigra_H1B2G1	a	t	0.2828	0.0032	-0.2406	0.1463	0.1	+-	76.2	4.193	1	0.04059	447
loccoer_H1B1G1	a	t	0.3856	0.0185	0.1119	0.1423	0.4319	-+	0.0	0.256	1	0.613	447
DementiaHx_H1_dosage	a	t	0.8160	0.0042	0.3428	0.2775	0.2166	++	0.0	0.068	1	0.7941	440
CA2_H1B1G1	a	t	0.3856	0.0185	0.2754	0.1414	0.05148	++	0.0	0.103	1	0.7478	447
subnigra_H2_gamma_dosage	a	t	0.3655	0.0090	-0.1217	0.0910	0.1808	--	0.0	0.201	1	0.6543	458
suptemp_H1B2G1	a	t	0.2827	0.0033	-0.3721	0.1473	0.01151	+-	77.8	4.502	1	0.03386	447
entorhinal_H1B1G1	a	t	0.3853	0.0183	0.4538	0.1488	0.002296	-+	74.2	3.875	1	0.04901	447
CA1_H2A1G2	a	t	0.1314	0.0027	-0.2275	0.1939	0.2408	--	0.0	0.112	1	0.7381	447
suptemp_H1B1G1	a	t	0.3858	0.0186	0.4904	0.1434	0.0006266	++	0.0	0.272	1	0.6022	447
CA4_H2_gamma_dosage	a	t	0.3656	0.0090	-0.2146	0.0938	0.02214	--	0.0	0.409	1	0.5227	458
CA1_H2_gamma_dosage	a	t	0.3658	0.0089	-0.0971	0.0927	0.2947	--	0.0	0.137	1	0.7117	458
inforbfront_H2_alpha_dosage	a	t	0.2630	0.0099	-0.0253	0.1265	0.8415	+-	0.0	0.082	1	0.7741	458
midfront_H1B2G1	a	t	0.2829	0.0032	-0.2871	0.1450	0.04774	+-	74.0	3.843	1	0.04997	447
inforbfront_H1B1G1	a	t	0.3857	0.0185	0.3977	0.1404	0.004605	++	0.0	0.019	1	0.89	447
loccoer_H2A1G2	a	t	0.1313	0.0027	-0.3053	0.1920	0.1118	--	0.0	0.002	1	0.9646	447
CA2_H2A1G2	a	t	0.1313	0.0027	-0.3268	0.1961	0.09561	--	0.0	0.001	1	0.9817	447
AT8PositiveTissue.log_H1B1G2	a	t	0.1062	0.0144	-0.0865	0.2431	0.722	-+	42.1	1.728	1	0.1886	447
CTEstage_H2_gamma_dosage	a	t	0.3660	0.0095	0.1050	0.0904	0.2453	++	0.0	0.051	1	0.8206	457
suptemp_H1_dosage	a	t	0.8159	0.0042	0.0489	0.1854	0.7921	+-	0.0	0.530	1	0.4666	458
amygdala_H1B1G1	a	t	0.3857	0.0185	0.4706	0.1430	0.0009951	++	25.5	1.342	1	0.2467	447
CA1_H1B1G2	a	t	0.1097	0.0125	-0.1058	0.2025	0.6014	--	0.0	0.531	1	0.4662	447
CA4_H1_dosage	a	t	0.8160	0.0043	0.4376	0.1866	0.01903	++	0.0	0.360	1	0.5486	458
amygdala_H1B2G1	a	t	0.2830	0.0032	-0.1894	0.1470	0.1976	+-	80.3	5.074	1	0.02429	447
suptemp_H2_gamma_dosage	a	t	0.3659	0.0089	-0.0212	0.0932	0.8204	-+	0.0	0.593	1	0.4413	458
CTE_H1B2G1	a	t	0.2836	0.0028	-0.3926	0.1768	0.0264	--	71.4	3.498	1	0.06146	447
amygdala_H1B1G2	a	t	0.1088	0.0131	-0.1676	0.2113	0.4275	--	0.0	0.877	1	0.349	447
CTE_H1_dosage	a	t	0.8139	0.0027	-0.2708	0.2473	0.2733	--	70.1	3.343	1	0.06749	458
entorhinal_H2A1G2	a	t	0.1313	0.0027	-0.1577	0.1979	0.4254	--	0.0	0.348	1	0.5554	447
inforbfront_H2A1G2	a	t	0.1314	0.0027	-0.0121	0.1909	0.9496	-+	0.0	0.183	1	0.6691	447
CA4_H1B1G2	a	t	0.1091	0.0129	0.2354	0.2064	0.2541	++	0.0	0.245	1	0.6203	447
AT8PositiveTissue.log_H2_alpha_dosage	a	t	0.2614	0.0103	-0.0392	0.1515	0.7956	-+	0.0	0.221	1	0.638	458
inforbfront_H2_gamma_dosage	a	t	0.3658	0.0089	-0.0110	0.0910	0.904	--	0.0	0.000	1	0.9877	458
AT8PositiveTissue.log_H2_gamma_dosage	a	t	0.3641	0.0094	0.0004	0.1077	0.9968	-+	0.0	0.906	1	0.3413	458
CTE_H2_gamma_dosage	a	t	0.3701	0.0057	0.1374	0.1243	0.2689	++	69.8	3.313	1	0.06874	458
CTE_H1B1G2	a	t	0.1111	0.0113	-0.0808	0.2497	0.7461	--	0.0	0.205	1	0.651	447
suptemp_H1B1G2	a	t	0.1085	0.0133	-0.2393	0.2082	0.2504	--	0.0	0.645	1	0.4218	447
CA1_H1B2G1	a	t	0.2828	0.0032	0.0054	0.1422	0.9695	+-	20.4	1.256	1	0.2624	447
midfront_H1B1G1	a	t	0.3848	0.0180	0.3851	0.1409	0.006261	++	0.0	0.021	1	0.8858	447
amygdala_H2A1G2	a	t	0.1311	0.0028	-0.3760	0.1920	0.05021	--	62.0	2.629	1	0.1049	447
midfront_H1_dosage	a	t	0.8160	0.0042	-0.0260	0.1796	0.885	+-	0.0	0.042	1	0.8378	458
infpar_H1B1G2	a	t	0.1096	0.0125	-0.0128	0.2076	0.951	-+	25.7	1.345	1	0.2461	447
AT8PositiveTissue.log_H2A1G2	a	t	0.1309	0.0029	0.1206	0.2241	0.5905	-+	36.4	1.572	1	0.2099	447
loccoer_H1_dosage	a	t	0.8159	0.0042	0.1871	0.1876	0.3185	-+	0.0	0.894	1	0.3445	458
