Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H1B2G1	0.283	447	-0.407	0.173	0.0190897336134865	0.152717868907892	0.058
All	1	DementiaHx	H1B2G1	0.281	430	-0.238	0.201	0.238263817962936	0.454222075843441	0.564
All	1	amygdala	H1B2G1	0.283	447	-0.145	0.143	0.313102501329347	0.762761169773157	0.874
All	1	CA1	H1B2G1	0.283	447	0.047	0.14	0.740016976245685	0.986689301660913	1
All	1	CA2	H1B2G1	0.283	447	0	0.144	0.998422771522282	0.998422771522282	1
All	1	CA4	H1B2G1	0.283	447	0.062	0.145	0.668780284410121	0.954846583747462	1
All	1	entorhinal	H1B2G1	0.283	447	-0.159	0.149	0.285942623314127	0.740086789754211	0.831
All	1	inforbfront	H1B2G1	0.283	447	-0.334	0.144	0.0205653428855923	0.139211551840933	0.112
All	1	infpar	H1B2G1	0.283	447	-0.251	0.145	0.0833546133761724	0.33341845350469	0.347
All	1	loccoer	H1B2G1	0.283	447	0.094	0.15	0.53162400437207	0.897530517907903	0.995
All	1	midfront	H1B2G1	0.283	447	-0.27	0.141	0.0563425473501917	0.273502764767774	0.241
All	1	suptemp	H1B2G1	0.283	447	-0.388	0.145	0.00768687657322031	0.0751605709381541	0.053
All	1	CTEstage	H1B2G1	0.284	446	-0.285	0.141	0.0440893597918266	0.176357439167306	0.121
All	1	subnigra	H1B2G1	0.283	447	-0.189	0.144	0.189511261253739	0.521155968447782	0.653
All	1	AT8PositiveTissue.log	H1B2G1	0.283	447	-0.342	0.166	0.0396176616620556	0.176357439167306	0.106
