Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H2A1G2	0.131	447	0.523	0.254	0.0397377829254966	0.176357439167306	0.116
All	1	DementiaHx	H2A1G2	0.129	430	-0.247	0.273	0.366529313462752	0.617312527937267	0.756
All	1	amygdala	H2A1G2	0.131	447	-0.36	0.19	0.0592113309239322	0.273502764767774	0.284
All	1	CA1	H2A1G2	0.131	447	-0.282	0.191	0.14124052170818	0.434574906680722	0.524
All	1	CA2	H2A1G2	0.131	447	-0.363	0.194	0.0621597192654031	0.273502764767774	0.296
All	1	CA4	H2A1G2	0.131	447	-0.552	0.192	0.00435450165245843	0.0715018621471201	0.03
All	1	entorhinal	H2A1G2	0.131	447	-0.189	0.194	0.331221316055274	0.762761169773157	0.906
All	1	inforbfront	H2A1G2	0.131	447	0.012	0.188	0.948267255789943	0.998422771522282	1
All	1	infpar	H2A1G2	0.131	447	0.002	0.187	0.990161671254879	0.998422771522282	1
All	1	loccoer	H2A1G2	0.131	447	-0.317	0.195	0.10607757545547	0.38895111000339	0.443
All	1	midfront	H2A1G2	0.131	447	0.092	0.187	0.623013419203116	0.951877671062813	1
All	1	suptemp	H2A1G2	0.131	447	-0.018	0.196	0.926082812165793	0.998422771522282	1
All	1	CTEstage	H2A1G2	0.131	446	0.294	0.183	0.108693019811642	0.316197875815686	0.3
All	1	subnigra	H2A1G2	0.131	447	-0.405	0.186	0.0299196414793017	0.175528563345237	0.177
All	1	AT8PositiveTissue.log	H2A1G2	0.131	447	0.189	0.222	0.395310862545537	0.632497380072859	0.793
