Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H2_alpha_dosage	0.263	458	0.153	0.161	0.341393269013814	0.476893906418608	0.722
All	1	DementiaHx	H2_alpha_dosage	0.264	440	-0.167	0.176	0.341883612396097	0.476893906418608	0.722
All	1	amygdala	H2_alpha_dosage	0.263	458	-0.132	0.128	0.302931783253711	0.702797934063826	0.859
All	1	CA1	H2_alpha_dosage	0.263	458	-0.136	0.126	0.280647312517496	0.702797934063826	0.828
All	1	CA2	H2_alpha_dosage	0.263	458	-0.246	0.13	0.058045127839363	0.532080338527494	0.269
All	1	CA4	H2_alpha_dosage	0.263	458	-0.276	0.126	0.0296549014581102	0.435250814282821	0.161
All	1	entorhinal	H2_alpha_dosage	0.263	458	-0.105	0.13	0.417259806671323	0.768218649298636	0.967
All	1	inforbfront	H2_alpha_dosage	0.263	458	0.003	0.124	0.977883778622958	0.977883778622958	1
All	1	infpar	H2_alpha_dosage	0.263	458	-0.099	0.123	0.424285350062687	0.768218649298636	0.969
All	1	loccoer	H2_alpha_dosage	0.263	458	-0.065	0.13	0.617561246052189	0.870919705971036	0.999
All	1	midfront	H2_alpha_dosage	0.263	458	0.024	0.123	0.843946839094751	0.947287268371659	1
All	1	suptemp	H2_alpha_dosage	0.263	458	-0.042	0.125	0.738740352433962	0.909586620174559	1
All	1	CTEstage	H2_alpha_dosage	0.264	457	0.123	0.123	0.315751665109738	0.476893906418608	0.689
All	1	subnigra	H2_alpha_dosage	0.263	458	-0.127	0.126	0.315826027541516	0.702797934063826	0.879
All	1	AT8PositiveTissue.log	H2_alpha_dosage	0.263	458	-0.001	0.148	0.993893931584532	0.993893931584532	1
