Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	1	CTE	H1B1G1	0.3806	447	0.2546	0.1741	0.1436	0.274311111111111
All	1	DementiaHx	H1B1G1	0.3916	430	0.6553	0.2201	0.002912	0.046592
All	1	amygdala	H1B1G1	0.3857	447	0.4706	0.143	0.0009951	0.0218922
All	1	CA1	H1B1G1	0.3859	447	0.2801	0.1407	0.0465	0.14157
All	1	CA2	H1B1G1	0.3856	447	0.2754	0.1414	0.05148	0.14157
All	1	CA4	H1B1G1	0.3857	447	0.3111	0.1404	0.02667	0.10043
All	1	entorhinal	H1B1G1	0.3853	447	0.4538	0.1488	0.002296	0.025256
All	1	inforbfront	H1B1G1	0.3857	447	0.3977	0.1404	0.004605	0.034826
All	1	infpar	H1B1G1	0.386	447	0.4462	0.1431	0.001818	0.025256
All	1	loccoer	H1B1G1	0.3856	447	0.1119	0.1423	0.4319	0.6787
All	1	midfront	H1B1G1	0.3848	447	0.3851	0.1409	0.006261	0.0393548571428571
All	1	suptemp	H1B1G1	0.3858	447	0.4904	0.1434	0.0006266	0.0218922
All	1	CTEstage	H1B1G1	0.3841	446	0.2908	0.139	0.03652	0.14608
All	1	subnigra	H1B1G1	0.3856	447	0.3603	0.1364	0.00828	0.04554
All	1	AT8PositiveTissue.log	H1B1G1	0.3896	447	0.4271	0.1574	0.006648	0.053184
All	1	CTE	H1B1G2	0.1111	447	-0.0808	0.2497	0.7461	0.793
All	1	DementiaHx	H1B1G2	0.1072	430	0.0792	0.302	0.793	0.793
All	1	amygdala	H1B1G2	0.1088	447	-0.1676	0.2113	0.4275	0.6787
All	1	CA1	H1B1G2	0.1097	447	-0.1058	0.2025	0.6014	0.8536
All	1	CA2	H1B1G2	0.1093	447	-0.0171	0.2123	0.9356	0.9885
All	1	CA4	H1B1G2	0.1091	447	0.2354	0.2064	0.2541	0.447216
All	1	entorhinal	H1B1G2	0.1094	447	-0.1473	0.2095	0.4819	0.706786666666667
All	1	inforbfront	H1B1G2	0.109	447	-0.0144	0.2137	0.9462	0.9885
All	1	infpar	H1B1G2	0.1096	447	-0.0128	0.2076	0.951	0.9885
All	1	loccoer	H1B1G2	0.1093	447	0.0653	0.2089	0.7547	0.980344444444445
All	1	midfront	H1B1G2	0.1092	447	-0.0604	0.2049	0.7681	0.980344444444445
All	1	suptemp	H1B1G2	0.1085	447	-0.2393	0.2082	0.2504	0.447216
All	1	CTEstage	H1B1G2	0.1078	446	-0.1963	0.2075	0.3443	0.459066666666667
All	1	subnigra	H1B1G2	0.1091	447	0.0089	0.2047	0.9654	0.9885
All	1	AT8PositiveTissue.log	H1B1G2	0.1062	447	-0.0865	0.2431	0.722	0.793
All	1	CTE	H1B2G1	0.2836	447	-0.3926	0.1768	0.0264	0.1408
All	1	DementiaHx	H1B2G1	0.2816	430	-0.2479	0.2125	0.2434	0.38944
All	1	amygdala	H1B2G1	0.283	447	-0.1894	0.147	0.1976	0.3952
All	1	CA1	H1B2G1	0.2828	447	0.0054	0.1422	0.9695	0.9885
All	1	CA2	H1B2G1	0.2827	447	-0.0369	0.1471	0.8021	0.980344444444445
All	1	CA4	H1B2G1	0.2828	447	-0.0021	0.1487	0.9885	0.9885
All	1	entorhinal	H1B2G1	0.283	447	-0.2099	0.1525	0.1686	0.353257142857143
All	1	inforbfront	H1B2G1	0.2828	447	-0.3266	0.1472	0.02655	0.10043
All	1	infpar	H1B2G1	0.2828	447	-0.2792	0.1489	0.06078	0.157312941176471
All	1	loccoer	H1B2G1	0.2828	447	0.1086	0.1524	0.4761	0.706786666666667
All	1	midfront	H1B2G1	0.2829	447	-0.2871	0.145	0.04774	0.14157
All	1	suptemp	H1B2G1	0.2827	447	-0.3721	0.1473	0.01151	0.0562711111111111
All	1	CTEstage	H1B2G1	0.2835	446	-0.2839	0.1443	0.0491	0.15712
All	1	subnigra	H1B2G1	0.2828	447	-0.2406	0.1463	0.1	0.231578947368421
All	1	AT8PositiveTissue.log	H1B2G1	0.2821	447	-0.2727	0.1644	0.09709	0.22192
All	1	CTE	H2A1G2	0.1324	447	0.491	0.2612	0.06018	0.16048
All	1	DementiaHx	H2A1G2	0.1291	430	-0.3171	0.2929	0.279	0.405818181818182
All	1	amygdala	H2A1G2	0.1311	447	-0.376	0.192	0.05021	0.14157
All	1	CA1	H2A1G2	0.1314	447	-0.2275	0.1939	0.2408	0.447216
All	1	CA2	H2A1G2	0.1313	447	-0.3268	0.1961	0.09561	0.231578947368421
All	1	CA4	H2A1G2	0.1312	447	-0.5584	0.1977	0.004749	0.034826
All	1	entorhinal	H2A1G2	0.1313	447	-0.1577	0.1979	0.4254	0.6787
All	1	inforbfront	H2A1G2	0.1314	447	-0.0121	0.1909	0.9496	0.9885
All	1	infpar	H2A1G2	0.1312	447	-0.0523	0.1909	0.784	0.980344444444445
All	1	loccoer	H2A1G2	0.1313	447	-0.3053	0.192	0.1118	0.24596
All	1	midfront	H2A1G2	0.1313	447	0.0842	0.1903	0.6582	0.905025
All	1	suptemp	H2A1G2	0.1312	447	0.0086	0.1984	0.9656	0.9885
