Subjects	Model	Phenotype	Predictor	Freq	N	INT.Effect	INT.SE	INT.P.value	FDR
Euro	Interaction	CTE	H1B1G1	0.394	383	-0.098	0.049	0.0473325507070264	0.491308837818935
Euro	Interaction	DementiaHx	H1B1G1	0.398	368	-0.014	0.039	0.729651900485441	0.841906039021663
Euro	Interaction	amygdala	H1B1G1	0.394	383	-0.002	0.029	0.953705231627125	0.953705231627125
Euro	Interaction	CA1	H1B1G1	0.394	383	-0.012	0.028	0.680574614447136	0.841906039021663
Euro	Interaction	CA2	H1B1G1	0.394	383	-0.031	0.03	0.291810056553243	0.729525141383107
Euro	Interaction	CA4	H1B1G1	0.394	383	0.014	0.03	0.64470709002335	0.841906039021663
Euro	Interaction	entorhinal	H1B1G1	0.394	383	-0.007	0.031	0.823134518481672	0.881929841230363
Euro	Interaction	inforbfront	H1B1G1	0.394	383	0.01	0.028	0.706318744458062	0.841906039021663
Euro	Interaction	infpar	H1B1G1	0.394	383	-0.023	0.029	0.414556930454484	0.841906039021663
Euro	Interaction	loccoer	H1B1G1	0.394	383	-0.035	0.029	0.234255038327837	0.702765114983511
Euro	Interaction	midfront	H1B1G1	0.394	383	0.037	0.03	0.222240575096932	0.702765114983511
Euro	Interaction	suptemp	H1B1G1	0.394	383	-0.012	0.029	0.688114550823174	0.841906039021663
Euro	Interaction	CTEstage	H1B1G1	0.394	383	-0.049	0.031	0.110812032410969	0.554060162054845
Euro	Interaction	subnigra	H1B1G1	0.394	383	-0.055	0.03	0.0655078450425246	0.491308837818935
Euro	Interaction	AT8PositiveTissue.log	H1B1G1	0.394	383	0.022	0.03	0.458147672801306	0.841906039021663
