Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
African	1	CTE	H1B1G1	0.648	54	0.591	0.932	0.530124270841711	0.743239036393195
African	1	DementiaHx	H1B1G1	0.66	50	-0.543	1.363	0.693066654676727	0.743239036393195
African	1	amygdala	H1B1G1	0.648	54	0.697	0.503	0.174377157300776	0.65391433987791
African	1	CA1	H1B1G1	0.648	54	-0.028	0.509	0.956387201497924	0.956387201497924
African	1	CA2	H1B1G1	0.648	54	0.444	0.558	0.43156094345038	0.743239036393195
African	1	CA4	H1B1G1	0.648	54	0.266	0.521	0.61281874940758	0.743239036393195
African	1	entorhinal	H1B1G1	0.648	54	-0.223	0.553	0.688458908846826	0.743239036393195
African	1	inforbfront	H1B1G1	0.648	54	0.537	0.511	0.299938581085045	0.743239036393195
African	1	infpar	H1B1G1	0.648	54	0.301	0.465	0.521687877274904	0.743239036393195
African	1	loccoer	H1B1G1	0.648	54	1.297	0.606	0.0408690519000787	0.613035778501181
African	1	midfront	H1B1G1	0.648	54	0.237	0.468	0.615467919152672	0.743239036393195
African	1	suptemp	H1B1G1	0.648	54	0.881	0.501	0.0869431352642283	0.62423728523017
African	1	CTEstage	H1B1G1	0.648	54	0.189	0.477	0.693689767300315	0.743239036393195
African	1	subnigra	H1B1G1	0.648	54	0.804	0.512	0.124847457046034	0.62423728523017
African	1	AT8PositiveTissue.log	H1B1G1	0.648	54	0.403	0.497	0.423066402268002	0.743239036393195
