Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value
Euro	1	CTE	H1B1G1	0.358	458	-0.109	0.174	0.531613130784391
Euro	1	DementiaHx	H1B1G1	0.359	440	0.357	0.207	0.0847556438978563
Euro	1	amygdala	H1B1G1	0.358	458	0.237	0.144	0.0999213226812452
Euro	1	CA1	H1B1G1	0.358	458	0.028	0.141	0.84218951090748
Euro	1	CA2	H1B1G1	0.358	458	0.099	0.142	0.485871171149716
Euro	1	CA4	H1B1G1	0.358	458	0.231	0.143	0.105570499286011
Euro	1	entorhinal	H1B1G1	0.358	458	0.177	0.145	0.223728387201202
Euro	1	inforbfront	H1B1G1	0.358	458	0.077	0.14	0.584767157591891
Euro	1	infpar	H1B1G1	0.358	458	-0.017	0.141	0.904042974755272
Euro	1	loccoer	H1B1G1	0.358	458	0.075	0.143	0.597938105272031
Euro	1	midfront	H1B1G1	0.358	458	-0.019	0.14	0.89064107053481
Euro	1	suptemp	H1B1G1	0.358	458	0.04	0.141	0.779140792888852
Euro	1	CTEstage	H1B1G1	0.358	457	-0.095	0.139	0.497768194428078
Euro	1	subnigra	H1B1G1	0.358	458	-0.038	0.139	0.786756646704382
Euro	1	AT8PositiveTissue.log	H1B1G1	0.358	458	-0.042	0.168	0.804410999391316
