Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
Euro	1	CTE	H1B1G1	0.33	226	0.054	0.295	0.853996117664387	0.907640289354151
Euro	1	DementiaHx	H1B1G1	0.334	220	0.706	0.338	0.0378710083187914	0.151484033275166
Euro	1	amygdala	H1B1G1	0.33	226	0.627	0.245	0.0112986346350628	0.0621424904928454
Euro	1	CA1	H1B1G1	0.33	226	0.408	0.233	0.0816689677793803	0.150229959702919
Euro	1	CA2	H1B1G1	0.33	226	0.355	0.238	0.137734397610633	0.168342041524107
Euro	1	CA4	H1B1G1	0.33	226	0.433	0.232	0.0633441914521073	0.150229959702919
Euro	1	entorhinal	H1B1G1	0.33	226	0.639	0.248	0.0106646928380938	0.0621424904928454
Euro	1	inforbfront	H1B1G1	0.33	226	0.388	0.232	0.0956008834473119	0.150229959702919
Euro	1	infpar	H1B1G1	0.33	226	0.407	0.233	0.082429030605228	0.150229959702919
Euro	1	loccoer	H1B1G1	0.33	226	0.046	0.239	0.846826770452151	0.846826770452151
Euro	1	midfront	H1B1G1	0.33	226	0.368	0.237	0.122111212995728	0.167902917869126
Euro	1	suptemp	H1B1G1	0.33	226	0.522	0.236	0.0280852231401996	0.102979151514065
Euro	1	CTEstage	H1B1G1	0.329	225	0.027	0.232	0.907640289354151	0.907640289354151
Euro	1	subnigra	H1B1G1	0.33	226	0.273	0.228	0.233178279075201	0.256496106982721
Euro	1	AT8PositiveTissue.log	H1B1G1	0.33	226	0.407	0.289	0.161701295511802	0.323402591023604
