Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
Euro	1	CTE	H1B1G1	0.293	458	0.131	0.163	0.419284294398152	0.645237307794923
Euro	1	DementiaHx	H1B1G1	0.292	440	0.356	0.196	0.0696642619096139	0.278657047638456
Euro	1	amygdala	H1B1G1	0.293	458	0.222	0.134	0.0989750808224825	0.311601047525232
Euro	1	CA1	H1B1G1	0.293	458	0.124	0.133	0.351910465652796	0.439080130256965
Euro	1	CA2	H1B1G1	0.293	458	0.265	0.132	0.0455201216807963	0.25036066924438
Euro	1	CA4	H1B1G1	0.293	458	0.333	0.135	0.0140521412163299	0.154573553379629
Euro	1	entorhinal	H1B1G1	0.293	458	0.217	0.137	0.113309471827357	0.311601047525232
Euro	1	inforbfront	H1B1G1	0.293	458	0.168	0.131	0.19994402462543	0.439080130256965
Euro	1	infpar	H1B1G1	0.293	458	0.14	0.132	0.288814869638334	0.439080130256965
Euro	1	loccoer	H1B1G1	0.293	458	0.114	0.134	0.393684685314642	0.439080130256965
Euro	1	midfront	H1B1G1	0.293	458	0.101	0.133	0.447392656841183	0.447392656841183
Euro	1	suptemp	H1B1G1	0.293	458	0.11	0.131	0.399163754779059	0.439080130256965
Euro	1	CTEstage	H1B1G1	0.292	457	0.086	0.131	0.514741477783208	0.645237307794923
Euro	1	subnigra	H1B1G1	0.293	458	0.112	0.13	0.38922036772602	0.439080130256965
Euro	1	AT8PositiveTissue.log	H1B1G1	0.293	458	0.071	0.155	0.645237307794923	0.645237307794923
